,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9998,-0.9994,0.935,-0.9287,,-0.9994,0.9912,0.9942,0.9995,0.9995,0.9822,0.9987,0.9965,0.9977,0.9943,0.9492,0.8245,0.9952,-0.9626,0.2537,-0.9123,,-0.244,0.995,0.7216,0.936,-0.9656,0.8758,0.9618,0.998,0.9681,-0.8865,0.9552,0.9993,0.9994,0.9995,0.9971,,-0.3581,-0.9783,-0.9852,-0.8641,,-0.8398,0.6397,-0.4048,-0.9613,-0.9906
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.6826,-0.9606,0.9986,0.9751,0.985,0.9857,-0.9902,0.9554,0.9874,0.9911,0.9801,0.9921,1.0,0.9883,0.6938,0.9682,0.9935,0.9949,0.9881,0.9996,0.9997,0.9993,0.9987,0.996,0.9967,0.9939,0.9355,0.7988,0.9925,0.9621,0.0934,-0.9115,0.0676,-0.437,-0.7706,0.9389,0.9842,0.8726,0.518,-0.9498,0.9989,0.9952,0.4228,0.9898,0.9982,0.9973,0.9957,0.2844,-0.5228,0.6165,0.6256,0.9556,-0.6523,-0.9859,-0.8334,-0.2458,-0.3059,-0.8264,0.9986
FH_CEID_Walk,,,,,,0.9338,0.9466,0.9723,0.9725,0.9223,0.9118,-0.6002,0.97,-0.5281,-0.9518,0.9488,-0.9778,0.9249,0.8746,-0.8801,0.9542,-0.1076,0.937,-0.8044,,-0.9921,0.9922,-0.6404,-0.9758,0.7963,0.8309,-0.9931,0.9266,0.9533,-0.4894,0.8641,0.9393,0.973,0.994,0.9808,-0.6898,0.9893,-0.9256,0.2681,-0.9257,,-0.7001,0.9984,0.9179,0.8901,-0.7945,-0.2785,-0.9651,-0.9295,0.9838,-0.9536,0.926,-0.9562,-0.9235,0.9539,-0.9828,0.7836,-0.2703,0.9728,0.9793,0.2647,-0.9978,,,,,
FH_CMU_TimeSeries,,,0.8998,0.9958,0.9633,-0.936,0.9997,0.9982,0.9989,0.9991,0.9847,0.9293,0.9509,-0.5555,-0.9009,-0.8619,0.9772,0.9794,0.7937,0.8971,0.9997,0.9919,0.9995,0.99,0.9985,0.8552,0.9832,-0.8703,,-0.9757,0.9984,0.9996,0.9968,0.998,0.9997,0.997,0.9948,0.9953,0.9977,0.9632,0.9704,0.9973,0.9615,0.0959,-0.9264,,0.8655,0.9936,0.9134,0.9712,0.9262,-0.3869,-0.9798,-0.9699,-0.926,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992,0.5566,-0.3479,0.9911,-0.7443,-0.9904,-0.8239,0.2149,-0.2873,-0.8728,0.9992
FH_COVIDhub_ensemble,-0.943,0.3457,-0.9644,0.9972,0.9956,0.9998,0.9966,0.9981,0.9996,0.9948,0.9866,-0.7778,0.9926,-0.6126,-0.9971,0.9286,0.832,0.9538,0.9063,0.9797,0.9931,0.9961,0.9945,0.9882,0.9714,0.7319,0.9812,-0.8576,,0.9701,0.9999,0.9978,0.9997,0.9961,0.9982,0.9976,0.9944,0.9968,0.9952,0.957,0.8994,0.9932,,0.2757,-0.8924,,,,0.9345,0.9794,0.9566,-0.4296,-0.8878,-0.9479,0.9646,0.9025,0.9712,0.999,0.9893,0.9994,0.9879,0.9992,0.5566,-0.3479,0.9911,-0.7443,-0.9904,-0.8239,0.2149,-0.2873,-0.8728,0.9993
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947,0.9999,0.9576,0.9967,0.9978,,,,,,,,,0.1501,-0.8905,,,,,0.9711,0.9484,-0.4078,,0.9983,0.9898,0.9944,0.9889,,0.9992,0.9971,0.9893,0.9894,-0.0044,-0.4448,0.9901,-0.5516,-0.9775,-0.8172,0.2614,-0.2186,-0.1024,0.9993
FH_CU_nochange,,,,,,,,,,,,,,-0.0593,0.9959,0.9212,0.9921,0.9986,0.9983,0.9979,0.9986,0.97,0.9912,0.9966,0.9698,-0.9949,0.8827,-0.9253,,-0.5364,0.9986,0.9887,0.9973,0.9979,0.9941,0.9965,0.9882,0.9946,0.9943,0.9429,0.8114,-0.9433,-0.9728,0.6824,-0.6923,,,0.9951,0.9443,0.9786,0.9585,0.1215,0.9924,0.9969,0.9995,0.9971,0.9885,0.9993,0.9993,0.9347,0.9856,0.9903,0.4402,0.9975,0.9779,-0.9489,,-0.8341,0.164,0.9543,0.9986,0.9995
FH_CU_scenario_high,,,,,,,,,,,,,,0.5061,0.9952,0.9484,0.9881,0.9977,0.9986,0.9994,0.9994,0.9724,0.856,0.9982,0.9776,-0.995,0.8801,-0.9265,,-0.7665,0.9983,0.9794,0.9974,0.9979,0.9937,0.9964,0.9883,0.9951,0.9944,0.9376,0.8114,-0.9406,-0.9745,0.5187,-0.6224,,,0.9848,0.9443,0.9841,0.9545,0.4766,0.9909,0.9971,0.9996,0.9963,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.4985,0.9864,0.2946,0.6608,0.9965,0.9964,0.9969,0.9987,0.9779,0.9923,0.9855,0.9879,-0.9952,0.9213,-0.9229,,0.9056,0.999,0.9979,0.997,0.9978,0.9941,0.9958,0.9855,0.9946,0.9944,0.9421,0.8505,-0.9441,-0.9697,0.887,-0.7176,,,0.9993,0.9443,0.9736,0.9573,0.0677,0.989,0.9954,0.9989,0.9977,0.986,0.9988,0.9989,0.9142,0.9853,0.993,0.4423,0.9974,0.9798,-0.4697,,-0.8333,0.0991,0.9198,0.9988,0.9999
