,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.8426,0.6838,-0.877,-0.9847,,-0.9927,-0.9998,0.9985,0.9392,-0.832,-0.2306,-0.2036,0.9996,0.9953,0.9967,0.9956,0.9462,0.7822,0.9006,0.8566,0.9812,,0.9923,-0.2126,-0.996,-0.9914,-0.9536,-0.9914,-0.9186,0.2217,0.9999,0.9986,0.9948,0.9862,0.8698,-0.9625,-0.9513,,-0.8652,-0.9918,0.7716,0.9865,,0.9891,0.9718,0.9931,0.9315,-0.8343
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.6638,-0.9986,0.8328,-0.6379,-0.9584,0.9924,-0.9478,0.9987,-0.9942,0.9991,0.992,0.9295,0.9922,-0.668,-0.0913,0.9994,0.9981,0.9999,0.993,0.9309,-0.8342,-0.2972,-0.5759,0.9954,0.9981,-0.968,-0.9694,0.9534,0.4979,0.9155,0.8364,0.9874,0.9977,0.9775,-0.3497,-0.9501,-0.9634,-0.9557,-0.9614,0.9876,0.9998,0.998,0.9954,0.9942,0.9919,0.928,-0.8195,0.9994,0.8743,-0.9111,-0.9958,0.8099,0.9851,0.9924,0.9995,0.9635,0.9896,0.8757,-0.8163
FH_CEID_Walk,,,,,,0.9592,-0.9308,0.9475,0.5728,0.9948,0.7511,-0.8036,0.9669,-0.334,-0.9852,-0.4492,-0.6566,0.7651,0.9859,-0.8566,0.9118,-0.9538,0.9964,-0.58,,-0.9881,-0.8175,-0.7059,0.9654,0.8846,0.9416,0.9891,0.9892,-0.705,-0.4941,-0.88,-0.9202,0.9889,0.9956,0.9877,0.962,-0.3808,0.9491,0.9737,0.7102,,0.9996,-0.2909,-0.9867,0.9882,-0.9953,0.8381,0.6731,0.923,-0.9904,0.9951,-0.9633,-0.9567,-0.9857,0.8189,-0.9574,0.9788,0.111,-0.867,0.5924,-0.6318,0.9238,,,,,
FH_CMU_TimeSeries,,,0.9911,0.9993,0.2119,0.1064,0.969,0.997,-0.6959,-0.8934,0.7471,0.926,0.9871,0.8145,0.953,-0.4973,-0.4274,0.7403,0.9871,0.8669,0.9992,0.7761,0.9699,0.9839,0.9013,-0.9918,-0.9919,0.9777,,0.8921,-0.1045,0.9952,0.9018,-0.8612,-0.8849,-0.787,0.8784,0.995,0.8263,0.9852,0.9586,0.9447,0.9381,0.868,0.9741,,0.995,-0.2126,0.9484,-0.1336,0.5245,0.9774,0.8908,0.5966,-0.939,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9616,-0.9087,-0.9951,0.8025,0.9931,0.9927,0.989,0.9676,0.9826,0.8954,-0.7992
FH_COVIDhub_ensemble,-0.9888,0.7806,0.9981,0.9955,0.8913,0.9958,-0.9062,0.9579,-0.9782,-0.935,0.7942,0.6589,0.9977,0.7878,-0.2227,-0.3633,-0.6979,0.7667,0.9094,0.9799,0.9912,-0.9199,0.9948,0.9868,0.9839,-0.9883,-0.8035,-0.9324,,0.9991,0.9969,0.9992,0.9225,-0.834,-0.2396,-0.7189,0.9558,0.9913,0.9994,0.9946,0.9563,-0.124,,0.8483,0.886,,,,-0.999,-0.8059,-0.9912,0.9206,0.9715,0.9544,0.9978,0.9998,0.9996,0.9974,0.8918,-0.8478,0.9433,0.9616,-0.9087,-0.9951,0.8025,0.9931,0.9927,0.989,0.9676,0.9826,0.8954,-0.7687
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,0.9978,0.6844,-0.8256,-0.365,,,,,,,,,0.9199,0.9916,,,,,0.8089,0.9798,0.8422,,0.9811,0.9938,0.9984,0.991,,0.9255,-0.8361,0.9928,0.8857,-0.9126,-0.9934,0.8081,0.9913,0.9936,0.9876,0.9629,0.999,0.9009,-0.7687
FH_CU_nochange,,,,,,,,,,,,,,0.5839,0.9776,0.5945,-0.7847,-0.0898,0.9761,0.9747,0.9872,-0.991,0.9785,-0.9943,-0.853,-0.9546,0.9209,0.9928,,0.9943,0.9863,0.9897,0.9318,-0.8659,-0.1942,-0.0671,0.9885,0.994,0.9954,0.9982,0.9582,-0.4023,0.959,0.7165,0.9374,,,-0.2126,-0.996,-0.4803,0.1263,0.9993,0.9991,1.0,0.9993,0.9994,0.9999,0.9951,-0.8007,0.9994,0.9966,0.9023,-0.9097,-0.9958,0.8118,0.9965,,0.989,0.971,0.9157,0.8152,-0.7515
FH_CU_scenario_high,,,,,,,,,,,,,,0.513,0.9635,0.9943,-0.6992,0.985,0.9638,0.9696,0.9969,-0.99,-0.9488,-0.9853,-0.8366,-0.9546,0.9077,0.9928,,0.9944,0.9857,0.9889,0.9319,-0.864,-0.1941,-0.0671,0.9885,0.9932,0.9954,0.9982,0.9582,-0.5281,0.959,0.7165,0.9374,,,-0.2126,-0.996,-0.1539,0.8991,0.9985,0.9992,0.9998,0.9988,0.9991,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.732,0.9898,-0.2252,-0.687,-0.9789,0.9837,0.9713,0.9584,-0.9854,0.9713,-0.9118,-0.8273,-0.9546,0.9302,0.9928,,0.9932,0.9873,0.9897,0.9369,-0.8618,-0.2017,-0.0823,0.9893,0.9938,0.9954,0.9984,0.9582,-0.3589,0.959,0.9354,0.9374,,,-0.2126,-0.9907,-0.6629,-0.4559,0.9982,0.9992,0.9999,0.9997,0.9998,0.9996,0.9971,-0.8184,0.9992,0.9965,0.9039,-0.9098,-0.9956,0.8051,0.9964,,0.9889,0.9707,0.9147,0.8238,-0.7159
