,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.9999,0.9945,0.9576,,-0.9978,-0.9063,0.9973,0.9847,0.9976,0.9991,0.998,0.9967,0.5233,0.9492,0.994,0.8622,0.9984,0.9997,0.9821,0.9868,,0.9766,0.9658,-0.4525,-0.9431,0.8773,0.6297,0.9375,0.7948,0.4395,0.9826,0.966,0.9991,0.9984,0.9957,0.9811,,0.9976,-0.4393,0.9609,0.9209,,0.9989,-0.973,0.9983,0.9694,0.9036
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9974,0.9891,-0.9382,0.5649,0.9717,0.9217,0.9991,0.9998,0.9986,0.9958,0.9949,0.9992,0.9998,0.999,0.9947,-0.8458,0.9948,0.8403,0.9976,0.9934,0.9986,0.9987,0.9972,0.9944,0.9612,-0.7278,0.9998,0.9966,0.9379,0.9932,0.9964,0.9864,0.9839,0.9722,0.9709,-0.4299,-0.9431,0.5757,-0.729,0.8406,-0.8813,0.4832,-0.9782,0.9835,0.9996,0.9991,1.0,0.8544,0.9434,0.9983,0.3203,-0.9262,-0.9312,0.885,0.9979,0.9717,0.994,0.8954,-0.8268
FH_CEID_Walk,,,,,,-0.9961,-0.9723,-0.9011,0.9636,0.8005,0.96,0.7243,0.983,0.9995,0.9668,0.9989,-0.2006,-0.8854,-0.9566,-0.9054,0.9312,-0.9775,0.9393,-0.7864,,0.974,0.983,0.9983,-0.7287,-0.9304,-0.9207,0.9431,0.9557,0.9696,-0.9292,0.9836,-0.9789,-0.971,-0.9983,0.999,0.9112,0.8885,0.769,0.9465,0.919,,0.9809,-0.9921,-0.3756,-0.9009,0.9642,-0.6397,0.9541,-0.6877,0.0141,-0.9464,-0.9968,0.997,0.9074,0.9925,0.3716,0.9718,-0.9401,-0.7307,-0.8887,-0.9161,-0.716,,,,,
FH_CMU_TimeSeries,,,0.9936,0.9628,-0.958,-0.6566,-0.6721,0.9965,0.9962,0.9976,0.997,0.996,0.9998,0.9997,0.9972,0.9922,-0.7411,-0.8554,0.9967,0.9915,0.9993,0.9988,0.9995,0.9975,0.9992,-0.9792,0.9995,0.9943,,-0.9995,0.9824,0.9996,0.9942,0.9977,0.9788,0.991,0.9956,0.9934,0.9993,0.9992,0.9997,0.9884,0.9932,0.9985,0.9762,,0.9751,0.9852,-0.3879,-0.9323,0.9614,0.9342,0.897,0.998,-0.0591,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1448,0.9977,0.2523,-0.9315,-0.9186,0.8593,0.9993,0.9973,0.9949,0.8673,0.9942
FH_COVIDhub_ensemble,-0.9984,0.7922,0.9528,0.9459,-0.5019,-0.9847,0.9991,0.9985,0.9995,0.9857,0.9867,0.9771,0.999,0.9976,0.9824,0.9815,-0.2392,-0.9011,-0.8433,0.9988,0.9951,0.9997,0.9918,0.9829,0.9996,1.0,0.9854,0.9956,,0.9897,0.9938,0.9976,0.9868,0.9972,0.9991,0.9989,0.9985,0.9984,0.9995,0.9993,0.9992,0.9931,,0.9896,0.9719,,,,-0.4401,-0.9237,0.8821,0.8236,0.9365,-0.7924,0.9353,0.9774,0.9869,0.9998,0.9973,1.0,0.99,-0.1448,0.9977,0.2523,-0.9315,-0.9186,0.8593,0.9993,0.9973,0.9949,0.8673,0.9879
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996,0.9989,0.8213,0.9962,0.9974,,,,,,,,,0.9926,0.9766,,,,,-0.939,0.8914,0.8591,,-0.789,0.4664,0.9876,0.9698,,0.9993,0.9995,0.9881,-0.0759,0.9972,0.2903,-0.9398,-0.9213,0.8347,0.998,0.9403,0.9966,0.9202,0.9879
FH_CU_nochange,,,,,,,,,,,,,,0.9837,0.8437,-0.2295,-0.011,0.997,0.9983,0.993,0.9995,0.9645,0.9959,0.9956,0.9882,-0.9826,-0.8747,-0.8403,,0.9919,0.9745,0.9974,0.9852,0.9988,0.9981,0.9978,0.9971,0.9982,0.9888,0.999,0.7319,-0.9986,0.9401,0.9564,0.9652,,,0.9467,-0.4328,-0.9162,0.9373,0.299,0.1547,-0.9043,0.5106,0.9913,0.9898,0.9921,0.9963,0.9981,0.9833,0.4636,0.9979,0.4292,-0.9296,-0.9331,,0.9988,-0.0267,0.9677,-0.9923,0.9322
FH_CU_scenario_high,,,,,,,,,,,,,,0.9739,0.7404,-0.732,0.1659,0.9922,0.9992,0.995,0.9997,0.9717,0.9648,0.9959,0.9901,-0.9829,-0.3195,-0.7099,,0.9916,0.972,0.997,0.9851,0.9988,0.9983,0.9976,0.9971,0.9981,0.9886,0.9981,-0.9758,-0.9944,0.9282,0.96,0.9487,,,0.9514,-0.4192,-0.9066,0.9425,-0.4798,-0.0879,-0.9118,0.5129,0.9922,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9939,0.9842,0.9775,-0.3717,-0.9608,0.9946,0.9868,0.9966,0.9675,0.9926,0.9908,0.9923,-0.9818,-0.8482,-0.9719,,0.9915,0.9797,0.9979,0.9849,0.9987,0.9984,0.9977,0.9968,0.9981,0.987,0.9991,0.8988,-0.9979,0.9482,0.9555,0.9702,,,0.9436,-0.4447,-0.9206,0.9302,0.4231,0.3824,-0.8968,0.5099,0.9902,0.9884,0.9933,0.9972,0.9988,0.9833,0.3643,0.9978,0.434,-0.9283,-0.9337,,0.9989,-0.4393,0.9576,-0.9919,0.9589
