,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9795,0.9879,-0.217,0.9998,,0.9957,0.9982,0.9998,0.9986,0.9999,0.9999,0.9993,0.7747,-0.9306,-0.9869,-0.9764,-0.9627,0.9983,0.9957,0.2873,-0.9133,,-0.8729,-0.8558,-0.9852,-0.9535,-0.9969,0.9998,0.9948,-0.5503,0.994,-0.958,0.986,0.9985,0.9948,-0.8318,0.9956,,0.9757,0.9997,0.9987,0.992,,0.9959,0.9984,0.9974,0.9952,0.9994
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.959,0.9924,0.9779,-0.9829,-0.9896,0.9987,0.9966,0.9994,-0.3072,-0.9123,-0.9886,-0.6822,0.9893,-0.8228,-0.6359,0.9998,0.9994,0.9941,0.9976,0.9997,0.9995,0.991,0.9987,0.8989,-0.5956,0.9917,0.9972,0.9901,0.9991,0.9752,0.8758,0.8091,0.9481,0.9622,0.8755,0.9953,-0.6425,0.9947,0.9985,0.9859,-0.4745,0.9929,-0.9915,0.9974,0.9891,0.95,0.8143,0.4164,0.9171,0.9632,0.9837,0.9991,0.9943,0.9965,0.9711,0.9985,0.9739,0.9989,0.998
FH_CEID_Walk,,,,,,0.9951,-0.8308,0.9897,-0.1389,-0.9963,-0.9069,0.8458,0.9437,-0.969,0.8664,0.9072,-0.9204,0.8614,0.8807,0.9587,0.9714,-0.812,-0.8604,0.7399,,0.9726,-0.7574,0.9966,0.9609,0.9672,-0.9501,0.9651,-0.576,0.9973,0.9914,0.9586,-0.9651,-0.8751,-0.9168,0.9935,-0.9674,-0.7034,0.9493,0.2081,-0.8901,,0.9948,-0.6962,0.9809,-0.8956,0.9665,-0.6367,-0.2419,-0.2806,0.8529,-0.8466,0.9601,-0.8156,0.7363,-0.9274,0.9371,-0.9811,0.9159,-0.7823,-0.9977,0.9911,0.8725,,,,,
FH_CMU_TimeSeries,,,-0.8253,-0.2573,-0.3212,-0.7466,-0.931,0.9986,0.474,-0.7812,-0.8808,0.8952,-0.8673,0.7036,0.9365,0.9974,0.9548,0.9886,0.9956,0.9859,0.9955,0.6291,-0.9551,-0.98,0.9686,-0.3323,0.457,0.9758,,-0.9754,-0.9892,0.7251,0.9764,0.9963,0.9977,0.9476,0.4346,0.6991,-0.9981,0.9702,0.9628,0.9678,0.9465,0.7019,0.8445,,0.9689,0.9903,0.9872,-0.6357,0.9893,0.9953,0.9974,-0.606,-0.9997,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,0.9975,0.996,-0.9772,-0.2023,0.9801,0.9998,0.9911,0.9858,0.9981,0.9953
FH_COVIDhub_ensemble,0.8038,0.8961,-0.7581,-0.9931,0.889,0.9763,-0.7932,0.9794,-0.2425,-0.9969,-0.8087,0.904,0.9488,0.9961,0.9619,0.9889,0.9754,0.9871,0.9944,0.9976,0.9997,0.7516,-0.7697,-0.9422,0.9897,0.9918,0.9788,0.9965,,0.9893,0.9977,0.994,0.9968,0.9981,0.9991,0.9959,-0.9955,-0.7457,-0.925,0.986,0.998,0.9997,,0.3518,0.8192,,,,0.9947,-0.1303,0.9897,0.9959,0.9973,-0.5712,0.9746,-0.9912,0.9953,0.9985,0.9781,0.6008,0.9984,0.998,0.9975,0.996,-0.9772,-0.2023,0.9801,0.9998,0.9911,0.9858,0.9981,0.946
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981,0.9987,-0.5116,0.9999,0.9988,,,,,,,,,0.7689,0.8356,,,,,0.2564,0.9908,0.9972,,-0.3414,0.9611,0.9689,0.9975,,0.9764,0.9844,0.9982,0.9972,0.999,0.9877,-0.9406,0.4214,0.995,0.996,0.998,0.9987,0.9982,0.946
FH_CU_nochange,,,,,,,,,,,,,,0.9954,0.9881,0.9928,0.9988,0.9944,0.9895,0.9814,0.9895,-0.588,-0.8911,0.9319,0.9853,0.9931,0.9939,0.9888,,0.9943,-0.9171,0.8468,0.9878,0.994,-0.9922,-0.994,-0.81,-0.9603,0.9939,0.9962,0.9926,0.9801,0.6856,0.5897,0.8627,,,0.9109,0.9937,0.9865,0.9913,0.9998,0.9979,-0.5819,-0.952,0.9914,0.9983,0.9914,0.9613,0.9136,0.9442,0.9117,-0.9919,-0.9571,-0.9947,-0.7395,,0.9998,0.8869,0.997,0.9934,0.9877
FH_CU_scenario_high,,,,,,,,,,,,,,0.9954,0.9884,0.9938,0.9995,0.9954,0.9942,0.9909,0.9957,-0.5878,-0.0066,0.8862,0.9845,0.9931,0.9939,0.9833,,0.9941,-0.9308,0.7277,0.9957,0.994,-0.9899,-0.9895,-0.81,-0.9603,0.9954,0.994,0.9948,0.9951,0.9246,0.5897,0.8574,,,0.907,0.9935,0.2013,0.992,0.9998,0.9979,-0.3888,-0.9216,0.9988,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9769,0.9557,0.9822,0.9998,0.9863,0.99,0.9808,0.9946,-0.6068,-0.8991,0.9918,0.9833,0.9931,0.9939,0.9961,,0.9943,-0.8368,0.8919,0.9957,0.9942,-0.9953,-0.993,-0.9111,-0.882,0.9907,0.9964,0.981,0.9842,0.263,0.9179,0.8599,,,0.9098,0.9931,0.9865,0.9938,0.9999,0.9982,-0.6007,-0.952,0.9857,0.9982,0.9802,0.9386,0.8984,0.9442,0.9296,-0.9873,-0.9572,-0.9942,-0.6828,,0.9998,0.9193,0.9965,0.9949,0.9954
