,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.8514,0.7649,0.9503,0.986,,0.9521,-0.5786,0.9678,0.7839,0.9989,0.9997,0.9996,0.9858,0.8551,-0.8737,-0.96,0.5314,-0.4706,0.9898,0.9896,0.9951,,0.9812,0.9988,0.9979,0.326,0.9994,0.6828,-0.9863,-0.9655,0.4472,-0.9765,-0.9703,0.5964,0.9993,0.9732,0.9863,,0.9892,-0.3308,-0.9907,-0.9861,,-0.9629,-0.9589,0.8392,0.9657,-0.906
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9861,0.9985,-0.9795,0.9976,0.9978,0.9821,0.9758,0.9923,0.974,0.9942,0.8737,-0.8174,0.8041,-0.4805,0.9994,-0.2804,0.9938,0.9947,0.999,1.0,0.9925,0.9956,0.9939,0.9895,0.8439,0.9073,0.9626,0.0494,0.0697,0.975,0.9839,0.9837,0.9896,0.9987,0.9891,0.9939,0.9996,0.9972,0.7325,-0.9631,-0.8866,1.0,0.9882,0.9999,0.9994,0.991,0.2264,-0.6526,0.9901,-0.2015,-0.8974,-0.9586,-0.8755,0.9983,0.9419,0.9786,0.452,0.9876,0.9946
FH_CEID_Walk,,,,,,0.9377,-0.8078,-0.8881,-0.9103,-0.9949,0.9617,-0.6196,-0.9616,0.7777,0.931,-0.9106,0.9487,0.9692,0.7356,0.9583,0.9806,0.9482,0.9811,-0.8194,,0.8137,-0.6885,0.9731,-0.9326,0.904,0.9109,0.9404,0.9995,0.9607,0.9781,0.9494,0.9697,-0.8597,-0.7128,0.981,0.6786,-0.5396,-0.8759,0.9309,0.8846,,-0.9955,0.921,0.9341,-0.9935,0.1618,0.8152,-0.27,-0.8866,0.8601,1.0,0.9412,-0.9877,0.9482,0.9792,-0.7317,-0.8564,-0.1584,0.2179,0.9177,0.2916,0.9985,,,,,
FH_CMU_TimeSeries,,,0.4842,0.9883,0.7998,0.0874,-0.8313,-0.9587,0.9335,0.9834,0.4537,-0.9398,-0.9811,0.7634,0.9819,0.9112,0.9877,0.982,0.9923,0.9962,0.9979,0.987,0.9916,0.9881,0.814,0.7953,0.9514,0.9677,,-0.9828,0.9945,0.9896,0.9959,0.9979,0.997,0.9957,0.9927,0.795,-0.6722,0.9995,-0.3916,0.9486,0.995,0.9953,0.9822,,0.9975,0.9915,0.943,0.1513,0.992,0.9648,-0.9709,-0.9686,0.8798,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6769,-0.9807,-0.2817,0.9917,0.1968,0.9993,-0.8636,0.9879,-0.9014,-0.8553,0.3073
FH_COVIDhub_ensemble,-0.2753,-0.6857,-0.2695,0.992,0.8752,0.9977,-0.1555,-0.8304,0.9939,-0.9303,0.9585,1.0,-0.9119,0.9572,0.9743,-0.9763,0.9666,0.9835,0.9937,0.9992,0.9993,0.9905,0.9998,0.9841,0.9943,0.8176,0.8981,0.9761,,0.9934,0.999,0.9888,0.9998,0.9975,0.998,0.9955,0.9902,0.8037,-0.7863,0.9962,0.226,0.8327,,0.992,0.9855,,,,0.9935,0.9378,0.9971,0.719,-0.9818,-0.8866,0.9022,0.9765,0.9555,0.9357,0.9488,0.9406,0.9987,0.6769,-0.9807,-0.2817,0.9917,0.1968,0.9993,-0.8636,0.9879,-0.9014,-0.8553,-0.319
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981,0.994,-0.7765,0.9961,0.9975,,,,,,,,,0.9889,0.9911,,,,,0.952,0.9966,0.7498,,-0.8866,0.9621,0.9997,0.9981,,0.9948,0.9913,0.9802,0.9923,-0.9772,-0.3411,0.9979,-0.8837,0.9992,-0.3186,0.9884,-0.9767,-0.9902,-0.319
FH_CU_nochange,,,,,,,,,,,,,,0.9995,0.9995,0.9998,0.9953,1.0,0.9863,1.0,0.9998,-0.9076,0.991,0.9978,-0.7722,0.7875,-0.9759,0.9488,,-0.9895,-0.9347,0.9977,0.9999,0.9943,-0.951,0.9028,0.9355,-0.8661,0.9599,0.9997,0.8966,0.9886,0.9993,0.9961,0.976,,,0.9886,0.9983,0.9934,0.9993,0.8325,-0.9309,-0.8866,0.9832,0.9988,0.9978,0.9896,0.9854,0.9995,0.9929,0.9954,-0.9794,-0.9887,0.9673,0.9031,,-0.9537,0.9583,-0.9832,0.9657,0.8486
FH_CU_scenario_high,,,,,,,,,,,,,,0.9994,1.0,0.999,0.9963,0.999,0.9954,0.9999,0.9998,-0.8979,0.8182,0.9981,-0.7845,0.7836,-0.9778,0.9486,,-0.9894,-0.9608,0.997,0.9999,0.9944,-0.9507,0.8542,0.9347,-0.8688,0.9589,0.9994,0.9109,0.9886,0.9989,0.9954,0.976,,,0.9886,0.9983,0.9934,0.9993,0.8325,-0.9309,-0.8866,0.9927,0.9992,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9967,0.9987,0.9916,0.9777,0.9942,0.9859,0.9995,0.9955,-0.8486,0.9898,0.9898,-0.7542,0.7857,-0.9693,0.9759,,-0.9944,0.8152,0.9976,0.9995,0.9944,-0.9575,-0.3682,0.934,-0.881,0.9548,0.9994,0.8986,0.9945,0.9993,0.9961,0.976,,,0.9906,0.9983,0.9955,0.9993,0.8325,-0.9309,-0.8866,0.9832,0.9983,0.9976,0.9916,0.9848,0.9993,0.9875,0.9955,-0.9794,-0.9887,0.9673,0.9031,,-0.9574,0.9609,-0.99,0.9657,0.878
