,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.4254,0.4914,-0.157,-0.9994,,0.9734,0.4743,0.9363,0.6487,0.7904,-0.7053,0.9838,0.999,0.9902,0.8824,0.6701,0.9973,0.3703,0.9909,0.9974,0.9986,,0.9099,0.9944,-0.4433,0.9586,-0.8274,-0.9705,-0.9498,0.9286,0.5985,1.0,-0.9218,0.991,1.0,-0.9795,-0.7763,,-0.978,-0.9417,0.996,0.8443,,-0.9915,-1.0,-0.9991,0.9469,-0.4424
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9983,-0.948,0.909,-0.7524,-0.0352,-0.9541,0.9996,0.9998,0.9913,0.9723,0.6905,0.0799,-0.7764,0.6954,0.5782,0.7526,0.9909,0.8577,0.3544,-0.971,0.6801,0.394,0.9627,0.7643,0.9296,-0.9381,0.8707,0.9627,-0.9583,0.9818,0.9955,0.9843,0.9815,0.892,0.9928,-0.8668,0.9279,0.9918,0.9766,-0.9624,0.9269,1.0,0.9658,-0.9841,0.9995,0.9485,0.9542,0.9123,0.9946,0.9949,0.9835,0.9843,-0.755,0.8074,0.3189,-0.2183,0.9001,0.6997,0.425
FH_CEID_Walk,,,,,,0.9681,-0.8148,0.9948,-0.8298,0.5108,-0.8853,0.9312,0.9635,0.9916,-0.9806,0.8845,-0.8231,0.9689,-0.5734,0.9607,-0.8964,-0.9252,-0.8964,-0.1341,,0.4461,0.8081,0.9085,0.9323,0.9831,0.8793,0.8429,0.9847,0.4847,-0.8851,0.9977,0.9842,0.904,0.9383,-0.1417,0.8211,-0.9024,0.9967,0.9651,-0.7522,,0.8228,0.9686,-0.9106,0.9423,0.9918,0.8159,-0.9549,0.2098,0.8237,0.9865,-0.9702,0.9917,-0.5926,0.9827,0.6995,-0.8171,-0.8467,0.9106,-0.9635,0.9614,0.7888,,,,,
FH_CMU_TimeSeries,,,0.9997,0.8296,-0.4398,0.8427,0.9105,0.9814,-0.6119,0.9728,-0.8811,-0.804,0.683,0.9826,-0.5967,0.3805,0.5774,-0.7335,0.679,0.9929,0.9909,0.9067,0.7859,0.6246,0.3911,0.5341,0.6993,0.6412,,-0.3281,0.8328,-0.9954,-0.8047,0.5093,-0.7453,0.9958,0.9943,0.9714,0.5102,0.4668,0.9782,-0.7567,0.9718,0.9911,0.9898,,0.8999,0.9988,-0.6296,0.9444,0.2123,-0.272,-0.969,0.4847,0.3695,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8306,0.9352,0.9931,-0.1188,0.9322,0.9385,0.6626,0.9951,0.9994,0.9855,-0.3494
FH_COVIDhub_ensemble,-0.7764,-0.9405,1.0,-0.9004,0.6543,0.918,-0.684,0.8234,-0.8813,0.706,-0.9475,0.9889,0.8877,0.996,-0.9971,0.6469,-0.7662,-0.1476,0.2225,0.994,0.9999,0.9967,0.958,0.6517,0.7521,0.3968,0.8212,0.8688,,0.9965,0.8411,-0.8877,-0.8762,0.7165,-0.8321,0.9899,0.9996,0.9432,0.9737,-0.2925,0.9536,-0.9305,,0.9953,0.9926,,,,-0.1715,0.9469,0.7451,-0.9973,-0.969,-0.8164,0.3695,-0.6843,-0.9738,0.9931,0.96,0.9798,0.8615,0.8306,0.9352,0.9931,-0.1188,0.9322,0.9385,0.6626,0.9951,0.9994,0.9855,-0.3045
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8405,-0.9948,0.999,0.7192,-0.6247,,,,,,,,,0.998,0.9986,,,,,0.9484,0.1451,-0.8486,,0.9286,0.1562,-0.9192,-0.9707,,0.939,0.9818,0.9251,0.9975,0.9865,0.9999,-0.9358,-0.9952,0.943,0.9913,0.9952,0.9997,0.981,-0.3045
FH_CU_nochange,,,,,,,,,,,,,,0.9782,-0.0907,-0.5808,-0.7038,-0.7263,0.9999,0.9996,0.9912,0.9679,0.9903,0.7589,0.0173,0.5778,0.9349,0.9572,,0.9867,0.8678,-0.9659,-0.9525,0.6337,-0.8918,0.9719,0.9995,0.9416,-0.9737,-0.9343,0.9767,-0.9956,0.996,0.9996,0.9087,,,0.9841,0.8668,0.9634,0.9561,-0.966,-0.9498,-0.9286,0.0886,0.9658,-0.9768,0.9955,0.987,0.9773,-0.7763,-0.9326,-0.9319,-0.8077,-0.9497,-0.9763,,0.9139,0.9935,0.9909,0.7574,-0.2535
FH_CU_scenario_high,,,,,,,,,,,,,,0.9842,0.1096,-0.6214,-0.6231,-0.5227,0.8706,0.9992,0.9895,0.9946,0.9948,0.7545,0.0551,0.5778,0.9349,0.9572,,0.9825,0.864,-0.9687,-0.9614,0.6337,-0.8918,0.9676,0.9995,0.9416,-0.9737,-0.9403,0.9767,-0.9982,0.996,0.9996,0.9087,,,0.9841,0.8668,0.9634,0.9561,-0.966,-0.9498,-0.9286,0.0791,0.9658,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9757,-0.9401,0.9467,0.3943,-0.7158,0.9994,0.9983,0.9911,0.9955,0.9924,0.8877,0.0565,0.5778,0.9349,0.9572,,0.9867,0.8678,-0.9659,-0.9718,0.6337,-0.8918,0.9627,0.9995,0.9416,-0.9737,-0.9343,0.9767,-0.9956,0.9985,0.9996,0.9087,,,0.9841,0.8668,0.9634,0.9561,-0.966,-0.9498,-0.9286,0.0886,0.9658,-0.975,0.9943,0.987,0.9773,-0.7763,-0.9326,-0.9319,-0.8077,-0.9497,-0.9763,,0.8702,0.9935,0.9882,0.6411,-0.155
