,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.8545,0.9607,-0.9887,-0.9856,,0.9361,-0.9509,0.9156,-0.1153,0.9925,0.9998,0.9884,-0.8452,-0.8749,0.8551,0.9638,0.9979,-0.9574,0.2417,0.752,0.9544,,0.9867,0.9982,0.999,0.9946,0.7008,-0.8701,0.7466,-0.9602,1.0,-0.7711,0.9409,-0.9819,-0.1434,0.9939,0.7615,,1.0,1.0,-0.8918,0.9997,,0.676,-0.9208,-0.9957,-0.8197,1.0
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9911,1.0,0.845,-0.9834,-0.9188,0.9982,-0.9182,0.9929,0.9478,0.9955,1.0,0.8511,0.9288,0.9885,0.9107,0.6009,0.8894,-0.8375,0.9991,0.9989,0.9996,0.9991,0.9927,-0.8407,-0.9599,-0.8699,-0.9209,-0.9053,-0.9551,0.2943,-0.3011,0.9316,0.9929,-0.8986,0.9959,0.996,0.9946,-0.7008,-0.8701,1.0,-0.8819,0.3805,-0.7711,0.9848,0.9988,0.794,-0.9935,-0.6901,0.9921,0.8442,-0.2759,-0.9591,0.5349,-0.9529,0.302,-0.9967,0.6033,-0.0961,-0.3182
FH_CEID_Walk,,,,,,-0.5473,-0.9427,-0.978,-0.5179,0.9509,-0.9981,-0.8131,0.5764,0.98,0.0656,-0.9554,-0.9485,0.89,0.9445,-0.8965,0.951,-0.9998,0.9762,-0.7028,,0.4833,-0.9824,-0.9073,0.4595,0.9356,-0.9868,0.9709,0.9384,0.9961,0.968,0.9979,0.0229,-0.1885,0.8394,-0.7871,0.9955,-0.7662,0.2691,0.4232,0.8708,,0.9541,0.9617,0.9526,0.99,0.5108,-0.8701,1.0,-0.9602,-0.5989,-0.7711,0.9789,-0.9819,1.0,-0.9795,0.6501,-0.8159,-0.9341,0.1794,-0.7723,0.9997,-0.3378,,,,,
FH_CMU_TimeSeries,,,0.7666,-0.2606,0.2695,-0.9986,-0.9111,-0.9448,0.1581,-0.0672,-0.9979,0.3585,0.9933,-0.7423,-0.6866,-0.9372,1.0,0.9998,0.9998,0.9094,0.998,0.9406,0.9959,0.9879,0.8398,-0.946,0.859,-0.9889,,-0.0599,0.4634,0.9986,0.9983,0.9986,0.9388,0.9742,-0.8273,-0.8365,0.8438,-0.8891,0.9846,-0.576,0.202,0.654,0.9546,,0.986,0.9996,0.9329,0.9946,-0.5108,-0.8701,0.8434,0.4981,-0.2803,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9404,-0.4663,-0.1946,-0.7723,0.9997,-0.856,0.9764,-0.346,1.0,0.993,-0.5859
FH_COVIDhub_ensemble,-0.9939,-0.6486,0.7191,0.868,0.1804,1.0,-0.8148,0.8863,-0.5507,0.5549,-0.9979,-0.404,0.9767,-0.9208,-0.356,-0.8919,1.0,0.9675,0.9798,0.966,0.9944,1.0,0.9989,0.9993,0.9785,0.8157,-0.9208,0.9999,,0.954,-0.6239,0.9991,0.998,0.9993,0.9655,0.9947,-0.6963,-0.7545,0.7892,-0.8883,0.998,-0.9173,,0.9991,0.9454,,,,0.9876,0.937,-0.9019,-0.8701,0.7664,-0.9602,0.2615,-0.2187,0.9789,-0.6412,0.7368,-0.9869,-0.6235,0.9404,-0.4663,-0.1946,-0.7723,0.9997,-0.856,0.9764,-0.346,1.0,0.993,-0.6199
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3289,0.9972,0.779,0.9946,0.9718,,,,,,,,,0.7803,0.9809,,,,,0.9491,-0.9019,-0.8701,,-0.9602,0.3284,0.9231,0.9469,,0.6757,-0.9966,-0.6448,0.9431,0.9122,-0.2173,-0.8916,0.8564,0.8762,0.9695,0.3884,0.3618,0.9963,-0.6199
FH_CU_nochange,,,,,,,,,,,,,,0.9963,1.0,0.8919,-0.9995,0.9896,0.9445,0.9989,0.9985,1.0,0.9911,0.9869,0.8908,-0.9452,-0.9938,-0.9956,,0.9877,-0.9985,0.9982,0.9927,0.9969,-0.9755,0.9936,0.8815,-0.6579,-0.7892,-0.9622,0.9959,0.9419,-0.0213,0.3803,0.9784,,,0.9666,0.9526,0.9946,-0.7008,-0.8701,1.0,1.0,-0.2803,0.9878,0.9989,0.7855,1.0,-0.9499,0.334,-0.8159,-0.9944,0.1946,-0.7723,0.9694,,0.9504,-0.853,-0.9552,0.9666,-0.5859
FH_CU_scenario_high,,,,,,,,,,,,,,0.9963,1.0,0.8919,-0.9995,0.9863,0.998,0.9997,0.9998,0.9656,0.999,0.9891,0.8908,-0.9452,-0.9938,-0.9956,,0.9854,-0.9986,0.9953,0.9927,0.9969,-0.9779,0.9936,0.8776,-0.6579,-0.7892,-0.9152,0.9959,0.9419,-0.0213,0.4905,0.9784,,,0.9666,0.9526,0.9946,-0.7008,-0.8701,1.0,1.0,-0.2803,0.9851,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9963,1.0,0.8919,-0.9955,0.9934,0.9224,0.9936,0.9968,0.9827,0.9967,0.8811,0.7172,-0.9452,-0.9938,-0.9956,,0.9891,-0.9975,0.989,0.991,0.9969,-0.9832,0.9936,0.8815,-0.6579,-0.7892,-0.96,0.9959,0.9419,-0.0213,0.3803,0.9784,,,0.9666,0.9526,0.9946,-0.7008,-0.8701,1.0,1.0,-0.2803,0.9865,0.9989,0.7232,1.0,-0.9499,0.282,-0.8159,-0.9944,0.1946,-0.7723,0.9694,,0.9504,-0.853,-0.9522,0.9666,-0.5859
