,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9987,-0.9962,-0.5837,0.9758,,-0.9981,-0.9982,-0.9917,0.9938,0.9978,0.9999,0.998,0.9835,0.9968,0.9348,-0.5457,-0.8511,-0.4866,0.9395,0.994,0.9947,,0.9712,0.998,0.9919,-0.7617,0.975,-0.8361,-0.9815,-0.9989,0.854,-0.9522,-0.9387,0.9987,0.9982,0.9966,0.9558,,-0.9764,-0.9681,0.804,-0.9997,,0.9944,0.9919,0.9998,0.9932,0.7809
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9914,0.9996,-0.973,0.0717,-0.9947,0.8891,0.9992,0.9967,0.9978,0.9905,0.9474,-0.9572,0.5547,0.9997,0.996,0.6341,0.9268,0.2849,0.9982,0.9987,0.9996,0.9989,0.9995,0.997,0.9525,0.8821,-0.3291,0.4129,0.3914,-0.9904,0.9983,0.9992,0.9999,0.9835,0.9999,0.9638,0.9905,0.9877,-0.5932,0.9949,0.9976,0.9947,0.997,0.9978,0.9999,0.998,0.994,-0.485,0.9877,0.9983,0.9998,1.0,0.9983,0.9959,0.9987,0.9899,0.9995,0.9929,0.7771
FH_CEID_Walk,,,,,,0.9798,-0.9997,0.9959,0.9846,0.6895,-0.545,0.9145,-0.9671,0.9588,0.9534,-0.8353,0.4793,-0.9387,-0.3574,0.9175,0.9857,0.9656,0.9409,-0.8593,,-0.8085,0.9795,0.9474,0.8571,-0.7345,0.9984,-0.7525,0.9383,0.7124,0.9895,0.9081,0.9847,0.9177,0.9925,0.1607,-0.7174,0.7488,-0.9521,0.3717,-0.9303,,-0.9697,0.9318,0.9081,-0.9624,-0.8501,-0.5236,0.9907,-0.9293,0.8727,0.8966,0.8915,0.5954,-0.9335,0.8606,-0.9267,0.3792,-0.9152,-0.9979,0.9977,0.9624,0.9837,,,,,
FH_CMU_TimeSeries,,,0.9899,0.5028,-0.9422,-0.4559,0.971,0.9848,0.9935,0.9939,0.9987,0.9998,0.9999,0.9921,0.9999,0.9544,-0.056,-0.9668,0.9948,0.9621,0.9918,0.9894,0.9978,0.9647,0.9999,0.9233,0.989,0.9964,,-0.9935,0.9642,0.9814,0.9984,0.9996,0.985,0.9863,0.9901,0.9967,0.968,-0.4692,-0.8493,-0.3258,0.9583,0.998,0.9999,,0.9925,0.9997,0.9812,0.9175,0.9923,-0.805,-0.9981,-0.9591,-0.9176,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4926,0.9913,1.0,0.9997,0.9981,0.9958,0.9963,0.9923,0.9992,0.9934,0.8057
FH_COVIDhub_ensemble,-0.9952,0.5125,0.984,0.5426,-0.677,0.9979,0.9953,0.9981,0.9963,0.9976,0.9644,0.9774,0.9788,0.9886,0.9961,0.9973,0.2555,-0.9812,0.9647,0.9846,0.9992,0.9991,0.9934,0.9751,0.9824,0.9378,0.9963,0.9973,,0.9832,0.997,0.9885,0.9934,0.9991,0.9998,0.9989,0.9988,0.9929,0.9743,0.4519,-0.59,0.6114,,0.9987,0.9983,,,,0.9662,0.9972,0.9862,-0.7629,0.9829,-0.9259,0.9733,0.9979,0.987,0.9982,0.9979,0.9899,0.997,-0.4926,0.9913,1.0,0.9997,0.9981,0.9958,0.9963,0.9923,0.9992,0.9934,0.8039
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,0.9966,-0.4775,0.9996,0.9992,,,,,,,,,0.9994,1.0,,,,,0.9982,0.9872,-0.8064,,0.9859,0.9936,0.9946,0.9771,,0.9945,0.9951,-0.1767,0.6027,0.9844,0.9974,0.9982,0.9988,0.9951,0.9925,0.9901,0.9999,0.992,0.8039
FH_CU_nochange,,,,,,,,,,,,,,0.9317,0.9099,-0.0695,0.3029,0.9894,0.9971,0.9893,0.9995,0.9256,0.985,0.9641,-0.9918,-0.9997,-0.0569,-0.9874,,0.9547,0.452,0.6038,0.9927,0.9951,0.9988,0.9988,0.9925,0.9992,-0.5828,0.4437,0.8887,0.5983,0.9709,0.9963,0.9998,,,0.9998,0.976,0.9989,0.9899,-0.7527,-0.8952,0.9998,0.9987,0.9989,0.9981,0.997,0.9763,-0.9675,-0.9026,0.9407,0.9913,0.9989,0.9974,0.9999,,0.9999,0.9973,0.9968,0.9954,0.7296
FH_CU_scenario_high,,,,,,,,,,,,,,0.9198,0.8452,-0.5278,0.5954,0.9873,0.9904,0.977,0.9986,0.96,0.8976,0.9735,-0.9852,-0.9997,0.4457,-0.9898,,0.9452,0.1275,0.3934,0.9922,0.9951,0.9985,0.9987,0.9925,0.9992,-0.4187,0.4093,0.9136,0.5737,0.9544,0.996,0.9996,,,0.9998,0.975,0.9989,0.9894,-0.7412,-0.8881,1.0,0.9993,0.9994,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.963,0.9787,0.9707,0.0781,0.6009,0.9939,0.9826,0.997,0.96,0.9831,0.9443,-0.9889,-0.9997,-0.9892,-0.9846,,0.9634,0.7665,0.8951,0.9912,0.9939,0.9976,0.9979,0.9947,0.9992,-0.6671,0.4663,0.8544,0.636,0.9791,0.9962,0.9997,,,0.9999,0.9763,0.9986,0.9897,-0.7531,-0.8981,0.9997,0.9977,0.9984,0.9973,0.9956,0.9613,-0.9667,-0.9027,0.941,0.9914,0.9988,0.9977,0.9999,,0.9999,0.9971,0.9972,0.9954,0.7412
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9449,0.9382,0.5696,0.3645,0.9359,0.9871,0.9849,0.9933,0.9669,0.9479,0.9516,-0.9827,-0.9997,0.5738,-0.992,,0.9371,-0.2496,0.3044,0.9917,0.9945,0.9968,0.9978,0.9938,0.9991,-0.7607,0.4718,0.9074,0.5718,0.9182,0.9968,0.9993,,,0.9997,0.9742,0.999,0.9897,-0.7531,-0.8907,0.9995,0.998,0.9985,0.9983,0.9985,,-0.969,-0.9112,0.9329,0.989,0.9985,0.9979,1.0,,0.9999,0.997,0.9968,0.9954,0.7031
FH_CU_select,0.9981,0.9551,0.9291,0.366,-0.8782,0.9964,-0.5029,0.9999,0.9724,-0.9422,0.9007,0.4874,-0.1089,0.9449,0.9382,0.5696,0.3645,0.9359,0.9979,0.9826,0.997,0.96,0.9831,0.9443,-0.9889,-0.9997,0.5738,-0.992,,0.9371,0.7665,0.3044,0.9917,0.9945,0.9968,0.9978,0.9938,0.9992,-0.6671,0.4663,0.9074,0.5718,0.9182,0.9968,0.9993,,,0.9997,0.9742,0.999,0.9897,-0.7531,-0.8907,0.9997,0.9977,0.9984,0.9973,0.9956,0.9613,-0.9667,-0.9027,0.941,0.9914,0.9988,0.9977,0.9999,,0.9999,0.9971,0.9968,0.9954,0.7031
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,0.9985,0.9986,0.9977,0.9939,0.9972,0.9983,0.5695,-0.031,-0.402,0.9995,0.9778,,,0.8413,0.9565,,0.9861,0.9973,0.9968,0.9986,0.9983,0.9668,,-0.8083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,-0.9719,0.095,0.9952,0.998,0.9859,0.9819,0.9945,0.9919,0.9539,0.9886,0.9979,-0.9868,,0.5585,-0.8645,,0.9999,0.9988,0.9975,0.9979,0.9471,,,0.9917,0.5797,0.9514,0.4032,-0.9796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
