,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9986,-0.9316,0.7591,0.9064,,0.9819,0.8408,-0.885,1.0,0.5231,1.0,0.5821,0.7021,1.0,0.9739,1.0,-0.8623,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9181,0.995,0.0172,-0.8285,1.0,1.0,0.9316,0.1927,,0.8375,-0.6659,-0.9212,-0.9808,,-0.8034,0.9233,-0.4301,0.958,0.9857
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9939,-0.2661,-0.8624,-0.9851,0.8352,0.8434,0.9579,0.9627,0.9941,0.9509,0.8976,0.997,0.9316,0.8024,0.755,0.9495,0.9819,0.8408,-0.885,1.0,0.5231,1.0,0.5821,0.7021,1.0,0.9739,1.0,-0.8623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9181,0.995,0.0172,-0.8285,1.0,1.0,1.0,-0.9378,-0.9949,-0.5822,0.3966,0.9676,0.8867,0.9779,0.6444,0.8658,0.892,0.958,0.9854
FH_CEID_Walk,,,,,,1.0,1.0,1.0,0.9989,0.8197,-0.117,0.9064,0.9739,-0.9667,-0.0416,-0.8624,-0.9001,-0.8836,0.9515,0.9289,-0.9667,0.8024,0.9509,0.8222,,0.9192,0.6764,-0.8578,0.9049,-0.9574,0.8408,-0.885,-0.8055,0.5231,1.0,-0.6954,0.7021,0.981,0.9739,0.1856,-0.8623,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1309,0.9181,-0.6219,-0.2387,-0.8285,1.0,1.0,-0.8527,-0.9994,-0.8137,0.6354,1.0,0.9567,-0.9092,-0.3879,,,,,
FH_CMU_TimeSeries,,,1.0,1.0,1.0,1.0,1.0,1.0,-0.9822,-0.9894,0.0814,0.9064,0.9399,0.9939,-0.2661,-0.8624,-0.9851,0.8352,0.8434,0.9579,0.9627,0.9941,0.9509,0.8976,0.997,0.9316,0.8024,0.755,,0.9819,0.8408,-0.885,1.0,0.5231,1.0,0.5821,0.7021,1.0,0.9739,1.0,-0.8623,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9181,0.995,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9482,0.7167,-0.4802,0.983,-0.8398,0.8818,0.7799,0.9372,-0.892,0.9991,0.9924
FH_COVIDhub_ensemble,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531,0.9822,-0.973,0.3942,0.9606,0.9968,0.9336,-0.7002,-0.8624,1.0,-0.8352,1.0,0.9579,0.8874,0.9942,0.9622,0.9295,0.9577,0.9652,0.8024,0.9351,,0.1763,0.715,-0.9873,-0.0625,0.5231,1.0,0.5821,0.7021,0.981,0.9739,0.5623,-0.8623,1.0,,1.0,-0.9296,,,,1.0,1.0,1.0,1.0,1.0,0.9644,1.0,-0.2778,-0.8285,0.9903,0.9872,0.9662,1.0,0.9482,0.7167,-0.4802,0.983,-0.8398,0.8818,0.7799,0.9372,-0.892,0.9991,0.992
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8408,-0.885,0.977,0.5231,1.0,,,,,,,,,-1.0,-0.9604,,,,,1.0,1.0,1.0,,0.9453,0.9763,-0.2778,-0.8285,,0.9902,0.9984,0.9942,0.8932,0.83,-0.5283,0.989,-0.7668,0.9053,0.8264,0.9335,-0.892,0.9915,0.992
FH_CU_nochange,,,,,,,,,,,,,,0.9939,-0.2661,-0.8624,-0.9851,0.8352,0.8434,0.9579,0.9627,0.9941,0.9509,0.8976,0.997,0.9316,0.8024,0.755,,0.9819,0.8408,-0.885,1.0,0.5231,1.0,0.5821,0.7021,1.0,0.9739,1.0,-0.8623,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9181,0.995,0.0172,-0.8285,1.0,1.0,1.0,-0.9378,-0.9949,-0.5822,0.3966,0.9676,0.8867,,0.6444,0.8658,0.892,0.958,0.9854
FH_CU_scenario_high,,,,,,,,,,,,,,0.9939,-0.2661,-0.8624,-0.9851,0.8352,0.8434,0.9579,0.9627,0.9941,0.9509,0.8976,0.997,0.9316,0.8024,0.755,,0.9819,0.8408,-0.885,1.0,0.5231,1.0,0.5821,0.7021,1.0,0.9739,1.0,-0.8623,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9181,0.995,0.0172,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9939,-0.2661,-0.8624,-0.9851,0.8352,0.8434,0.9579,0.9627,0.9941,0.9509,0.8976,0.997,0.9316,0.8024,0.755,,0.9819,0.8408,-0.885,1.0,0.5231,1.0,0.5821,0.7021,1.0,0.9739,1.0,-0.8623,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9181,0.995,0.0172,-0.8285,1.0,1.0,1.0,-0.9378,-0.9949,-0.5822,0.3966,0.9676,0.8867,,0.6444,0.8658,0.892,0.958,0.9854
