,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9863,0.9744,0.8482,0.9658,,-0.9994,-0.921,0.9997,-0.8294,-0.9884,-0.7411,0.6866,0.9415,0.9373,-0.7887,0.8644,-0.992,-0.8712,-0.2935,-0.9884,-0.8686,,0.4883,0.5185,0.6759,0.9847,-0.9673,-0.7338,0.8141,0.9563,-0.9529,1.0,-0.9133,0.9997,0.9999,0.9942,0.9971,,-0.9167,-0.9762,-0.9959,-0.9874,,-0.966,0.7685,0.9959,0.9947,0.9988
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9456,-0.9851,-0.9197,-0.9716,0.7684,-0.9571,-0.9706,-0.3261,-0.999,-0.9818,0.2903,-0.9585,0.5438,0.9957,0.9873,0.3902,0.9571,-0.9766,0.9978,0.9932,0.9881,0.8763,0.9061,0.3171,-0.9632,-0.9928,-0.2629,0.9996,0.9838,-0.2935,0.9451,0.9346,0.4123,0.5403,0.2191,0.7117,0.9822,-0.2155,-0.7338,-0.9187,0.9886,0.8693,0.987,0.9972,0.9965,0.9985,0.9983,0.9898,0.9611,-0.8466,-0.7539,0.9681,0.9842,0.92,-0.9701,0.7457,0.9813,0.9912,0.9865
FH_CEID_Walk,,,,,,0.9789,0.8632,-0.9959,0.8798,-0.0441,0.3253,0.9499,0.924,-0.7296,0.9223,-0.605,-0.9895,-0.6007,-0.9571,0.869,0.169,0.9584,-0.9849,-0.6584,,-0.6513,-0.1084,0.9595,0.7676,-0.9848,-0.8837,0.9934,0.9997,0.9861,-0.8246,0.9061,1.0,0.8164,-0.933,0.9434,-0.9831,-0.9952,0.8798,-0.9216,0.8686,,0.2884,-0.8055,0.7509,0.9583,-0.9488,-0.5011,0.5876,0.9951,-0.921,0.8861,-0.9133,-0.9562,0.994,-0.8931,0.9955,-0.9414,0.7946,0.8999,0.9703,-0.8657,0.9716,,,,,
FH_CMU_TimeSeries,,,0.906,-0.9261,0.9423,0.7576,0.9988,-0.9499,0.766,0.824,0.3514,0.2201,0.9813,-0.6385,0.8959,-0.5037,-0.9943,-0.5409,0.9352,-0.1411,-0.402,-0.9507,-0.9874,0.4367,0.9397,0.7356,0.9738,0.7555,,-0.9571,0.5129,1.0,0.9966,0.982,-0.6978,0.9061,-0.9475,-0.6333,-0.84,0.971,-0.1863,0.9187,-0.7108,-0.6731,1.0,,-0.1761,0.3247,-0.8053,0.9646,-0.9623,-0.7338,-0.9753,-0.9118,-0.1845,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9906,0.9627,0.8168,0.9995,0.9635,0.9246,-0.9697,0.7457,0.9755,0.9954,0.9999
FH_COVIDhub_ensemble,1.0,-0.9733,0.906,-0.7379,0.999,0.9667,0.999,-0.7933,0.8701,-0.2095,0.2592,-0.4769,0.9733,0.9873,0.9483,-0.858,0.0368,-0.5178,0.9887,0.86,0.0705,0.9662,-0.9771,0.5764,0.9821,0.1788,0.9911,0.9872,,-0.5821,0.9901,0.9999,0.9862,0.9616,0.9193,0.9061,1.0,0.5898,-0.9718,0.8639,0.9015,1.0,,1.0,0.8686,,,,0.4992,0.9646,-0.9666,-0.7978,1.0,0.945,0.9835,0.9813,0.9765,0.999,0.9989,0.9993,0.9918,0.9906,0.9627,0.8168,0.9995,0.9635,0.9246,-0.9697,0.7457,0.9755,0.9954,0.9989
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9946,0.9995,-0.8357,0.9616,-0.9457,,,,,,,,,-0.9456,-0.8814,,,,,0.995,-0.9449,-0.7268,,0.945,0.9981,0.9955,0.9728,,0.9998,0.9983,0.999,0.9735,0.9278,0.625,0.9972,0.9822,0.9206,-0.9684,0.7831,0.9909,0.9901,0.9989
FH_CU_nochange,,,,,,,,,,,,,,0.7804,0.5661,-0.6386,0.9882,0.3241,0.9853,0.2954,0.6162,0.9227,0.9891,-0.0545,0.9534,-0.9438,0.9666,-0.2965,,0.9571,0.9428,0.9999,0.9999,0.914,-0.9575,0.9061,0.5841,-0.9534,-0.9893,0.9261,-0.92,-0.9847,0.2935,0.9884,0.8686,,,0.5185,0.4992,0.9646,0.9673,-0.7338,0.9986,0.9914,0.985,0.9807,0.992,0.9999,0.9974,0.9973,0.9981,-0.9967,0.9424,0.9929,0.9994,0.9527,,-0.9667,0.7409,0.9555,0.0643,0.9961
FH_CU_scenario_high,,,,,,,,,,,,,,0.6724,0.6471,-0.6386,0.9916,0.2055,0.9836,-0.5778,0.6162,0.9227,0.9937,-0.0545,0.9438,-0.9438,0.9675,-0.2965,,0.9571,0.9428,0.9999,0.9988,0.932,-0.963,0.9061,0.5841,-0.9534,-0.9901,0.9261,-0.92,-0.9847,0.2935,0.9884,0.8686,,,0.5185,0.4992,0.9646,0.9673,-0.7338,0.9986,0.9951,0.985,0.984,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.7804,0.8546,0.9611,0.9918,-0.5232,0.9842,0.447,-0.1704,0.9227,0.9891,0.8666,0.9701,-0.9438,0.1367,-0.2965,,0.9571,0.9428,0.9999,0.9999,0.914,-0.8246,0.9061,0.5841,-0.9534,-0.9862,0.9261,-0.92,-0.9847,0.2935,0.9884,0.8686,,,0.5185,0.4992,0.9646,0.9673,-0.7338,-0.7323,0.9951,0.985,0.9765,0.9871,0.9983,0.9956,0.9973,0.9966,-0.9967,0.9424,0.995,0.9994,0.9479,,-0.9667,0.7409,0.9555,0.1608,0.9961
