,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9942,0.9908,0.9997,0.9961,,0.9999,0.9996,0.9846,0.9882,0.9592,0.9909,0.9946,0.87,0.7312,-0.7288,0.9374,0.9988,0.9842,0.9818,0.9954,0.7614,,-0.9852,-0.9772,-0.9298,0.3317,0.9675,0.8768,-0.2239,-0.9117,-0.9805,-0.9347,-0.9687,-0.9426,0.9991,0.9996,0.9994,,0.9959,0.8219,-0.9837,-0.9957,,0.9979,0.9932,0.9981,0.9935,0.9998
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9994,0.9999,-0.9946,0.9977,0.9996,-0.9966,0.9937,0.9907,0.3203,-0.9602,-0.9986,0.9879,0.9853,-0.9317,-0.9729,0.9978,0.9988,0.9993,0.9934,0.9859,0.9885,0.9078,0.9725,0.9973,0.8205,0.4684,0.9172,0.9808,0.7345,0.1467,0.9944,0.777,-0.8989,-0.8954,-0.9871,-0.8937,0.258,0.962,-0.9847,0.9892,-0.7762,-0.9795,0.9991,0.9997,0.9973,0.989,0.9972,0.8842,0.9979,0.9975,0.9093,-0.9898,-0.932,0.9915,0.9916,0.9704,0.9953,0.9888,0.9798
FH_CEID_Walk,,,,,,0.8938,0.7964,-0.9993,-0.8321,0.9889,-0.9795,-0.0541,-0.8728,0.9237,0.7469,-0.9665,0.9872,0.9268,-0.9625,0.9269,0.9896,0.1383,-0.7831,0.7056,,0.2464,-0.947,0.949,0.9962,0.4057,0.9524,0.9632,0.8897,0.9792,-0.8085,0.9481,-0.977,-0.6445,-0.7909,0.8601,-0.9094,-0.5416,0.9794,-0.9093,-0.2226,,-0.4057,-0.9773,0.9634,-0.0532,0.9284,-0.8841,-0.3486,-0.814,-0.1379,0.9899,0.205,0.8755,1.0,1.0,1.0,0.6958,-0.9392,0.5061,0.9108,-0.971,0.9289,,,,,
FH_CMU_TimeSeries,,,0.9744,0.9896,0.2433,0.9673,-0.9349,-0.9975,-0.1515,0.9878,0.9569,-0.8487,-0.9355,0.9987,0.9966,0.9965,0.9004,0.9915,0.9968,0.9929,0.9716,-0.7366,-0.993,-0.9968,-0.7442,0.9838,-0.9726,0.9894,,-0.7366,-0.6694,0.9817,0.9829,0.9563,-0.4245,0.6533,-0.9932,-0.9128,-0.7755,-0.7269,-0.8469,0.9989,0.9802,0.815,0.7089,,0.7275,-0.9932,0.8667,0.8789,0.9819,-0.9211,-0.2939,-0.9574,-0.8861,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9973,0.9905,0.9559,0.7302,-0.8711,0.9795,0.9988,0.9855,0.998,0.998,0.9998
FH_COVIDhub_ensemble,-0.9977,0.1011,0.9682,0.9899,-0.2483,0.8479,0.9273,0.978,0.9951,0.988,0.8785,-0.7261,-0.9346,0.9401,0.9293,0.998,0.9802,0.9929,0.9991,0.982,0.9909,0.482,-0.9467,-0.9992,0.9906,0.9894,0.9981,0.987,,0.9999,0.9953,0.9934,0.9887,0.9901,0.9903,0.9815,-0.9489,0.8521,-0.7627,-0.9836,-0.5533,0.9761,,0.9718,0.7239,,,,-0.9738,0.5822,0.9761,-0.9665,-0.268,-0.9345,0.9849,0.9938,0.9848,0.9935,0.9816,0.9969,0.9443,0.9973,0.9905,0.9559,0.7302,-0.8711,0.9795,0.9988,0.9855,0.998,0.998,0.9997
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947,0.9915,-0.5974,0.9834,0.9895,,,,,,,,,0.9552,0.7135,,,,,0.4561,0.977,-0.9629,,-0.9227,0.9924,0.9986,0.9972,,0.976,0.9953,0.9431,0.9989,0.9941,0.8609,0.7496,-0.8863,0.9944,0.9959,0.9466,0.9994,0.9974,0.9997
FH_CU_nochange,,,,,,,,,,,,,,0.992,0.9938,0.9733,0.9996,0.9887,0.9982,0.9995,-0.9927,0.2322,-0.9706,0.93,0.9228,0.9898,0.9984,0.9969,,0.9808,0.984,0.9982,0.9804,0.9846,-0.8376,0.984,-0.984,0.5461,-0.7976,-0.7515,0.4013,0.9942,0.9967,0.8823,0.6514,,,-0.9786,-0.8502,0.258,0.9498,-0.9629,-0.1886,-0.8896,0.997,0.9997,0.9999,0.9964,0.9841,0.9891,0.9354,0.9974,0.9593,0.9885,0.9721,-0.7769,,0.9991,0.9008,0.9998,0.9978,0.9987
FH_CU_scenario_high,,,,,,,,,,,,,,0.9949,0.9941,0.9916,0.9997,0.9903,0.9969,0.9985,-0.9963,0.2251,0.8907,0.8928,0.9369,0.9898,0.9984,0.9969,,0.9808,0.9821,0.999,0.9804,0.9846,-0.9534,0.9678,-0.984,0.5501,-0.7976,-0.48,0.4804,0.9768,0.9981,1.0,0.6514,,,-0.9786,-0.8502,0.258,0.9498,-0.9629,-0.1886,-0.531,0.997,0.9999,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9709,0.9382,0.7353,0.9928,0.4049,0.9951,0.9993,-0.9929,0.2002,-0.9278,-0.9925,0.8978,0.9898,0.9984,0.9969,,0.9808,0.9821,0.999,0.9804,0.9868,0.9505,0.9678,-0.984,0.5501,-0.7976,-0.7515,0.4804,0.9968,0.9967,0.8823,0.6514,,,-0.9786,-0.8502,0.258,0.9498,-0.9629,-0.1886,-0.8896,0.997,0.998,0.9994,0.9965,0.9693,0.9891,0.9444,0.9974,0.9676,0.9851,0.9672,-0.7849,,0.9989,0.8782,0.9998,0.9976,0.9984
