,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9999,0.8668,-0.9925,-0.9965,,0.9992,0.9989,0.9999,0.9995,0.9999,0.9993,0.9889,0.9954,0.4468,-0.9971,-0.9902,-0.9998,0.9948,0.8607,-0.9536,-0.995,,-0.9985,0.9848,0.9989,0.9997,0.9787,0.7737,0.9787,-0.9596,-0.9952,-0.9692,-0.9925,-0.9999,-0.9555,0.9961,0.9971,,-0.8644,-0.9873,-0.9954,-0.9975,,0.9944,0.9824,0.953,-0.8709,-0.9381
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.992,0.9862,0.9939,0.9993,0.9988,0.9999,0.9988,0.999,0.8543,-0.8046,-0.0744,0.9975,0.9882,-0.3721,-0.4382,1.0,0.9973,0.9996,0.9982,0.9996,0.9967,0.9964,0.9994,0.9992,0.5495,0.9659,0.9945,0.9915,0.9831,0.9332,0.9479,-0.9923,0.984,0.9947,0.9926,0.9999,0.9995,0.9978,0.9958,0.9971,-0.8577,0.9841,-0.9579,0.9982,0.9999,0.9988,0.9999,0.9714,0.9896,-0.7544,-0.8985,-0.9115,-0.0973,0.9235,0.9803,-0.9876,0.8973,-0.9006,-0.6742
FH_CEID_Walk,,,,,,-0.9423,-0.98,0.9821,0.9823,0.1441,0.0843,-0.9977,0.9861,0.9147,0.9969,0.9273,0.9606,-0.8683,0.9266,0.9739,0.9869,0.3821,-0.8886,0.7548,,0.746,-0.7752,-0.995,0.9569,0.713,0.9831,0.9524,0.921,0.9434,0.9403,-0.7414,0.9985,0.6437,-0.7394,-0.923,0.3926,0.9573,0.8921,-0.8963,0.7039,,0.9683,0.9488,0.9256,0.9364,0.9922,-0.9535,0.9865,0.5015,0.5636,-0.906,-0.8861,0.9208,0.9035,0.9094,0.9553,0.9855,-0.7654,-0.3446,0.9701,0.9834,0.899,,,,,
FH_CMU_TimeSeries,,,0.9912,0.9968,0.9252,-0.4461,0.9834,0.9994,0.9765,0.9886,-0.9051,-0.9962,-0.9893,-0.6622,0.9097,0.9942,0.9981,0.992,0.9997,0.9878,0.9821,-0.1871,-0.9443,-0.9905,0.9976,-0.8209,0.8985,0.9677,,-0.9794,0.9999,0.9925,0.9998,0.9999,0.9896,0.9713,0.9937,0.5916,-0.9875,-0.9788,-0.5564,-0.9789,-0.8089,0.9877,0.9982,,0.9915,0.9944,1.0,0.998,0.9975,0.9995,0.9971,-0.9176,-0.8678,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9658,-0.3582,-0.8603,0.9991,0.9853,0.9851,0.994,0.9921,0.9339,-0.8926,0.3447
FH_COVIDhub_ensemble,-0.9939,-0.9662,0.9874,0.9749,0.9497,0.9055,-0.9927,0.9967,0.9848,0.9453,-0.8999,-0.9877,0.5953,-0.968,0.9902,0.9827,0.9897,0.9943,0.9965,0.9993,0.9923,0.7519,-0.8362,0.9945,0.9969,0.9789,0.9963,0.9997,,0.999,0.9997,0.9982,0.9998,0.9985,0.9991,0.9984,0.9993,0.5941,0.7983,-0.7309,0.9996,0.9951,,0.9991,0.9957,,,,0.9998,0.9996,0.9983,0.9997,0.9958,0.6895,0.8946,0.9655,0.9999,0.9988,0.9884,0.9904,0.9895,0.9658,-0.3582,-0.8603,0.9991,0.9853,0.9851,0.994,0.9921,0.9339,-0.8926,0.9867
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996,0.9989,0.8927,0.9965,0.9955,,,,,,,,,0.9911,0.9982,,,,,0.9989,0.9986,1.0,,0.0067,0.976,0.9017,0.9995,,0.9971,0.9997,0.9937,0.9725,-0.787,-0.918,0.9995,0.9907,0.9945,0.9924,0.9946,0.9481,-0.8502,0.9867
FH_CU_nochange,,,,,,,,,,,,,,0.9858,0.9997,0.9935,0.9949,0.9922,0.9999,0.9937,-0.2942,0.3273,-0.5992,0.9722,0.9962,0.9996,0.9606,0.9585,,0.9991,0.9962,0.9976,0.9942,0.9922,0.9702,0.9906,0.9976,-0.1518,0.9888,0.9997,0.9992,0.9842,-0.7424,0.9504,0.982,,,0.9942,0.9981,0.9995,0.9988,0.9994,0.9958,0.9945,0.9996,0.9993,1.0,0.9997,0.9995,0.9998,0.9996,0.9509,0.9788,0.9014,1.0,0.9996,,0.9965,0.9881,0.9635,0.9448,0.9996
FH_CU_scenario_high,,,,,,,,,,,,,,0.9949,0.9993,0.9937,0.997,0.9953,0.9982,0.9737,-0.1949,0.328,0.9801,0.9691,0.9961,0.9996,0.922,0.9445,,0.9993,0.9965,0.9976,0.9937,0.9925,0.9657,0.986,0.9978,-0.153,0.9884,0.9994,0.9998,0.9958,-0.742,0.9457,0.981,,,0.9939,0.9982,0.9995,0.9988,0.9992,0.9952,0.9905,0.9996,0.9997,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.6068,-0.996,0.9672,0.9728,0.9733,0.9999,0.9953,0.9594,0.3156,0.6523,0.9759,0.9974,0.9996,0.9907,0.9743,,0.9988,0.9967,0.9978,0.9931,0.9916,0.9718,0.9879,0.9965,-0.1559,0.9858,0.9995,0.9983,0.974,-0.745,0.953,0.9832,,,0.9942,0.9984,0.9994,0.9988,0.9994,0.9954,0.9966,0.9995,0.9989,0.9999,0.9999,0.9987,0.9998,0.9997,0.9541,0.9792,0.86,1.0,0.9997,,0.9962,0.9866,0.9798,0.9486,0.9996
