,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.1617,0.9698,-0.9926,-0.7239,,0.9464,0.9908,0.9962,0.9929,0.9982,0.9878,0.9981,0.9945,0.9447,0.8694,0.9832,-0.8699,-0.8838,-0.8125,-0.8313,0.9118,,0.992,0.9763,0.9944,0.9988,0.9929,0.8914,-0.993,0.7325,-0.9228,0.8895,0.8826,-0.7885,0.9983,0.9995,0.9997,,0.9752,-0.6494,-0.9942,-0.9992,,-0.9994,-0.9738,0.7071,-0.9815,-0.9721
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.1284,0.9997,0.9994,0.9984,0.9969,0.9999,0.9978,0.9966,0.9391,-0.8778,-0.9134,0.9654,0.9634,0.4331,0.8338,0.992,0.9221,0.9903,-0.5687,0.9989,0.999,0.9997,0.9994,0.9993,0.9907,-0.9532,0.8729,-0.0203,0.8441,-0.3537,-0.9023,0.8963,0.881,0.9795,0.9827,0.9942,0.9988,0.9829,0.9658,0.9432,0.9539,0.5923,-0.9968,0.999,0.9999,0.9964,0.9997,0.9556,0.9947,0.9927,-0.5039,-0.9944,-0.9983,0.8753,0.9963,0.7979,0.9764,-0.8989,0.7184
FH_CEID_Walk,,,,,,0.8402,-0.9466,0.3245,-0.8717,0.8743,-0.9984,-0.929,-0.9651,-0.9571,-0.8177,0.7971,0.4201,-0.6798,-0.9846,-0.9735,-0.9802,-0.996,0.6527,0.8179,,0.9721,0.985,0.9983,0.9831,0.9751,0.8108,-0.9054,0.9408,-0.7112,-0.8608,0.6184,0.9944,0.9988,0.9889,0.8559,0.3199,-0.5504,-0.7565,0.9952,0.8229,,-0.9041,0.9817,-0.9495,0.9602,0.984,0.947,-0.998,-0.3027,-0.8629,-0.9284,0.9827,0.9895,0.9438,0.3009,0.9803,-0.9504,0.348,0.6549,0.9723,-0.9104,0.9992,,,,,
FH_CMU_TimeSeries,,,-0.7194,-0.9469,-0.7261,-0.9348,-0.9928,0.0746,-0.2474,0.9665,-0.9934,-0.9973,-0.9998,-0.9934,-0.9766,-0.7619,0.991,0.9615,0.9994,0.9736,0.9815,0.8344,-0.9594,-0.9959,-0.8449,0.2177,0.9955,0.9623,,-0.8451,0.8974,0.9845,0.9997,0.9945,0.9829,0.9993,0.9996,0.992,0.9709,0.9153,-0.9359,-0.8924,-0.8268,0.4762,0.975,,0.997,0.9949,0.9946,0.9979,0.9869,0.9416,0.6359,-0.9468,-0.895,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997,0.9984,-0.3897,0.9981,0.9994,0.9996,0.9999,0.9924,0.8623,-0.9356,-0.7691
FH_COVIDhub_ensemble,-0.8674,-0.5095,0.7743,0.9987,0.9041,-0.9528,-0.9625,0.4862,-0.3138,0.9948,0.5371,-0.9548,0.997,-0.9785,-0.7875,0.9998,0.9958,0.9993,0.9989,0.9881,0.9928,-0.4404,-0.9983,-0.6187,0.9755,0.9619,0.9982,0.9938,,0.9528,0.9857,0.9851,0.9957,0.9951,0.9998,0.9995,0.9982,0.995,0.9896,0.9025,0.274,0.8819,,0.9605,0.9099,,,,0.9996,0.991,0.9967,0.9778,0.5741,-0.9487,-0.6044,0.9896,0.9916,0.9993,0.9944,0.9988,0.9939,0.9997,0.9984,-0.3897,0.9981,0.9994,0.9996,0.9999,0.9924,0.8623,-0.9356,0.9873
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9862,0.9984,0.9995,0.9958,0.9981,,,,,,,,,0.5801,0.9417,,,,,0.9946,0.9989,0.9802,,-0.9258,-0.62,0.9963,0.9953,,0.9956,0.9993,0.9996,1.0,0.9971,-0.4532,0.9984,0.9981,0.9998,0.9995,0.9929,0.8493,-0.9348,0.9873
FH_CU_nochange,,,,,,,,,,,,,,0.9888,0.9907,0.9999,0.9996,0.999,0.9999,0.9987,0.9958,-0.9479,0.8461,0.9767,0.9885,0.9957,0.9973,0.9921,,0.9453,0.9872,0.996,0.9898,0.9937,0.9996,0.9999,0.9996,0.9938,-0.936,-0.9742,0.4185,0.8929,-0.8552,0.6885,0.8259,,,0.995,0.999,0.9977,0.9889,0.948,0.9416,-0.3162,0.9286,0.9965,0.9972,0.9992,0.9967,0.9967,0.9952,0.9718,-0.6461,0.8419,0.999,0.9986,,0.9999,0.9963,0.8303,-0.9204,0.998
FH_CU_scenario_high,,,,,,,,,,,,,,0.9905,0.9932,1.0,0.9992,0.9997,0.9998,0.9985,0.9996,-0.948,0.8982,0.9749,0.9879,0.9957,0.9973,0.9921,,0.9438,0.9871,0.9961,0.9895,0.9937,0.9994,0.9999,0.9996,0.9926,-0.936,-0.9684,0.4497,0.887,-0.8496,0.6773,0.8259,,,0.9942,0.9986,0.9982,0.9785,0.948,0.9416,-0.2562,0.9465,0.9982,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9879,0.9869,0.9988,0.9865,0.9927,0.9999,0.9991,0.9998,-0.9505,0.8464,-0.6948,0.9842,0.9959,0.9975,0.9921,,0.9451,0.9868,0.9953,0.9889,0.9932,0.9992,0.9998,0.9994,0.9941,-0.9577,-0.9695,0.3812,0.8934,-0.8575,-0.1063,0.9038,,,0.9957,0.9991,0.9972,0.9918,0.948,0.9416,-0.5592,0.8881,0.995,0.9974,0.9989,0.9955,0.9955,0.995,0.9669,-0.6651,0.8317,0.9988,0.9986,,0.9999,0.9956,0.8288,-0.9204,0.9979
