,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.8598,0.9894,-0.9814,-0.9795,,0.9863,0.9973,0.9941,0.9628,0.9792,0.3072,0.9947,0.9731,0.9709,-0.7107,0.8716,0.9948,0.9762,0.8367,0.9999,0.9996,,0.9648,0.9028,0.9944,0.9996,0.9896,0.1518,-0.739,-0.9553,0.9769,-0.9456,-0.9697,-0.9572,-0.9947,-0.9425,-0.9428,,0.9863,0.9942,0.9993,0.9988,,0.8279,-0.9652,-0.9984,-0.9934,0.7501
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9954,0.9969,-0.9863,0.9957,0.9965,0.9978,0.9988,0.7923,0.1873,-0.9178,-0.9961,-0.9988,-0.1503,0.8856,0.7177,0.6762,0.9879,0.9897,0.9996,-0.2259,0.9984,0.9984,0.9974,0.9977,0.9268,-0.9973,0.988,0.9539,-0.0391,0.9966,0.9985,0.9966,0.9791,0.9835,0.9161,0.9918,-0.989,0.9947,0.8191,0.1479,-0.9453,-0.8283,0.9794,0.9989,0.9894,0.9972,0.9984,0.8566,0.9173,0.9904,0.9883,0.9982,0.9995,0.9955,0.8551,-0.9859,-0.9999,-0.9789,0.8663
FH_CEID_Walk,,,,,,0.9975,0.2821,-0.9265,-0.9425,-0.6501,0.6857,-0.975,0.7629,0.8926,0.9151,-0.9642,0.9444,-0.9705,0.9267,0.9569,0.9978,-0.4397,-0.9235,0.658,,-0.15,-0.7169,0.8113,-0.8469,0.8594,0.8812,-0.9933,0.908,0.9483,-0.9126,0.8625,0.9997,0.8843,0.8805,-0.9638,0.9743,0.7078,0.9045,0.9263,0.9432,,-0.9935,0.8765,-0.7134,-0.976,0.9821,0.8191,0.7711,-0.8608,0.9898,0.8325,0.2054,-0.9684,0.9549,-0.928,-0.6998,-0.8703,-0.9638,-0.9829,0.9946,-0.9997,0.9942,,,,,
FH_CMU_TimeSeries,,,0.8459,0.9979,0.4558,0.7005,-0.3943,-0.9948,-0.2048,-0.5229,-0.9861,-0.9983,-0.9736,0.9954,0.9906,0.9841,0.4427,0.9392,0.9911,0.9885,0.9739,-0.3451,-0.9904,-0.9971,0.7303,-0.0767,0.9463,-0.9842,,0.9892,-0.5702,0.9998,0.9984,0.3394,0.8915,0.9959,0.9953,0.8865,-0.3882,0.9981,0.9885,0.9735,-0.073,0.9992,0.9991,,0.7753,0.9262,0.9709,0.1862,0.9755,0.7622,-0.7493,-0.9629,0.9959,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997,0.9786,0.9898,0.9739,-0.9289,-0.9012,-0.7731,0.9814,0.7965,0.9958,-0.3205
FH_COVIDhub_ensemble,0.9897,0.7814,0.9988,-0.6362,0.3344,0.9611,-0.3692,-0.9481,-0.9966,-0.573,0.7029,-0.977,0.9718,0.9253,-0.2786,-0.9798,0.9569,0.9836,0.9897,0.9904,0.9997,0.3925,-0.9389,0.9942,0.9973,-0.0905,0.3173,-0.9896,,0.9902,0.9997,0.9977,0.98,0.9984,0.9797,0.998,0.9965,0.882,-0.7359,0.9851,0.9812,0.9929,,0.9997,0.9976,,,,0.9956,0.9428,0.9915,0.6455,-0.7194,-0.9576,0.9741,0.9565,0.9953,0.9767,0.9906,0.9996,0.9679,0.9997,0.9786,0.9898,0.9739,-0.9289,-0.9012,-0.7731,0.9814,0.7965,0.9958,0.9233
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937,0.9975,-0.4435,0.9895,0.9534,,,,,,,,,0.9998,0.9995,,,,,0.9268,0.9862,0.666,,-0.9528,0.9999,0.9835,0.9983,,0.995,0.994,0.9937,0.9997,0.9767,0.9978,0.9956,0.9962,-0.9099,-0.7832,0.9718,0.9973,0.9977,0.9233
FH_CU_nochange,,,,,,,,,,,,,,-0.8279,-0.9658,-0.0262,-0.9165,-0.4715,0.9993,0.9907,0.9185,0.2302,0.9911,0.9923,0.9916,-0.1719,-0.9901,-0.9728,,0.9578,0.983,0.9957,0.9772,0.9983,-0.9885,0.9983,0.9973,0.9175,-0.9474,-0.6161,0.975,0.9971,0.9871,0.9993,0.9892,,,0.9117,0.9954,0.9134,0.9778,0.992,-0.6381,-0.9003,0.9769,0.9872,0.9987,0.9997,0.9998,0.9996,0.9825,0.999,0.9677,0.9676,0.9807,-0.9954,,-0.7913,0.9876,0.9637,0.9952,0.9859
FH_CU_scenario_high,,,,,,,,,,,,,,-0.5966,-0.9481,0.3214,-0.8385,-0.0277,0.9932,0.9899,0.9418,0.2353,0.992,0.9904,0.9908,-0.1719,-0.9903,-0.9724,,0.9407,0.9776,0.9953,0.9762,0.9983,-0.9882,0.9984,0.9971,0.9175,-0.9474,-0.4154,0.975,0.9971,0.9871,0.9988,0.9892,,,0.9031,0.9954,0.9134,0.9778,0.992,-0.6381,-0.8643,0.9769,0.9799,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9374,-0.9746,-0.8329,-0.9728,0.6907,0.9996,0.9926,0.8841,0.2279,0.9908,0.9987,0.9901,-0.1719,-0.9901,-0.9729,,0.96,0.9787,0.9955,0.976,0.9979,-0.9884,0.9985,0.9931,0.9003,-0.9474,-0.6155,0.9772,0.9971,0.9855,0.9995,0.9892,,,0.9117,0.9954,0.9134,0.9778,0.992,-0.6381,-0.8634,0.9769,0.9872,0.9981,0.9997,0.9999,0.9998,0.985,0.9984,0.9535,0.9739,0.9862,-0.9962,,-0.7855,0.9868,0.9573,0.9862,0.99
