,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.0105,-0.9267,-0.9489,-0.7904,,0.7838,0.6983,0.9815,0.9841,0.9957,0.9972,0.8669,0.9387,-0.6197,-0.5574,0.8916,-0.9206,0.2605,-0.585,0.9822,0.9996,,-0.4857,-0.9571,0.6633,-0.8189,-0.4352,-0.8023,0.9884,0.955,0.9901,0.9993,0.8271,0.9966,0.9913,0.9988,0.963,,-0.9687,-0.9972,-0.7641,-0.9314,,-0.7903,0.9599,0.9567,0.9976,0.4873
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9931,0.9023,0.8927,0.983,0.982,0.9983,0.9899,0.9941,0.9881,0.9399,0.8801,0.4859,0.9406,-0.8595,0.9838,0.765,-0.8904,0.275,0.9906,0.9944,0.9968,0.9994,0.9972,0.9331,-0.9837,0.8981,0.9819,-0.6252,0.6062,-0.8366,0.9228,0.984,0.9927,-0.4163,-0.9731,0.6323,0.8189,-0.6611,-0.9633,-0.8085,0.9962,0.9977,0.9968,0.9715,0.9945,0.9813,0.999,-0.9947,0.7213,0.8924,0.9782,-0.8714,-0.5699,-0.8533,-0.9595,-0.9419,-0.9799,0.9807,0.748
FH_CEID_Walk,,,,,,-0.7675,0.9041,-0.9686,0.9723,0.9923,0.903,0.9346,-0.9515,0.8474,0.9749,0.8292,0.9845,-0.8239,0.953,-0.8972,0.9583,0.127,0.9784,-0.9477,,0.9195,-0.8283,0.977,0.9186,-0.8927,0.358,-0.9678,0.9855,-0.9599,0.9921,0.9138,0.9417,-0.9915,-0.9039,-0.6052,-0.8297,0.9922,0.4658,-0.9051,-0.9623,,0.713,0.6762,0.598,-0.827,-0.8734,-0.9712,-0.889,0.9385,0.8704,0.6221,-0.9626,0.9408,-0.952,-0.9998,-0.9976,-0.3088,0.999,0.9931,-0.8488,-0.8889,0.9899,,,,,
FH_CMU_TimeSeries,,,0.8716,0.7616,0.3779,0.999,0.9949,0.846,0.8979,0.9992,-0.8238,-0.7723,-0.9905,0.9631,-0.4328,0.4397,0.8075,-0.2105,0.9911,0.9496,0.9776,0.9299,0.8985,0.9198,-0.0722,0.9521,0.7275,0.9574,,-0.8602,-0.7394,0.9883,0.9976,0.9901,0.997,0.9858,0.9608,-0.9218,0.4697,0.9253,-0.8493,0.978,0.4726,0.9797,0.9329,,-0.4393,-0.8612,0.5312,-0.5256,-0.6733,-0.9808,-0.9116,-0.7435,-0.8931,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5836,-0.9235,0.9385,-0.0514,-0.8888,0.7295,-0.7592,0.1941,-0.9469,0.995,0.5943
FH_COVIDhub_ensemble,-0.9992,-0.2284,0.9483,0.8001,0.6394,-0.5778,0.9593,-0.8105,0.957,0.9913,0.9906,-0.6665,-0.9668,0.7996,-0.9877,0.8806,0.9799,-0.6082,0.9823,-0.6636,0.9951,0.9791,0.9629,0.98,-0.5266,0.9405,-0.862,0.9836,,-0.8941,0.3767,0.9933,0.9931,0.9971,0.998,0.9863,0.959,-0.0494,0.4152,0.9447,-0.8653,0.9,,-0.8277,0.6038,,,,0.6352,-0.6591,-0.8161,-0.9635,-0.5427,0.9851,0.972,0.9998,0.9933,0.9979,0.9556,0.9984,-0.2035,-0.5836,-0.9235,0.9385,-0.0514,-0.8888,0.7295,-0.7592,0.1941,-0.9469,0.995,0.6457
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2142,0.9999,-0.8853,0.9962,0.9991,,,,,,,,,-0.2652,-0.1683,,,,,-0.3619,-0.7275,-0.9717,,0.9916,0.9782,0.9992,0.9966,,0.9736,0.9905,0.9222,-0.5759,-0.9595,0.9959,-0.2728,-0.8662,-0.9916,-0.7194,-0.9695,0.7222,0.9942,0.6457
FH_CU_nochange,,,,,,,,,,,,,,0.8883,-0.9154,0.7155,0.6911,-0.4962,0.9982,0.9998,0.9936,-0.9819,-0.5501,-0.698,-0.1689,0.9551,-0.9845,0.9514,,-0.8708,0.9818,0.935,0.9871,0.9546,0.9952,0.9764,0.9785,-0.0996,0.6291,0.9613,-0.8149,0.9904,0.9043,-0.8727,0.8491,,,-0.8355,0.6318,0.9921,-0.4832,-0.8544,0.988,0.9988,0.9995,0.9993,0.9975,0.9999,0.9767,-0.0325,-0.9975,-0.5097,0.9087,0.9943,0.5139,-0.9337,,-0.8341,0.8638,-0.8418,0.995,0.7067
FH_CU_scenario_high,,,,,,,,,,,,,,0.962,-0.659,0.9074,0.8461,-0.1704,0.9987,0.9997,0.9944,-0.9768,-0.7185,-0.6077,-0.156,0.9556,-0.9866,0.9514,,-0.8726,0.9827,0.9221,0.9868,0.9447,0.9953,0.9764,0.979,-0.1021,0.6291,0.9613,-0.7445,0.9963,0.9043,-0.8727,0.8491,,,-0.8355,0.6318,0.9921,-0.4924,-0.3451,0.9872,0.9982,0.9995,0.9982,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.7235,-0.9865,-0.5945,-0.9493,0.9346,0.9977,0.9999,0.9976,-0.9536,-0.5381,0.9753,0.0148,0.9556,-0.962,0.9514,,-0.8675,0.9826,0.9565,0.9859,0.9718,0.995,0.9765,0.9782,-0.1021,0.6291,0.9613,-0.8149,0.9722,0.9797,-0.8727,0.8383,,,-0.8517,0.6318,0.9921,-0.4596,-0.8535,0.9924,0.9986,0.9995,0.9995,0.9973,0.9997,0.9715,-0.2308,-0.9975,-0.532,0.8995,0.9949,0.5124,-0.9307,,-0.8418,0.8477,-0.8441,0.9956,0.7121
