,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,-0.336,0.9945,0.9726,,-0.9635,-0.9991,0.9973,-0.8527,-0.9889,-0.9968,0.114,0.9883,0.9971,0.9929,0.9992,0.9869,0.9996,-0.6442,0.9912,-0.9937,,0.5048,0.9907,0.9783,0.9987,0.9677,0.9635,-0.9929,-0.9825,-0.9605,-0.9665,-0.9701,-0.9984,0.9992,0.9994,0.9994,,0.9921,0.8376,-0.9922,-0.9934,,-0.6718,-0.9897,-0.9812,-0.9998,-0.9986
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9981,0.6839,0.9986,0.9928,0.9882,0.847,0.9936,0.986,0.9846,0.9626,0.9502,0.9223,0.9989,0.9948,0.9973,-0.0208,0.937,0.9937,0.9926,-0.8994,-0.9914,-0.9946,0.0501,0.9646,-0.9615,0.989,-0.9983,0.8675,0.9979,0.9958,-0.8504,-0.9941,-0.991,0.5256,0.9906,-0.98,0.9997,0.925,-0.9909,-0.9575,-0.8735,0.9886,0.9866,0.9998,0.9999,0.9999,0.9992,0.9004,-0.3915,-0.7317,0.023,0.9976,1.0,0.9996,-0.7071,-0.9867,-0.9829,-0.9999,-0.996
FH_CEID_Walk,,,,,,-0.863,0.8597,0.2759,0.5772,-0.988,0.9993,-0.8506,-0.8761,0.3808,-0.9784,0.8989,0.8691,-0.8533,-0.9969,0.9251,0.9614,-0.8403,0.9955,-0.9488,,-0.9539,0.9945,0.9962,0.2616,-0.8628,-0.9595,0.9421,-0.6374,-0.9814,0.9832,-0.0787,0.8079,0.9868,0.9921,0.9977,0.9582,0.9927,-0.979,-0.7216,-0.9588,,0.3897,-0.9422,-0.9244,0.9878,0.9751,-0.9996,-0.9537,0.9695,0.6847,-0.948,-0.9287,0.9591,0.9542,0.962,0.9308,-0.9844,-0.9993,0.8102,0.1694,-0.7673,0.9667,,,,,
FH_CMU_TimeSeries,,,-0.9654,0.9288,-0.242,0.9496,0.9856,0.0988,0.3409,0.987,0.9157,-0.8918,-0.9523,0.9881,0.9579,0.9935,0.827,0.9928,0.971,0.9972,0.9724,0.9724,0.9215,0.8496,0.9845,-0.9696,0.944,-0.8893,,-0.9718,-0.6268,0.9945,-0.8925,-0.9889,-0.9932,0.1526,0.9922,0.9752,0.9996,0.9998,0.9915,0.9987,0.9994,-0.8174,-0.9956,,0.4822,0.9888,0.9902,0.9993,0.9643,-0.9677,-0.9775,-0.9671,-0.8705,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9913,0.3675,0.9977,0.9982,0.9705,0.9999,-0.7047,-0.993,-0.9786,-0.9998,-0.9923
FH_COVIDhub_ensemble,-0.3139,-0.6229,0.9345,0.9942,0.9338,0.7369,0.9746,0.1434,0.8452,-0.9982,0.9876,0.1712,0.9685,0.9934,0.9979,0.9772,0.9804,0.9972,0.9984,0.9876,0.9915,0.9904,0.9847,0.9769,0.8926,-0.9571,-0.6173,0.9982,,-0.9473,0.9997,0.9968,-0.8428,-0.9878,-0.9975,0.1031,0.9832,0.9973,0.9961,0.9997,0.9765,0.9969,,-0.7637,-0.9955,,,,0.9284,0.9997,0.9428,-0.9592,-0.9766,-0.8847,0.9589,0.9927,0.9999,0.9977,0.9936,0.9969,0.9677,0.9913,0.3675,0.9977,0.9982,0.9705,0.9999,-0.7047,-0.993,-0.9786,-0.9998,-0.999
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978,0.9984,-0.8987,-0.991,-0.997,,,,,,,,,-0.7888,-0.9932,,,,,0.9995,0.9208,-0.9577,,0.132,0.991,0.9904,0.996,,0.9987,0.9992,0.9893,0.9982,0.9979,0.9169,0.9982,0.985,0.9996,-0.6955,-0.9879,-0.9785,-0.9996,-0.999
FH_CU_nochange,,,,,,,,,,,,,,0.9949,0.9926,0.9996,0.9991,0.9945,0.9992,0.9918,0.9957,-0.9883,0.9803,-0.9838,-0.9938,-0.9876,-0.9916,-0.9932,,0.8183,0.9724,0.9912,-0.841,-0.9925,-0.9968,0.0514,0.9705,0.9912,0.9955,0.9973,0.9955,-0.7151,0.9982,-0.7296,0.9423,,,0.9855,0.9885,0.9996,0.9475,-0.9786,-0.9468,-0.9391,0.6907,0.9992,0.9998,0.9999,0.9999,0.9974,0.946,-0.5677,-0.9794,-0.6808,0.9973,0.9607,,-0.7108,-0.9933,-0.9889,-0.9982,0.8861
FH_CU_scenario_high,,,,,,,,,,,,,,0.9953,0.9946,0.9994,0.9993,0.995,0.9992,0.9942,0.9949,-0.9803,0.994,-0.995,-0.9923,-0.9874,-0.9916,-0.9932,,0.7889,0.9728,0.9912,-0.8419,-0.9924,-0.9968,0.0543,0.9698,0.9907,0.9955,0.9985,0.9933,-0.9284,0.9982,-0.6825,0.9432,,,0.9855,0.9874,0.9996,0.9506,-0.9744,-0.959,-0.9391,0.7623,0.9997,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9971,0.9999,0.9741,0.9934,0.9844,0.9993,0.9887,0.9915,-0.9793,0.9732,0.6827,-0.9927,-0.9876,-0.9913,-0.9932,,0.878,0.974,0.9929,-0.8357,-0.9917,-0.9974,0.0428,0.9692,0.9896,0.9951,0.9973,0.9965,0.9922,0.9986,-0.7701,0.9541,,,0.988,0.9885,0.9996,0.9475,-0.9786,-0.9596,-0.9388,-0.08,0.9987,0.9998,0.9999,0.9999,0.9957,0.9458,-0.5859,-0.9784,-0.6768,0.9975,0.9594,,-0.7108,-0.9933,-0.9881,-0.9988,0.8971
