,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9984,-0.9868,-0.9293,0.9417,,-0.9987,-0.2767,-0.9979,1.0,0.9997,0.9926,0.9973,0.9953,0.999,0.9987,0.9979,0.9998,0.9937,0.9967,0.9974,0.9732,,0.9922,-0.9964,0.7957,0.9818,0.8927,0.7342,0.8951,-0.9126,0.9905,0.9998,0.9975,0.9841,0.818,-0.4773,0.9419,,0.9907,0.9953,0.9943,0.9981,,0.9998,0.999,0.9994,0.9984,0.9729
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.6431,-0.843,-0.9988,-0.9926,-0.9128,0.8264,1.0,0.9998,0.999,0.927,0.9658,0.9364,0.9994,0.9273,0.3968,0.9997,0.9972,0.9966,0.9943,0.9996,0.9972,0.9805,0.9939,0.999,0.9998,0.9898,0.9945,0.9905,0.9839,0.999,0.9958,0.9741,0.9358,0.9974,-0.9836,0.9792,0.9588,-0.7289,0.9826,-0.8425,-0.7155,0.9989,0.9993,0.9935,0.984,0.8108,-0.9542,-0.6032,0.9919,0.9876,0.9974,0.9998,0.9977,0.9938,0.9996,0.9977,0.9963,0.9903,0.9893
FH_CEID_Walk,,,,,,0.9011,0.9744,-0.8421,0.8263,0.4202,-0.0382,-0.9766,0.9339,-0.4696,-0.716,0.932,0.144,0.9071,0.9537,-0.9802,0.9575,0.9353,0.9806,-0.7505,,0.9872,-0.9542,-0.571,0.9357,-0.0962,0.9987,0.7881,0.9845,-0.1764,0.853,-0.2838,-0.644,0.9999,0.8629,0.984,0.9635,-0.3184,0.9943,0.968,-0.921,,0.9823,-0.9634,0.9396,0.9767,0.7966,-0.7993,-0.9937,-0.9331,0.9444,0.9892,0.0239,-0.7049,-0.2684,0.8855,0.9964,0.9572,-0.9935,-0.992,0.8919,0.9564,0.9044,,,,,
FH_CMU_TimeSeries,,,0.9684,0.4959,0.9888,-0.8913,1.0,0.9892,0.9919,0.9871,0.9803,0.9955,0.9854,0.6064,-0.8784,-0.9963,-0.9975,-0.9985,-0.999,0.6864,0.999,0.9982,0.9994,0.989,0.9981,0.9609,-0.048,-0.6756,,-0.9853,0.9941,0.9951,0.9998,0.9986,0.9968,0.9915,0.9865,0.9909,0.9914,0.9959,0.998,0.9957,0.9945,0.9991,0.9887,,0.9989,0.9689,0.9765,0.8958,-0.5531,-0.8906,-0.9779,-0.9586,0.3714,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992,0.9944,0.9977,0.9984,0.997,0.9924,0.9997,0.9989,0.994,0.9924,0.9813
FH_COVIDhub_ensemble,-0.9995,0.237,0.9936,0.888,0.9959,0.8444,0.9996,0.9975,0.999,0.9807,0.9908,0.9915,0.9954,0.6208,-0.8626,-0.9776,0.0806,0.9729,0.9651,0.9794,0.9938,0.9999,0.995,0.9823,0.9998,0.9761,-0.9287,-0.8493,,0.9665,0.9973,0.9985,0.9999,0.999,0.9897,0.9959,0.9974,0.9954,0.9998,0.9976,0.9954,-0.4606,,0.9917,0.9647,,,,0.9719,0.984,-0.9896,-0.9117,0.9862,0.2637,0.9924,0.9989,0.9998,0.9977,0.8315,-0.8537,0.9357,0.992,0.9944,0.9977,0.9984,0.997,0.9924,0.9997,0.9989,0.994,0.9924,0.9829
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999,0.999,0.88,0.9991,0.9857,,,,,,,,,0.9971,0.9689,,,,,0.9221,-0.9055,-0.9357,,0.9996,0.9927,0.9999,0.9986,,0.8338,-0.9111,0.7862,0.9888,0.9926,0.9951,0.9993,0.9984,0.9942,0.9998,0.9983,0.9966,0.9986,0.9829
FH_CU_nochange,,,,,,,,,,,,,,0.8187,0.9906,-0.9598,0.9871,0.8043,0.9886,-0.7881,0.9992,0.9721,0.9993,0.8128,0.9753,-0.9889,-0.9713,0.9195,,0.9999,0.933,0.9915,0.9978,0.9999,0.4519,0.8879,0.9562,0.9917,0.999,0.9993,0.6575,-0.9843,-0.8472,-0.9595,-0.8921,,,0.9918,0.9716,0.8972,0.125,0.9688,0.9991,0.9997,0.9996,1.0,0.9999,0.9994,0.8994,0.8921,0.9987,0.9909,0.978,0.9956,0.9999,0.9994,,0.9982,0.9998,0.9978,0.977,0.942
FH_CU_scenario_high,,,,,,,,,,,,,,0.6922,0.985,-0.9441,0.9928,0.9406,-0.0386,0.9284,0.999,0.9754,0.9951,0.9198,0.99,-0.9889,-0.95,0.9195,,0.9999,0.9191,0.9901,0.9977,0.9999,0.1733,0.8812,0.9562,0.9917,0.9987,0.9993,-0.2637,-0.9809,-0.8739,-0.963,-0.9937,,,0.9918,0.9716,0.803,0.6548,0.9774,0.9992,0.9997,1.0,1.0,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.704,0.9927,-0.9805,0.9725,-0.9894,0.9916,-0.8953,0.9959,0.9787,0.9997,0.9932,0.9911,-0.9889,-0.9337,0.9181,,0.9998,0.9585,0.9926,0.998,0.9998,0.8533,0.9342,0.9643,0.9922,0.9993,0.999,0.7043,-0.9851,-0.8411,-0.9322,-0.8921,,,0.9839,0.9716,0.9818,-0.8109,0.898,0.9995,0.9999,0.9993,0.9999,1.0,0.9995,0.917,0.9145,0.9987,0.9909,0.9779,0.9955,0.9999,0.9994,,0.9984,0.9998,0.9978,0.977,0.9704
