,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9995,-0.988,0.8111,0.9327,,-0.6349,-0.9872,-0.9547,0.871,0.9872,0.9865,0.9989,-0.6005,-0.3511,-0.9559,-0.9427,-0.303,0.0724,0.9105,0.8947,-0.9225,,-0.8532,0.6978,-0.9473,-0.3468,0.9522,0.9998,0.886,-0.8979,-0.9958,-0.4574,0.9758,0.9995,-0.8438,0.9556,-0.9559,,1.0,0.8,0.886,0.9805,,0.0939,-0.0001,-0.9318,-0.9696,0.9265
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.914,0.9971,0.999,-0.9263,1.0,0.9973,0.9856,-0.9961,0.642,0.9544,-0.9819,-0.9991,0.9597,-0.6683,-0.9815,-0.9755,0.9686,-0.9255,0.9248,0.8899,0.9891,0.9829,0.9992,-0.3328,0.2565,0.9714,0.8953,0.4725,-0.0782,-0.9555,-0.4422,0.3288,0.5877,1.0,0.9927,0.9567,0.8492,-0.9118,-0.9414,-0.9507,0.9191,-0.9938,-0.4639,0.9896,0.9993,0.9593,0.9819,-0.9398,0.9835,0.9702,0.9514,0.9007,0.326,0.7934,-0.8672,0.233,0.9804,0.7658,-0.6917
FH_CEID_Walk,,,,,,0.8656,0.6587,-0.5636,0.5883,-0.6795,0.968,-0.716,0.9606,1.0,0.7408,0.917,-0.9263,1.0,0.9818,0.9482,-0.6368,0.9758,0.927,-0.8503,,-0.9863,-0.6564,-0.9232,0.961,0.9809,-0.8499,0.9525,0.847,0.9444,-0.8928,0.9981,-0.4621,0.1264,0.9493,-0.8764,-0.0674,0.1435,0.999,0.5773,0.217,,-0.7742,0.9876,-0.9697,0.8061,0.9625,-0.9731,-0.9719,0.8334,-0.9954,0.8716,-0.8541,0.5051,0.9924,0.9227,-0.9692,-0.9561,0.9436,0.7497,0.7503,-0.8,-0.5166,,,,,
FH_CMU_TimeSeries,,,-0.1456,-0.9878,-0.9802,-0.2875,-0.6273,-0.8457,0.6908,0.6642,0.968,-0.1153,0.9727,0.9563,0.9684,0.917,-0.9263,0.9932,0.9823,0.9999,0.9315,0.9942,0.9955,0.9791,0.9629,-0.8372,-0.9248,0.9962,,0.9441,-0.968,0.9322,0.8055,0.9443,-0.9701,0.9955,-0.4915,0.4437,0.9403,0.9806,0.7188,0.0975,0.7057,0.5441,0.2711,,0.7341,0.9978,-0.582,0.8696,-0.818,-0.977,-0.874,0.9814,-0.1217,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9648,0.969,0.9197,0.9759,-0.7741,0.9822,-0.9087,0.4727,-0.9908,0.8267,-0.773
FH_COVIDhub_ensemble,1.0,0.895,0.9751,-0.773,-0.984,0.8656,1.0,-0.7382,0.9653,-0.5333,1.0,-0.716,0.9606,0.9264,0.9064,0.917,-0.9263,0.9844,0.9885,0.9963,0.973,0.9913,0.971,0.9965,0.9911,0.9705,-0.6623,-0.9847,,0.9442,-0.8977,0.9527,0.8724,0.9788,0.2757,0.9974,-0.5107,-0.2932,0.8589,0.9017,0.6944,0.0953,,0.1793,0.3403,,,,0.6961,0.8206,-0.9879,-0.9675,-0.9507,0.9591,-0.9785,0.7096,-0.8902,0.9996,0.9578,0.9617,-0.9282,0.9648,0.969,0.9197,0.9759,-0.7741,0.9822,-0.9087,0.4727,-0.9908,0.8267,-0.8416
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7176,0.9,-0.0096,0.9726,0.6089,,,,,,,,,-0.7014,0.3041,,,,,0.8539,-0.9436,-0.9445,,0.9538,-0.9019,0.7433,-0.8901,,0.9778,0.9731,-0.6788,0.9596,0.9445,0.9354,0.9564,0.9064,0.9851,-0.8397,0.3877,-0.998,0.8735,-0.8416
FH_CU_nochange,,,,,,,,,,,,,,-0.9264,0.9996,-0.917,-0.7725,0.9915,0.9969,0.9952,0.924,-0.9617,0.9217,0.8062,0.9987,-0.8758,0.9439,0.9779,,0.9981,0.9465,0.9388,0.9113,0.9715,0.88,0.9985,-0.4744,-0.2674,-0.8589,-0.9831,0.5829,-0.0637,0.5592,-0.9668,0.4113,,,0.9969,0.9828,0.7785,-0.9466,-0.9215,-0.9507,0.8334,0.9884,0.9116,0.9934,0.9679,0.9944,0.926,-0.9671,0.9964,0.9929,0.8834,0.5103,-0.3596,,-0.9209,0.9432,0.9222,0.8004,-0.8008
FH_CU_scenario_high,,,,,,,,,,,,,,-0.9264,0.9993,-0.917,-0.9263,0.9975,0.9952,0.9944,0.9104,-0.9617,-0.0899,0.7917,0.9995,-0.8758,0.9439,0.9779,,0.9973,0.9463,0.9388,0.9113,0.9715,0.88,0.9985,-0.4744,-0.2674,-0.8589,-0.9831,0.6467,-0.1348,-0.2928,-0.9668,0.4113,,,0.9969,0.9828,0.7785,-0.9466,-0.9215,-0.9507,0.8334,0.9884,0.9116,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9264,0.8325,-0.917,-0.9263,0.9972,1.0,0.9991,-0.851,-0.9617,0.9003,0.9975,0.9982,-0.8758,0.9439,0.9779,,0.9955,0.9465,0.9449,0.9017,0.9715,0.88,0.9985,-0.4744,-0.2674,-0.8589,-0.9831,0.5829,-0.0474,0.9533,-0.9668,0.4113,,,0.9969,0.9828,0.7785,-0.9466,-0.9215,-0.9507,0.8334,0.9884,0.9002,0.9795,0.9679,0.9961,0.926,-0.9671,0.9964,0.9911,0.8834,0.4795,-0.3505,,-0.9094,0.233,0.9161,0.8004,-0.7917
