,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.0647,0.0177,0.9366,0.9852,,0.9914,0.9812,0.9997,0.9989,0.991,0.6209,0.9995,-0.554,0.9451,-0.744,-0.1694,0.9822,0.9784,-0.8838,-0.9909,-0.9704,,0.9966,0.9932,0.9996,-0.8548,-0.528,0.3046,-0.9786,0.8988,0.7011,0.5194,-0.9397,-0.9863,0.9999,0.9998,0.9824,,0.954,0.9635,-0.1792,0.5714,,-0.9987,-0.9846,0.2079,0.9989,0.8612
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.933,0.3092,0.9936,0.9614,0.9958,0.9971,0.9999,1.0,0.9992,0.9757,0.7349,-0.1495,0.158,-0.5616,-0.7653,0.7492,0.9885,0.9993,0.9998,0.9997,0.9988,0.9952,0.9991,-0.4253,0.6326,0.9579,0.2913,-0.9931,-0.9783,0.8076,-0.9905,-0.9782,0.4985,0.9959,-0.8813,1.0,0.9903,0.9809,-0.7272,-0.9282,-0.9996,-0.9835,0.9991,1.0,0.9992,0.9991,0.9993,0.9997,0.9768,0.9855,0.9364,-0.121,-0.9136,-0.9942,-0.9834,0.6823,0.8948,-0.9663,0.3453
FH_CEID_Walk,,,,,,0.8724,0.8899,0.9981,-0.9762,0.9971,0.9073,-0.0476,0.8846,-0.8551,0.9374,-0.999,0.8639,-0.9913,-0.9951,0.876,0.9813,0.9861,0.9934,-0.7297,,0.2288,0.6259,0.8018,-0.9651,0.966,0.966,0.8999,0.6547,0.9858,-0.5104,-0.9516,0.4375,0.9189,-0.5571,0.8052,0.9808,-0.8828,-0.84,0.9574,-0.842,,0.9729,0.9876,0.9994,-0.9991,0.9196,-0.2881,-0.8789,-0.9129,0.1021,0.9847,-0.9509,0.3601,0.9602,0.8994,-0.1176,-0.9428,0.8958,0.5319,0.1918,0.9114,-0.9186,,,,,
FH_CMU_TimeSeries,,,0.4343,0.9622,0.7776,-0.8952,-0.9601,0.986,0.7241,0.9944,0.843,-0.9623,-0.9783,-0.7472,0.976,0.8351,0.9963,0.9877,0.9985,0.9994,0.9991,0.9961,0.9158,0.7519,-0.1693,0.6173,0.9428,0.9279,,-0.9843,0.9777,0.9978,0.9994,0.9958,0.9671,0.9938,-0.5518,-0.9021,-0.8666,0.0979,0.982,0.987,-0.8972,-0.9865,-0.9773,,0.9952,0.9938,0.9998,0.9966,0.9973,-0.7599,-0.9178,-0.9848,-0.883,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9902,0.9949,0.9963,0.156,0.9419,-0.6609,0.9936,0.9999,0.9934,0.9918,0.9806
FH_COVIDhub_ensemble,-0.9205,-0.761,0.7344,-0.7897,-0.9042,0.9902,0.9863,0.9851,0.9772,0.9878,0.9144,-0.7637,0.7401,-0.8783,0.9365,0.9227,0.9784,0.9976,0.9847,0.9981,0.9999,0.9982,0.9349,0.7524,-0.147,0.27,0.5894,-0.9756,,0.9898,0.9918,0.9993,0.9995,0.9995,0.9952,0.9926,-0.5055,0.929,-0.6594,0.5205,-0.9905,-0.9209,,-0.986,-0.9775,,,,0.9996,0.9928,0.9785,-0.7846,-0.9116,-0.9417,0.9743,0.9739,0.9897,0.9939,0.9998,0.9982,0.9978,0.9902,0.9949,0.9963,0.156,0.9419,-0.6609,0.9936,0.9999,0.9934,0.9918,0.9702
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9932,0.9992,-0.8595,0.9994,0.9925,,,,,,,,,-0.9891,-0.9755,,,,,0.999,0.9798,-0.7875,,-0.9417,0.9959,0.9812,0.9831,,0.9973,0.9954,0.9951,0.9902,0.9885,-0.6965,0.3011,0.9275,0.6793,0.9932,0.9999,0.9928,0.9937,0.9702
FH_CU_nochange,,,,,,,,,,,,,,0.9779,0.9975,0.9945,0.9859,0.9988,0.9989,1.0,0.9999,-0.7862,0.9164,0.7446,0.1786,-0.0692,0.8319,0.9908,,0.9991,0.9431,0.9997,0.9986,0.9989,0.9989,0.955,0.5071,0.9355,0.9851,0.3373,-0.9179,-0.6114,-0.9652,-0.9844,-0.9821,,,0.9853,0.9999,0.9985,0.9763,-0.7088,-0.9244,0.9606,0.9977,0.9995,0.9982,0.9995,0.9996,0.999,0.9831,0.9813,0.0898,-0.9487,-0.1801,0.9687,,0.9972,0.9997,0.9993,0.9908,-0.9996
FH_CU_scenario_high,,,,,,,,,,,,,,0.9867,0.9998,0.9978,0.9949,0.9997,1.0,0.9995,0.9999,-0.8215,-0.9167,0.7415,0.1848,-0.071,0.8287,0.9907,,0.9995,0.908,0.9997,0.9986,0.999,0.9975,0.956,0.5057,0.9407,0.9858,0.3558,-0.937,-0.8374,-0.9641,-0.9865,-0.9812,,,0.9844,0.9999,0.9985,0.9763,-0.7088,-0.9244,0.9335,0.9978,0.9995,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.875,0.9732,0.9408,0.3429,0.9997,0.9966,0.9985,0.9999,-0.5194,0.9298,0.7455,0.1838,-0.0758,0.831,0.9907,,0.9995,0.9603,0.9995,0.9981,0.9992,0.9981,0.955,0.4898,0.9363,0.9854,0.3367,-0.8577,0.4367,-0.9632,-0.9864,-0.9827,,,0.9848,0.9999,0.9985,0.9763,-0.7088,-0.9197,0.9606,0.9955,0.9994,0.9968,0.9993,0.9988,0.9987,0.9831,0.9813,0.0898,-0.9579,-0.2148,0.9057,,0.9975,0.9998,0.9948,0.9814,-0.9997
