,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9993,0.8232,-0.9262,-0.9986,,0.9946,0.9861,0.9995,0.9816,0.9964,0.9967,0.9977,0.9907,0.9988,-0.8983,0.9996,0.9929,0.9991,0.9967,0.9847,0.977,,0.9895,0.9922,0.9916,0.9958,0.9722,-0.7631,-0.9923,0.0738,-0.9841,-0.2606,-0.9609,-0.913,0.9996,0.9992,0.9994,,0.9811,0.0017,-0.9971,-0.996,,0.4793,0.9718,0.8313,0.9444,-0.9335
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.6898,-0.9879,0.9986,0.9925,0.9933,-0.9939,0.9895,0.9882,0.7593,0.9872,0.9892,0.9907,0.9638,-0.7946,-0.6809,0.6637,0.9951,0.9999,1.0,0.998,0.9998,0.9996,1.0,0.9934,0.9997,-0.9106,-0.9698,-0.9823,0.9981,0.9974,0.9818,0.9875,0.9988,0.9975,0.9979,0.9991,0.997,0.9853,-0.8451,-0.9731,-0.9207,-0.9989,0.9505,0.9967,0.9998,0.969,0.998,0.815,0.8858,-0.9293,0.2904,-0.9921,0.9855,0.9914,-0.4586,-0.9597,-0.9069,0.7495,-0.5121
FH_CEID_Walk,,,,,,0.8395,-0.8239,0.9968,0.5959,-0.8099,-0.9202,0.7248,-0.9832,0.9739,-0.9701,0.9811,-0.9758,0.0825,-0.7746,0.9777,0.9678,0.9775,0.887,-0.7647,,-0.7732,-0.8615,-0.9848,0.9652,0.9948,0.9864,0.9539,-0.932,0.9465,0.9892,-0.9883,0.9103,0.9841,-0.9708,0.9244,0.9873,0.9973,0.5403,0.6688,0.8556,,-0.7831,0.9904,0.7261,0.9385,0.9477,-0.7056,-0.9155,0.9361,-0.9919,0.8537,0.7921,-0.8616,0.9662,-0.9025,0.9495,0.4272,-0.997,-0.1204,0.8957,-0.9248,0.3413,,,,,
FH_CMU_TimeSeries,,,0.9865,0.511,0.6929,0.6969,0.9188,0.9388,-0.7421,-0.9149,-0.9997,-0.9822,-0.9901,-0.8067,-0.98,-0.8773,-0.9988,-0.9977,0.0511,0.9876,0.9967,0.9975,0.9995,0.9965,0.9867,0.7687,-0.9709,0.0161,,-0.9982,0.9806,0.9854,0.9727,0.9991,0.997,0.9899,0.9978,0.9945,0.997,0.9997,0.9997,0.9989,0.9853,0.9831,0.9855,,0.9997,0.9959,0.9876,0.9898,0.9972,-0.7516,-0.978,-0.9899,-0.9783,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9805,0.9427,0.1955,0.8983,0.8935,0.9934,-0.3365,-0.9579,-0.9865,-0.9629,-0.7425
FH_COVIDhub_ensemble,-0.9932,-0.78,0.9891,0.4847,0.9388,0.8119,0.9386,0.9659,-0.6204,-0.8667,-0.9676,-0.9907,-0.9404,0.8442,-0.9813,0.9882,0.992,0.9855,0.9825,0.9775,0.984,0.9922,0.9976,0.9974,0.9989,0.9572,-0.8478,-0.9977,,0.9949,0.9918,0.9983,0.9989,0.9994,0.9984,0.9983,0.9802,0.9898,-0.8897,0.9777,0.9982,0.9956,,0.9857,0.9829,,,,0.9958,0.9971,0.9802,-0.7885,-0.9622,-0.9025,-0.9956,0.8975,0.982,-0.7269,0.9628,-0.8744,0.9523,0.9805,0.9427,0.1955,0.8983,0.8935,0.9934,-0.3365,-0.9579,-0.9865,-0.9629,0.9762
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914,0.9993,-0.0517,0.9979,0.9976,,,,,,,,,0.986,0.9815,,,,,0.9975,0.9788,-0.7884,,0.9825,0.7492,0.9712,0.9873,,0.9799,0.9952,0.9955,0.991,0.9693,0.0835,-0.983,-0.6709,0.9775,-0.4951,-0.9141,-0.9945,-0.9978,0.9762
FH_CU_nochange,,,,,,,,,,,,,,0.9937,0.9926,0.988,0.9615,0.9992,0.9975,0.9994,0.9954,-0.7442,0.9999,0.9997,-0.6341,-0.8888,-0.9681,-0.9309,,0.9797,0.9737,0.9956,0.9982,0.9978,0.9841,0.9757,0.9705,-0.9972,-0.9982,-0.9881,-0.9412,0.6382,0.9416,0.991,0.9843,,,0.9977,0.9976,0.9971,0.9867,-0.7702,-0.9632,-0.9361,-0.9872,0.9912,0.9979,0.9978,0.9964,0.9862,0.992,0.984,0.9518,0.3337,0.9813,0.958,,-0.2515,0.9718,-0.7651,0.9933,0.9986
FH_CU_scenario_high,,,,,,,,,,,,,,0.992,0.9921,0.9903,0.9947,0.9994,0.9762,0.9991,0.9971,-0.5505,0.998,0.9999,-0.5187,-0.8886,-0.9975,-0.9446,,0.9757,0.9497,0.995,0.9982,0.9976,0.98,0.9699,0.9694,-0.9978,-0.9979,-0.9899,-0.9704,0.6052,0.9383,0.991,0.9831,,,0.9977,0.9976,0.9971,0.9873,-0.7702,-0.9528,-0.9361,-0.9872,0.9917,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9972,0.9669,0.8486,-0.9918,0.9906,0.9957,0.9978,0.9719,-0.0713,0.9999,0.9944,-0.1148,-0.8893,0.5951,-0.9368,,0.9809,0.9858,0.997,0.9978,0.9971,0.9849,0.9731,0.9613,-0.9981,-0.9982,-0.9849,-0.8918,0.6618,0.9401,0.9917,0.9854,,,0.9977,0.998,0.9971,0.9836,-0.7805,-0.9713,-0.9361,-0.9872,0.9902,0.998,0.9969,0.9943,0.9848,0.992,0.9891,0.9046,0.2915,0.9709,0.9623,,-0.1988,0.9109,0.336,0.9915,0.9985
