,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.2602,0.8788,-0.6264,-0.943,,0.9986,0.9999,0.9973,0.9995,0.9961,0.6043,-0.9909,-0.9941,-0.9633,0.9999,0.9998,0.99,0.7172,-0.9618,-0.9964,-0.9929,,0.9984,0.9994,0.9911,0.9979,0.9964,0.7826,0.9985,0.6751,-0.968,-0.9709,-0.9974,-0.9951,-0.9582,0.9919,1.0,,0.9996,0.9983,0.9997,0.9998,,-0.9952,0.9935,0.9849,0.9987,0.986
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.999,0.9904,0.9971,0.9974,0.9994,0.9979,0.9988,0.9937,0.7615,-0.8983,-0.7396,0.9879,0.9507,-0.6357,-0.808,0.9995,0.9982,0.9997,1.0,1.0,0.9988,0.7499,-0.9294,-0.9534,0.9973,0.9984,0.9987,0.9838,0.7477,-0.9423,-0.9865,0.995,0.9986,0.9992,0.9941,0.9985,0.9926,0.9996,0.9994,0.9938,0.9021,0.9786,-0.9729,0.9977,0.9989,0.9951,0.9999,0.9959,0.9962,0.9993,0.9954,0.9996,0.9997,0.9968,0.9924,0.9981,0.9883,0.9975,0.9992
FH_CEID_Walk,,,,,,0.9949,0.362,-0.5728,0.2021,-0.8372,0.8648,-0.9153,0.8861,0.9994,0.9691,0.9169,0.9342,0.6192,0.9522,0.9643,0.9335,0.7391,-0.8845,0.7542,,0.7601,-0.911,-0.9378,0.9909,0.9022,0.9543,0.9302,0.9933,0.9919,0.8536,-0.898,-0.8793,0.9356,0.9629,0.9893,0.9863,0.8724,-0.8117,-0.9983,0.9561,,0.9638,0.8982,0.8197,0.997,0.9391,-0.9953,0.9935,-0.5548,-0.9123,-0.8931,-0.1565,-0.5107,0.9361,0.9634,0.912,0.9272,-0.9972,0.9616,-0.8487,0.9656,0.9739,,,,,
FH_CMU_TimeSeries,,,-0.6874,0.9823,0.9954,-0.7696,0.3913,-0.5063,-0.7082,0.2131,-0.9608,-0.8865,-0.9098,-0.7866,0.9373,0.998,0.9664,0.9776,0.9981,0.9917,0.9809,0.6441,-0.9266,-0.9748,0.986,-0.7914,0.9789,-0.7385,,-0.9509,0.9995,0.99,0.9996,0.9985,0.5539,-0.9898,-0.9747,-0.9354,0.9609,0.9091,0.9451,-0.8091,0.9366,0.9735,0.9784,,0.9826,0.9773,0.9994,0.9776,0.9898,0.9976,0.9955,0.9653,-0.7777,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967,0.9997,0.9939,0.998,0.9939,0.9729,0.8474,0.9088,-0.9984,-0.9987,0.9874
FH_COVIDhub_ensemble,0.9845,-0.917,-0.6223,-0.9922,0.9994,0.5737,0.7559,-0.4792,0.0534,0.3139,0.9004,-0.9019,0.9574,0.9925,0.9391,0.9984,0.9775,0.9894,0.9934,0.9956,0.9878,0.721,-0.9039,0.8946,0.9913,0.9505,0.9888,0.5074,,0.9998,0.9959,0.9999,0.9999,0.9989,0.7077,-0.9253,-0.9509,0.8939,0.9711,0.9913,0.9949,0.808,,1.0,0.9989,,,,0.998,0.9979,0.9978,0.9988,0.9935,0.8806,-0.8259,-0.2963,0.9959,0.9971,0.9996,0.9988,0.998,0.9967,0.9997,0.9939,0.998,0.9939,0.9729,0.8474,0.9088,-0.9984,-0.9987,0.9818
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9973,0.9999,-0.8586,0.9991,0.7086,,,,,,,,,0.9929,0.9885,,,,,0.9933,0.9993,0.9994,,0.9223,-0.1106,0.9537,0.9983,,0.9992,0.9998,0.9998,0.9895,0.9995,0.9976,0.9993,0.9988,0.9999,0.9932,0.9503,0.1767,-0.9989,0.9818
FH_CU_nochange,,,,,,,,,,,,,,0.9997,0.9981,0.9973,0.9948,0.9992,0.9977,0.9984,0.9993,-0.3712,0.9849,0.992,0.9963,0.9729,0.9294,0.9051,,0.9926,0.9689,0.997,0.9998,0.9981,-0.0354,0.9881,0.9999,0.9998,0.9993,0.9996,0.9994,0.8881,0.9945,0.997,0.9954,,,0.9931,0.9996,0.9942,0.9995,0.9989,0.9132,0.938,0.61,0.9989,0.9995,0.9979,0.9996,0.9997,0.9973,0.9954,0.9982,0.9878,0.9938,0.9992,,0.9828,-0.0994,-0.9991,0.9652,0.9967
FH_CU_scenario_high,,,,,,,,,,,,,,0.9996,0.9984,0.9969,0.9962,0.9995,0.9969,0.9977,0.9998,-0.3532,-0.9992,0.9909,0.9964,0.9728,0.8838,0.8439,,0.988,0.9577,0.9973,0.9999,0.997,-0.0667,0.9924,0.9999,0.9998,0.9993,0.9998,0.9984,0.8621,0.9947,0.997,0.9952,,,0.9931,0.9996,0.9942,0.9995,0.9991,0.8665,0.9395,0.8403,0.9994,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9944,0.9801,0.9877,0.9803,0.9945,0.997,0.9968,0.9994,-0.3171,0.9793,0.9985,0.9976,0.9728,0.989,0.9515,,0.9993,0.9833,0.9971,1.0,0.9982,0.3205,0.9898,1.0,0.9991,0.9998,0.9997,0.9999,0.9094,0.9946,0.997,0.9955,,,0.9933,0.9996,0.9942,0.9995,0.9991,0.9379,0.938,0.4004,0.9987,0.9989,0.9986,0.9998,0.9988,0.9968,0.9951,0.999,0.9925,0.9964,0.9999,,0.9895,0.1956,-0.9996,0.9718,0.9972
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9981,0.9959,0.9925,0.9924,0.9985,0.9948,0.9985,0.9999,-0.3274,-0.9965,0.9982,0.997,0.9726,0.904,0.9013,,0.9873,0.9401,0.9978,1.0,0.9965,-0.1126,0.9917,0.9999,1.0,0.9989,0.9992,0.9986,0.8575,0.9944,0.9966,0.9944,,,0.9929,0.9995,0.9939,0.9995,0.9991,0.9583,0.9395,0.5837,0.9978,0.9987,0.9989,,0.9991,0.9973,0.9954,0.9982,0.9923,0.9922,0.9997,,0.9874,0.2618,-0.9974,0.97,0.9961
FH_CU_select,-0.9804,0.6738,-0.9474,0.0236,0.9779,0.9449,0.8171,0.6053,-0.386,0.0057,0.9954,-0.9994,0.9794,0.9981,0.9959,0.9925,0.9924,0.9985,0.9983,0.9968,0.9994,-0.3171,0.9793,0.9985,0.9976,0.9726,0.904,0.9013,,0.9873,0.9833,0.9978,1.0,0.9965,-0.1126,0.9917,0.9999,0.9991,0.9998,0.9997,0.9986,0.8575,0.9944,0.9966,0.9944,,,0.9929,0.9995,0.9939,0.9995,0.9991,0.9583,0.938,0.4004,0.9987,0.9989,0.9986,0.9998,0.9988,0.9968,0.9951,0.999,0.9925,0.9964,0.9999,,0.9895,0.1956,-0.9974,0.97,0.9961
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,1.0,0.9982,0.9988,0.9844,0.6731,-0.8802,0.7955,0.7184,0.5957,0.9932,0.9806,,,0.9733,0.9937,,0.9981,0.7489,-0.5306,0.9998,0.9888,0.9977,,0.9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,0.9997,0.9999,0.9993,0.9983,0.9977,0.9768,0.5462,0.983,0.9936,0.9925,0.9644,0.995,,0.9893,0.9999,,-0.9397,1.0,0.9991,0.8535,0.9332,,,0.995,0.994,0.9873,0.888,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,0.9894,0.965,-0.6018,0.9957,0.9966,,,-0.4734,0.1181,0.1689,0.9347,-0.8233,0.9892,0.9225,0.9943,0.9983,0.9919,0.9965,0.9975,,0.9953,0.6756,-0.9682,0.8519,0.9552,0.9988,0.9812,0.9991,,-0.2958,0.9997,0.9954,0.9994,0.9987,0.6714,-0.9711,-0.9809,-0.9591,-0.9192,0.9989,0.9794,0.6839,-0.9408,-0.8486,0.9988,0.9976,0.9982,0.9947,0.9997,0.9953,0.9995,0.9993,1.0,,,,0.9999,0.9994,,0.9993,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,,,,,,,,,,,,,-0.9648,-0.9632,-0.9889,-0.9434,0.9979,0.9975,0.9999,0.999,0.9873,0.6292,-0.4092,0.9961,0.9995,0.964,0.9985,0.9991,,0.9986,0.9993,0.9905,0.9959,0.9919,0.679,-0.994,-0.9992,-0.5292,0.7991,0.7904,-0.6117,-0.6286,0.9581,0.9802,0.9999,,0.9998,0.9989,0.9998,0.9988,0.9994,0.9935,0.9999,0.823,-0.948,-0.9736,-0.9755,0.9615,0.9841,0.9499,0.7508,-0.9316,-0.9585,0.9818,0.9879,0.9909,0.99,0.87,0.9164,-0.9807,-0.9991,-0.9809
FH_DDS_NBDS,,,,0.883,-0.8917,-0.0214,0.7314,0.6452,-0.1904,0.3746,0.9938,0.9695,0.9352,-0.9393,-0.9763,-0.9877,-0.9912,-0.9782,0.9977,-0.9696,-0.0894,-0.5291,-0.8551,-0.9942,0.86,-0.995,0.9218,-0.9878,,-0.9996,0.9935,-0.9971,,-0.9975,-0.3915,-0.9172,-0.9777,0.9918,-0.9948,0.9993,0.9766,0.6928,-0.9699,-0.997,-0.9997,,0.6836,-0.9978,-0.9979,,0.954,-0.9933,-0.9663,-0.7919,0.9894,0.7578,0.4769,-0.8914,0.9931,0.9873,0.9988,0.998,,0.9898,0.9904,0.9918,0.7304,0.9994,0.9962,0.9967,-0.8423,0.9981
FH_GT_DeepCOVID,,-0.8899,0.8647,0.9639,0.9749,0.9426,0.8686,0.5996,0.1002,-0.0472,0.9878,-0.9408,0.9904,-0.926,0.9602,0.9464,0.9821,-0.9357,-0.9446,0.9801,0.9808,0.5877,-0.9864,-0.8861,0.9999,0.9435,0.9982,-0.9089,,0.9393,0.9678,0.9913,0.9996,0.573,-0.235,0.987,-0.9029,-0.9292,-0.9463,-0.9573,0.9971,0.8092,-0.0065,0.9987,0.9997,,0.9907,0.9759,0.9888,0.9962,0.9732,-0.9963,0.5779,-0.8264,0.7456,0.9931,0.999,0.9967,,0.9898,0.9882,0.9856,0.9985,0.9996,0.9984,-0.9472,0.9447,0.9061,-0.9944,-0.4567,0.3925,0.9059
FH_Google_Harvard_CPF,,,,,,,,,,,,,,0.9861,0.9224,-0.9027,0.9886,0.9985,0.9966,0.9997,0.9904,0.6083,0.9951,0.9897,0.9957,0.9861,0.9787,0.998,,0.9989,0.9975,0.9983,0.9945,0.9992,0.6193,-0.995,-0.9869,-0.7415,0.9983,0.9943,0.996,0.762,-0.9196,0.9986,0.9974,,,0.9943,0.9962,0.9986,0.9962,0.9876,,0.9973,0.98,0.9778,,,,0.7832,0.9977,0.9971,0.9855,0.8433,-0.9954,0.0199,-0.8231,0.9995,0.9603,0.5604,0.9318,0.9934
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9927,-0.9869,0.9996,0.98,0.6703,-0.9597,-0.9987,-0.9999,-0.9968,-0.9966,0.9933,0.9683,0.9956,0.9999,0.9427,0.9985,0.8469,-0.9668,-0.9348,0.9916,-0.9327,0.9919,0.9992,0.9998,1.0,1.0,0.9979,0.9997,0.9998,0.9968,0.9936,0.9961,0.9811,0.9977,0.9966
FH_IHME_CurveFit,-0.9567,,0.8801,0.8354,0.8076,0.9485,,0.6622,-0.3653,0.0239,,-0.8412,0.9964,,,0.9996,0.9999,,,,0.9993,,-0.7838,0.8016,,,,,0.9457,0.9944,0.9945,0.9868,0.9999,0.9888,,,0.9972,0.9951,0.9996,0.9999,,0.805,0.8312,,0.9994,,0.9938,0.9942,0.9922,0.9976,0.9997,0.9985,0.9954,,-0.8886,0.9789,0.9986,0.9995,,,0.9928,,0.9983,0.9898,,0.9947,,0.9986,,,,
FH_IowaStateLW_STEM,0.9855,0.811,-0.9596,-0.5404,0.7449,,-0.4959,-0.8886,0.6275,0.0314,0.6795,-0.7,0.6106,-0.9926,-0.9951,-0.9884,0.8698,0.8603,0.9391,0.9501,0.9887,0.834,-0.649,0.7531,0.9255,0.995,0.9532,-0.534,,0.9708,,0.8716,0.9853,0.9967,0.5729,-0.9503,-0.961,-0.9785,-0.9761,0.9075,0.9426,0.9677,0.8891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JCB_PRM,,,,0.9979,0.9941,0.9348,0.7189,-0.4331,-0.2277,0.7146,0.965,-0.8415,0.9961,0.9974,0.9953,0.9992,0.9966,0.9965,0.9953,0.9992,0.9831,0.5941,-0.9577,-0.9988,0.1368,0.9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
