,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9977,0.9553,-0.6135,0.9025,,0.9996,0.9992,-0.3111,-0.983,-0.9832,0.5194,0.9911,-0.9773,0.9862,0.8071,-0.9836,-0.4471,-0.8327,-0.9682,-0.9758,0.8124,,0.9999,0.9864,0.996,0.9756,0.9912,0.9624,0.9079,-0.9813,0.856,-0.6718,-0.979,-0.988,0.993,0.9995,0.9971,,0.9996,0.9997,0.9763,0.9986,,0.9983,0.9999,0.9921,0.9925,0.999
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.999,0.9997,0.9943,0.9971,0.9995,0.9996,0.9997,0.995,-0.5003,-0.7678,-0.9321,0.9988,0.9843,-0.921,-0.9563,1.0,0.999,0.9993,-0.2246,-0.9783,-0.9759,0.4299,0.995,-0.9796,0.8954,0.9981,0.9948,0.997,0.5798,-0.9368,0.9971,0.9713,0.9942,0.9993,0.9906,0.9929,0.9747,0.984,0.8661,-0.6891,-0.9096,-0.9946,-0.8742,0.9974,0.9998,0.9901,0.9992,0.9771,0.9967,0.9998,0.9937,0.9881,0.9969,0.9967,0.9966,0.9973,0.9994,0.9943,0.9998
FH_CEID_Walk,,,,,,0.9934,0.6844,-0.9908,0.0213,-0.9648,0.9603,-0.9356,-0.9259,0.9158,-0.9426,0.9147,0.9783,0.9312,0.9678,0.9749,0.9932,-0.0386,-0.8682,0.7628,,0.9475,0.9838,-0.728,0.9771,0.9646,0.9765,-0.9144,-0.9615,-0.9473,0.4465,-0.9841,-0.9217,0.9126,0.9631,-0.9468,0.9899,-0.8116,0.9503,-0.9045,0.9768,,-0.9984,0.9262,0.99,-0.9105,0.883,-0.8734,0.9651,-0.7176,-0.9913,0.9453,0.9612,0.9452,0.9035,-0.9274,0.9427,0.9464,0.9974,0.5574,-0.9795,0.5526,0.9991,,,,,
FH_CMU_TimeSeries,,,0.9916,0.9985,0.9864,0.9329,-0.8886,-0.9129,0.8349,0.9879,-0.9738,-0.9849,-0.1895,0.8984,0.9849,0.3659,0.987,0.998,0.9998,0.9943,0.9577,-0.813,-0.996,-0.9854,0.9968,0.452,0.9955,0.9951,,-0.9353,0.9007,-0.059,-0.9823,-0.9337,0.816,-0.408,0.9593,0.9014,0.9918,0.3443,0.9357,-0.8549,0.9083,-0.014,0.9979,,0.9905,0.9921,0.9931,0.9873,0.9687,0.9958,0.9127,-0.8759,-0.4867,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0.9922,0.9967,0.9932,0.992,0.9188,0.9819,0.5061,-0.9983,0.9965,0.9951
FH_COVIDhub_ensemble,-0.8312,-0.9928,0.981,0.8815,0.7964,0.9884,0.9876,-0.9891,0.7486,0.9814,0.8366,-0.8423,0.9791,0.9385,0.8821,0.9392,0.9957,0.9987,0.9999,0.9999,0.9773,-0.7426,-0.8031,0.8849,0.9993,0.996,0.9945,0.9993,,0.9996,0.9999,-0.2203,-0.9809,-0.956,0.433,-0.9445,-0.0129,0.9149,0.9845,0.9927,0.9982,-0.882,,-0.2313,0.9861,,,,0.9967,0.9976,0.9866,0.9929,0.8909,-0.8785,0.8093,0.9999,0.9998,0.9935,0.987,0.9911,0.9961,0.993,0.9922,0.9967,0.9932,0.992,0.9188,0.9819,0.5061,-0.9983,0.9965,0.9968
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.3255,0.9435,-0.978,0.3562,,,,,,,,,0.5081,0.9964,,,,,0.9954,0.9914,0.9976,,-0.8736,0.9943,0.9993,0.9997,,0.9755,0.985,0.9877,0.9986,0.9979,0.9994,0.9937,0.9922,0.993,0.9839,-0.7461,-0.9551,0.9954,0.9968
FH_CU_nochange,,,,,,,,,,,,,,0.9926,-0.5052,0.9981,0.9474,0.9266,0.9981,0.9993,0.9998,0.9883,0.8833,0.9992,0.9904,0.9995,0.9566,0.9159,,0.9718,0.9905,-0.2479,-0.9815,-0.9824,-0.5427,0.9783,-0.7697,0.9437,0.994,0.9988,0.9998,-0.5225,0.9924,0.9985,0.988,,,0.9931,0.9908,0.9774,0.9806,0.9974,0.9404,-0.8947,0.9989,0.9991,0.9989,0.9985,0.9849,0.9964,0.9832,0.9579,-0.8352,0.9726,0.9973,0.9531,,0.2426,-0.9628,-0.9977,0.9982,0.9982
FH_CU_scenario_high,,,,,,,,,,,,,,0.9937,-0.113,0.9986,0.9693,0.9634,0.9967,0.9991,0.9998,0.9884,0.9482,0.9995,0.9899,0.9995,0.9347,0.9104,,0.9656,0.9859,-0.231,-0.9823,-0.9812,-0.6032,0.9773,-0.7366,0.9442,0.994,0.9993,0.9993,0.2608,0.9942,0.9981,0.9869,,,0.9923,0.9908,0.9774,0.9806,0.9974,0.9404,-0.8947,0.9975,0.9998,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9384,-0.9641,0.9959,-0.9745,0.9898,0.9982,0.9991,0.9995,0.9905,0.7749,0.9231,0.9896,0.9995,0.9878,0.9686,,0.9824,0.9909,-0.2692,-0.9823,-0.978,-0.5885,0.9773,-0.7652,0.9459,0.995,0.9988,0.9999,-0.764,0.9942,0.9988,0.9891,,,0.9923,0.9908,0.9774,0.9806,0.9974,0.9404,-0.8947,0.9987,0.9986,0.999,0.9974,0.9847,0.9883,0.9832,0.9579,-0.8875,0.9865,0.9973,0.9609,,0.6056,-0.9381,-0.9927,0.9983,0.9987
