,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9862,-0.9944,-0.4139,-0.9988,,0.997,0.9996,0.9978,0.9982,0.9949,0.9812,0.9996,0.9953,0.9979,0.9927,0.9919,0.9995,0.9941,0.9443,0.6946,0.9667,,0.9348,-0.7883,0.9428,0.9892,-0.827,0.9009,0.9313,-0.9013,0.9034,-0.9234,-0.9263,-0.8999,0.995,0.9986,0.8645,,0.979,0.9987,1.0,0.9953,,0.9998,0.9998,0.9834,0.999,0.999
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.7202,-0.9888,0.9977,0.9797,0.9652,0.9564,0.992,0.9952,0.9756,0.9052,0.9654,0.9955,0.2558,0.0581,0.5234,0.8372,0.9957,0.8707,0.9909,0.9991,0.9887,0.9865,0.9938,0.9971,0.9978,0.9923,0.9531,0.9921,0.7529,0.9857,0.5754,0.9762,0.9101,0.9535,0.6686,0.7047,-0.9594,-0.831,-0.9379,0.5945,0.9985,0.9961,0.9989,0.9993,0.9991,0.9981,0.9974,0.988,0.998,0.9872,0.9991,0.9974,0.9995,0.9998,0.9976,0.9815,0.9999,0.9987,0.9984
FH_CEID_Walk,,,,,,0.9869,-0.9631,-0.496,-0.8897,0.9819,0.7338,-0.3275,0.8044,0.7768,-0.8263,-0.9492,0.9377,-0.9539,0.8377,0.948,0.9622,-0.9339,0.9559,-0.7998,,-0.9927,0.0281,-0.9753,-0.7592,0.9737,-0.9843,0.997,0.9128,0.9329,-0.9553,-0.8866,0.8989,0.9504,0.8222,-0.71,0.9998,-0.8662,0.973,-0.7157,0.901,,0.9859,-0.6619,0.6845,0.9652,-0.4621,0.9428,-0.4958,-0.9834,0.9518,0.9487,1.0,-0.6293,-0.9142,0.6693,-0.8113,0.8031,0.9027,0.9804,0.9857,-0.993,0.9394,,,,,
FH_CMU_TimeSeries,,,-0.992,-0.8747,0.9508,0.9809,0.994,0.9982,0.9899,0.9995,0.998,0.9907,0.9864,0.6713,-0.9852,-0.9861,0.9159,-0.9913,-0.9935,-0.1128,0.9909,0.9875,0.9978,0.9576,0.9753,0.8652,0.8224,0.9982,,-0.8548,0.9982,0.9882,0.9994,0.9893,0.9882,0.998,0.9924,0.9883,0.9815,0.9977,0.9982,0.9545,0.9566,0.9921,0.8826,,0.9088,0.8758,0.6572,0.5056,-0.8098,-0.7521,-0.9944,-0.9658,-0.9034,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985,0.9598,0.9906,0.9964,0.9978,0.9996,0.9965,0.9883,0.9872,0.996,0.9998
FH_COVIDhub_ensemble,-0.996,0.736,-0.8743,0.9725,-0.7208,0.9991,0.9615,0.9953,0.9824,0.9977,0.9919,0.9993,0.9954,0.696,-0.8312,-0.9481,0.9404,0.9972,0.9932,0.9933,0.9949,0.9655,0.9983,0.9759,0.9978,-0.894,-0.1267,-0.9701,,0.9934,0.9846,0.9937,0.9981,0.9838,0.9983,0.9973,0.9994,0.9868,0.9919,0.9916,0.9997,0.9905,,0.9979,0.9482,,,,0.6321,0.5226,-0.8043,-0.9332,-0.9293,-0.1009,0.9809,0.9927,0.9985,0.9922,0.9998,0.993,-0.3689,0.9985,0.9598,0.9906,0.9964,0.9978,0.9996,0.9965,0.9883,0.9872,0.996,0.9998
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995,0.9962,0.0755,0.9867,0.9998,,,,,,,,,0.7627,0.9624,,,,,0.5699,-0.8309,-0.8419,,0.9672,0.9616,0.9982,0.9989,,0.9953,0.9943,-0.6171,0.9997,0.9817,0.9984,0.9966,0.9996,0.9998,0.998,0.9919,0.9998,0.9979,0.9998
FH_CU_nochange,,,,,,,,,,,,,,0.2105,0.9936,0.9997,0.9993,0.9977,0.9984,-0.3625,-0.8869,-0.9531,0.7077,-0.7418,0.9297,-0.9527,0.6002,0.9956,,0.9939,0.9951,0.9998,0.9981,0.9942,0.9993,0.9966,0.9964,0.9338,0.9927,0.9788,0.9997,0.9656,0.9813,0.28,0.9918,,,0.6341,0.6581,-0.9689,-0.8284,-0.705,0.0434,0.9373,0.9999,0.9997,1.0,0.9986,0.9999,0.9971,0.8627,0.9886,0.9994,0.9953,0.9972,0.9956,,0.9972,0.9909,0.9663,0.9944,0.995
FH_CU_scenario_high,,,,,,,,,,,,,,-0.0306,0.9977,0.9988,0.9994,0.9983,0.9398,-0.77,-0.8526,-0.9503,0.1613,-0.6355,0.9591,-0.9527,0.6012,0.9954,,0.9933,0.9947,0.9998,0.9984,0.9942,0.9994,0.9961,0.9969,0.9338,0.9934,0.9788,0.9994,0.9656,0.9813,0.28,0.9918,,,0.6341,0.6403,-0.9602,-0.8284,-0.3425,0.2937,0.9578,0.9997,1.0,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9743,0.9104,0.9966,0.99,0.3786,0.9947,-0.7131,-0.775,-0.9529,0.6978,0.995,0.9888,-0.9522,0.5982,0.9956,,0.9921,0.9939,0.9999,0.9979,0.9936,0.9994,0.9957,0.9986,0.973,0.9934,0.9728,0.9995,0.9924,0.9813,0.28,0.9918,,,0.6341,0.6494,-0.9689,-0.8159,-0.831,0.0635,0.9006,0.9999,0.9995,1.0,0.9981,0.9998,0.9955,0.8642,0.9886,0.9994,0.9951,0.9973,0.9956,,0.9968,0.9902,0.9731,0.99,0.995
FH_CU_scenario_mid,,,,,,,,,,,,,,0.7528,0.9841,0.9975,0.9976,0.976,-0.9927,-0.6881,-0.5624,-0.9292,0.3872,0.9976,0.9851,-0.9522,0.5988,0.9958,,0.9919,0.994,0.9998,0.998,0.994,0.9995,0.9957,0.9951,0.9137,0.9923,0.9764,0.9994,0.9656,0.9813,0.28,0.9918,,,0.6341,0.6494,-0.9689,-0.8284,-0.831,0.1271,0.9229,0.9999,0.9992,1.0,0.9987,,0.999,0.8886,0.9871,0.9997,0.9944,0.9967,0.9962,,0.9965,0.9891,0.9663,0.9932,0.9953
FH_CU_select,0.9974,-0.9987,-0.996,0.9587,-0.8164,0.9855,0.947,0.9535,0.9023,0.974,0.9395,0.9495,0.9697,0.7528,0.9841,0.9975,0.9976,0.976,0.9985,-0.7131,-0.775,-0.9529,0.6978,0.995,0.9888,-0.9522,0.5988,0.9958,,0.9919,0.9939,0.9998,0.998,0.994,0.9995,0.9957,0.9951,0.973,0.9934,0.9728,0.9994,0.9656,0.9813,0.28,0.9918,,,0.6341,0.6494,-0.9689,-0.8284,-0.831,0.1271,0.9006,0.9999,0.9995,1.0,0.9981,0.9998,0.9955,0.8642,0.9886,0.9994,0.9951,0.9973,0.9956,,0.9968,0.9902,0.9663,0.9932,0.9953
