,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9577,0.9206,0.9764,-0.7034,,0.6266,0.9921,-0.8537,0.9764,0.9999,0.9268,0.6159,0.9506,-0.4654,0.6364,-0.4246,0.7587,0.574,-0.847,-0.9752,-0.052,,0.9987,0.9915,0.8611,0.8771,0.9981,0.7811,0.954,-0.8905,0.9861,-0.6931,0.9058,-0.593,0.8912,0.8341,-0.4444,,0.924,0.9898,0.87,0.9978,,-0.4753,0.3381,-0.9438,-0.9893,-0.9758
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.7941,0.3114,-0.8037,0.6908,0.9954,-0.9609,0.9989,0.9901,0.9916,-0.1758,-0.9975,-0.9985,-0.9802,-0.9729,-0.87,0.7443,0.6044,0.9863,0.9732,0.9913,0.9796,0.9857,0.9852,0.9994,0.9788,0.9847,-0.9253,0.6862,0.9178,-0.7337,-0.9115,-0.2118,0.9541,-0.9028,0.9971,0.9655,-0.8168,-0.9883,-0.9625,0.9976,0.999,0.9978,0.9979,0.9948,0.999,0.0379,0.5861,0.458,0.9398,0.8439,0.9921,0.9323,0.9825,0.998,-0.2501,-0.9236,0.9939,-0.8503,0.9711
FH_CEID_Walk,,,,,,-0.9805,-0.7627,0.9851,0.9832,0.9325,-0.9897,0.6947,0.994,-0.7236,0.409,0.0143,0.7038,-0.9567,-0.9528,0.9191,-0.3988,0.9918,0.0241,0.7968,,0.9099,0.9478,-0.7196,0.9061,0.3964,0.9674,-0.8931,0.7743,0.9529,0.943,-0.9777,0.9763,0.2129,0.5629,-0.9076,0.7371,0.8794,-0.8289,-0.6801,-0.6624,,-0.9422,0.9979,0.8603,0.4555,-0.9898,-0.7251,0.9681,-0.8831,0.9312,0.1214,0.9372,0.275,0.6845,-0.5316,-0.6333,0.9819,-0.7198,0.708,-0.9582,0.9357,0.1687,,,,,
FH_CMU_TimeSeries,,,0.9468,-0.1717,-0.9863,0.9778,0.9767,0.9954,-0.8488,0.8408,-0.9678,0.8003,0.3872,-0.6823,0.5601,0.9892,0.2712,-0.9977,0.997,0.9994,0.9768,0.9855,-0.0887,-0.9611,-0.9976,-0.9241,0.9474,-0.8109,,-0.8494,0.9046,0.9684,0.9975,0.9991,0.7623,0.9994,0.9869,0.9768,0.9608,-0.9312,0.7144,0.2411,-0.8172,-0.986,-0.0991,,0.8781,0.9958,0.9817,-0.9705,-0.9804,0.9908,0.8774,-0.9013,-0.9524,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9585,0.8925,0.9685,0.8096,0.9923,0.9849,-0.5089,0.3222,-0.911,-0.9633,-0.6755
FH_COVIDhub_ensemble,-0.9821,0.2584,0.9266,0.7613,0.9627,-0.6776,0.843,0.9635,0.6212,0.8185,-0.9789,0.8878,0.978,-0.7249,0.487,0.9418,0.4609,0.9895,-0.9392,0.9753,0.9895,0.9839,0.2993,0.9547,-0.9575,0.9555,0.9824,-0.8247,,0.5955,0.979,0.9912,0.9902,0.983,0.9936,0.9993,0.999,0.9835,0.6966,-0.9361,0.7375,0.7706,,-0.996,-0.0371,,,,0.9558,-0.8223,-0.8345,0.986,0.9733,0.9563,0.9987,0.9998,0.9998,0.9941,0.9789,-0.81,0.548,0.9585,0.8925,0.9685,0.8096,0.9923,0.9849,-0.5089,0.3222,-0.911,-0.9633,-0.3436
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9769,0.9914,0.9875,0.9882,0.9883,,,,,,,,,-0.9894,0.1019,,,,,-0.8688,-0.4762,0.9882,,0.9681,0.9999,0.9993,0.9968,,0.9293,-0.8451,0.7871,0.9654,0.8808,0.9515,0.967,0.9944,0.9862,-0.4929,0.3585,-0.9317,-0.9876,-0.3436
FH_CU_nochange,,,,,,,,,,,,,,-0.4829,0.3886,-0.9214,0.6855,0.9982,0.9975,0.9911,0.9934,-0.6949,0.2167,0.9604,-0.9748,0.9821,0.9781,0.9457,,0.5708,0.941,0.9316,0.985,0.9883,0.9957,0.998,0.9993,-0.7999,0.8235,0.0496,-0.2955,0.8451,-0.8166,-0.9876,0.0837,,,0.9992,0.9844,0.9713,0.9757,0.9934,0.9979,0.9953,0.9999,0.9993,0.9998,0.9953,0.9965,-0.8191,0.5823,0.9476,0.9426,0.9957,0.4711,0.9999,,-0.516,0.3187,-0.9208,0.9579,0.9862
FH_CU_scenario_high,,,,,,,,,,,,,,0.1952,0.3149,-0.9454,0.7225,0.998,0.9975,0.9956,0.9975,-0.648,0.2753,0.9584,-0.9877,0.9821,0.9779,0.9483,,0.5727,0.9329,0.9261,0.9849,0.9883,0.9957,0.998,0.9988,-0.7997,0.8408,-0.2175,-0.5917,0.8517,-0.8073,-0.9781,0.1015,,,0.997,0.9835,0.9716,0.9747,0.9956,0.9989,0.9954,0.9996,0.9997,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.7397,0.956,0.5473,-0.0606,0.9917,0.9973,0.9901,0.7619,-0.4786,0.2461,0.8504,-0.9944,0.9824,0.9795,0.9503,,0.5792,0.947,0.945,0.9843,0.9874,0.9949,0.9975,0.9984,-0.7836,0.8408,0.9774,0.2712,0.8306,-0.8222,-0.9863,0.0734,,,0.9991,0.9817,0.9685,0.977,0.9911,0.9967,0.9953,1.0,0.999,0.9998,0.991,0.8695,-0.821,0.5871,0.9482,0.943,0.9948,0.4362,0.9999,,-0.5064,0.3219,-0.9233,0.9682,0.9896
