,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.2539,0.884,-0.801,-0.6834,,0.9918,0.9961,0.9876,0.9696,0.9408,-0.9613,-0.9827,-0.9759,-0.9524,0.6829,0.9764,-0.9972,-0.9634,-0.9957,-0.9344,0.7599,,0.9931,-0.8701,-0.9761,0.9978,0.531,0.9211,-0.0633,0.8656,0.9606,-0.89,0.9539,1.0,0.8514,0.9874,0.9948,,-0.9986,0.9872,0.9948,0.9975,,0.8811,-0.9876,-0.6011,0.9444,0.9932
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9903,0.9982,0.9981,0.9846,-0.7188,0.9713,0.9677,-0.9924,0.4715,0.9111,0.8942,0.2598,0.7812,0.8003,0.8585,0.8912,0.977,0.9967,0.9823,0.938,-0.9342,-0.861,-0.9624,-0.9624,-0.9801,-0.9498,0.6276,-0.9963,0.0057,0.9945,0.9558,-0.8232,-0.9243,-0.8647,0.9148,-0.1452,0.9816,-0.4315,-0.9114,-0.9984,1.0,0.9912,0.985,0.9839,0.9972,0.9131,0.9727,-0.6568,-0.0071,-0.9286,0.9906,0.9687,0.87,-0.9884,0.7472,-0.9504,0.7769,-0.9603,-0.9934
FH_CEID_Walk,,,,,,-0.7577,-0.9207,0.9941,0.9911,-0.974,0.8772,0.587,-0.8208,-0.7594,0.9408,0.9897,0.9931,-0.617,0.8459,0.9271,-0.8447,0.96,0.9484,0.9503,,0.7808,-0.7947,0.8875,0.8541,-0.8584,-0.9808,-0.9385,0.9798,-0.9817,0.9473,0.9259,-0.9011,0.9912,-0.1397,-0.9717,-0.8942,0.9838,-0.1,-0.1912,0.0467,,0.7354,-0.9562,-0.8344,0.9959,-0.724,0.8989,-0.9977,0.8656,0.8635,-0.9744,-0.2612,0.9855,-0.9392,0.966,-0.9928,0.937,-0.9971,-0.9501,-0.7107,0.433,-0.979,,,,,
FH_CMU_TimeSeries,,,-0.6345,0.9627,0.7594,-0.8246,-0.9016,0.9888,0.9854,0.3323,0.6418,0.9611,0.9157,0.9974,0.9993,0.9923,0.9346,-0.7761,0.5632,-0.4567,-0.9938,-0.9667,-0.8983,-0.7809,0.6119,0.8416,0.1406,0.9263,,0.3961,0.2118,0.9984,0.9829,0.9852,-0.9906,0.8666,-0.9867,0.9721,0.6956,0.9977,0.9962,0.9932,0.9885,0.964,-0.8045,,-0.7509,0.9282,-0.5136,0.9834,-0.8788,-0.9852,-0.9982,-0.6681,-0.7792,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997,0.9778,0.9762,0.9356,0.5489,-0.9499,0.7337,-0.841,0.7924,-0.9448,-0.9802
FH_COVIDhub_ensemble,-0.9939,-0.081,0.7653,-0.9732,-0.9662,-0.7577,-0.9538,0.9318,0.9968,-0.9875,0.8359,0.9962,0.8812,0.9901,0.9989,0.9962,0.9584,-0.735,-0.9595,-0.9898,-0.991,0.7827,0.8419,0.924,0.2549,-0.6325,-0.7321,0.8734,,0.6319,0.9989,0.992,0.9623,0.1877,-0.9549,-0.9968,-0.9744,0.976,0.5186,0.9888,0.9857,0.9934,,0.9675,-0.3535,,,,-0.4936,0.9864,-0.6335,-0.9653,-0.9993,0.7163,0.8151,-0.9236,0.9728,0.9993,0.6017,0.9809,0.9943,0.9997,0.9778,0.9762,0.9356,0.5489,-0.9499,0.7337,-0.841,0.7924,-0.9448,-0.9738
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,0.9953,0.44,-0.0433,-0.9915,,,,,,,,,0.963,-0.9221,,,,,0.9941,-0.6708,-0.9518,,0.8656,0.9382,-0.77,0.9788,,0.9749,0.9576,0.9873,0.9928,0.9833,0.9938,0.9851,0.8655,0.1264,-0.8696,-0.6288,0.7959,-0.9614,-0.9738
FH_CU_nochange,,,,,,,,,,,,,,0.9981,0.9985,0.9909,0.9302,-0.6094,0.7961,0.7043,-0.9759,0.9967,0.7683,0.9039,0.194,-0.7853,-0.6846,-0.9172,,0.9947,0.9995,0.9933,0.9576,-0.2062,-0.9216,-0.9023,-0.9469,-0.9802,0.5595,0.9458,-0.0595,0.9887,0.9359,0.9938,-0.8942,,,0.9905,0.9937,0.9782,-0.4315,-0.8548,-0.9886,-0.9893,-0.9827,-0.9236,0.9981,0.9967,0.9964,0.9558,0.9809,0.9945,-0.9835,0.9312,0.9174,-0.9922,,0.8968,-0.6283,0.7911,-0.9453,-0.9822
FH_CU_scenario_high,,,,,,,,,,,,,,0.9986,0.9961,0.9928,0.9254,-0.8636,0.1628,-0.9608,-0.985,0.9949,0.7455,0.8981,0.209,-0.7853,-0.6846,-0.9172,,0.9947,0.9995,0.9937,0.9578,-0.134,-0.9216,-0.9023,-0.9469,-0.9802,0.6995,0.9458,-0.175,0.9887,0.9359,0.9938,-0.9072,,,0.9905,0.9937,0.9781,-0.4315,-0.8548,-0.9916,-0.989,-0.9895,-0.8608,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9993,0.9996,0.9986,0.9468,-0.0373,0.7496,0.3188,-0.9904,0.9934,0.7563,0.8741,0.2098,-0.7853,-0.6846,-0.9172,,0.9935,0.9995,0.9937,0.9601,-0.134,-0.9216,-0.9023,-0.9469,-0.9802,0.5595,0.9458,0.389,0.9887,0.9359,0.9938,-0.8942,,,0.9905,0.9937,0.9781,-0.4315,-0.8548,-0.9886,-0.9893,-0.9895,-0.9236,0.9883,0.9966,0.9973,0.9558,0.9859,0.9945,-0.9835,0.9312,0.9311,-0.9876,,0.893,-0.6326,0.7911,-0.9443,-0.9822
