,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.83,-0.9897,-0.9709,0.9803,,0.9983,0.988,0.9572,0.9865,0.9998,0.9939,-0.2906,-0.1411,-0.327,0.5744,0.9842,0.6804,0.9978,-0.4141,0.8984,0.5844,,0.9435,0.975,-0.4206,0.2081,-0.915,-0.9985,0.719,0.6607,1.0,-0.8837,-0.8538,0.9842,-0.943,0.9972,-0.8224,,0.9873,-0.0748,-0.9888,-0.9909,,-0.9804,-0.882,-0.9963,-0.9322,0.9725
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9995,-0.9901,0.9987,0.9996,0.9933,0.9856,0.9982,0.7525,0.9781,-0.967,0.1403,0.98,0.978,-0.9148,-0.9964,0.9944,0.9989,0.9899,0.9394,0.9872,0.9993,0.984,-0.1285,-0.2809,0.5706,-0.7339,0.7045,-0.8576,0.8057,-0.7152,0.9202,0.2254,-0.9799,0.9393,-0.2824,0.9744,-0.9116,-0.9186,-0.9805,-0.7182,-0.9503,-0.0454,0.9778,0.9903,0.99,0.983,0.9562,-0.668,0.9764,-0.8453,0.0536,-0.9658,-0.786,0.9996,-0.9437,-0.7643,-0.5523,0.3012,0.8608
FH_CEID_Walk,,,,,,-0.8545,0.9596,-0.9081,-0.6909,-0.9507,0.9972,-0.8823,0.9387,-0.9992,-0.326,0.8883,0.9121,0.9662,-0.9474,0.9551,0.9265,0.833,-0.8924,0.6791,,-0.7349,-0.6729,0.9594,-0.9606,0.9998,0.9715,-0.9079,0.866,-0.932,0.9264,0.4406,-0.3761,0.0553,-0.5591,0.9922,-0.8015,0.9992,-0.8265,0.8696,-0.6125,,-0.8982,0.7324,0.2871,-0.9087,0.7201,-0.8167,0.9628,0.0691,-0.4627,-0.1777,-0.8538,0.9944,-0.943,0.9924,-0.9934,-0.9421,-0.9346,0.1337,0.9023,0.9913,0.9996,,,,,
FH_CMU_TimeSeries,,,0.9559,-0.4961,-0.1733,0.9485,0.9008,0.9745,-0.7364,0.9972,0.9046,-0.8877,0.8477,0.9885,0.9688,0.9969,0.9186,0.9976,0.9991,0.9972,0.6691,-0.9127,-0.9941,-0.931,0.0658,0.9395,-0.6844,0.9055,,-0.6183,-0.9819,0.9982,0.9703,0.9249,0.9948,-0.372,-0.283,0.7033,-0.068,0.9893,-0.6703,0.9991,-0.6331,0.8611,-0.9894,,0.9439,0.8817,-0.999,0.3899,-0.8768,0.8748,-0.3433,0.8738,-0.8056,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986,-0.8792,0.4514,-0.9636,0.9344,0.9995,0.9638,-0.849,-0.8796,-0.9989,0.9709
FH_COVIDhub_ensemble,-0.4944,-0.965,0.9954,-0.5631,-0.1069,-0.798,0.8214,-0.9445,0.81,0.9571,0.9985,-0.8195,0.9401,0.8521,0.3073,0.9749,0.9691,0.9834,0.9966,0.9913,0.7401,0.9908,-0.9089,0.9985,0.958,0.9944,0.2563,0.9979,,0.9848,0.9745,0.9818,0.9696,0.9997,0.9928,-0.2204,-0.2165,0.2935,-0.6,0.9901,-0.8124,0.9986,,0.9109,-0.5444,,,,0.6915,-0.2615,-0.915,-0.9906,0.8233,1.0,-0.3258,0.4552,-0.8979,0.9992,-0.9784,0.9809,0.9891,0.986,-0.8792,0.4514,-0.9636,0.9344,0.9995,0.9638,-0.849,-0.8796,-0.9989,0.9784
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907,0.9927,-0.9262,0.9925,0.9958,,,,,,,,,0.9174,-0.9036,,,,,0.1905,-0.8582,-0.9985,,-0.9148,-0.5157,0.9686,0.9756,,0.5423,0.9692,0.9697,0.9922,-0.9811,0.2557,-0.9899,0.9026,0.9993,0.8961,-0.8434,-0.8904,-0.9896,0.9784
FH_CU_nochange,,,,,,,,,,,,,,0.999,-0.5804,0.9965,0.9908,0.9723,0.9988,0.9694,0.9076,0.985,-0.7872,0.9998,0.9988,0.9958,-0.8243,0.9987,,-0.8561,0.9674,0.9493,0.9768,0.9998,0.9043,-0.0734,-0.347,-0.008,0.5338,0.8906,-0.7137,0.9914,-0.1194,0.8834,-0.9731,,,1.0,0.8928,1.0,-0.8787,-0.939,1.0,0.6607,0.4103,-0.9719,-0.8538,0.9931,-0.943,0.9972,0.9828,0.9934,-0.9286,-0.3204,-0.8105,0.9187,,0.9437,-0.8921,-0.4849,0.7841,0.0201
FH_CU_scenario_high,,,,,,,,,,,,,,0.9985,0.9435,0.9958,0.9959,0.9848,0.9988,0.948,0.8834,0.985,-0.9914,0.9997,0.9979,0.9954,-0.8843,0.9987,,-0.8653,0.9663,0.953,0.9768,0.9995,0.8762,-0.0734,-0.347,-0.0331,0.5338,0.9271,-0.7137,0.9914,-0.1194,0.8696,-0.9731,,,1.0,0.8928,1.0,-0.8787,-0.939,1.0,0.6607,0.4103,-0.8837,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9995,-0.9983,0.9791,0.9667,0.975,0.9987,0.9787,0.8505,0.9825,-0.847,0.9954,0.9981,0.995,0.983,0.9985,,-0.7799,0.9698,0.953,0.9768,0.9995,0.9675,-0.0734,-0.347,-0.008,0.5338,0.9406,-0.7137,0.9914,-0.1194,0.8834,-0.9731,,,1.0,0.8928,1.0,-0.8787,-0.939,1.0,0.6607,0.4103,-0.9702,-0.8538,0.995,-0.943,0.9972,0.9828,0.9918,-0.9286,-0.3204,-0.8106,0.9187,,0.9437,-0.8951,0.9857,0.8344,0.1554
