,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.998,-0.9966,-0.1743,0.9877,,0.8145,-0.995,-0.9451,0.9995,0.9926,0.9987,0.9388,0.9981,0.9593,0.9377,0.9381,0.8712,0.9835,0.9991,0.9796,0.9983,,0.9827,-0.8349,-0.9431,-0.7965,-0.966,-0.9239,-0.982,-0.9468,-0.9843,0.9989,0.9656,0.9774,0.8544,0.0935,0.974,,0.2748,-0.8261,-0.9966,0.3402,,-0.9166,0.9983,-0.2424,0.9792,-0.3053
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.6533,0.9948,0.9709,-0.9829,-0.9807,0.9996,0.9998,1.0,0.9966,0.9992,0.9097,0.9574,-0.9863,0.8462,0.0335,0.9825,0.9834,0.9905,0.9994,0.9996,0.9981,0.9982,0.9982,0.9892,0.9728,-0.7746,0.9628,0.8863,0.7764,0.9992,0.9869,0.9977,0.9809,0.9751,-0.8652,-0.9601,-0.9632,-0.9579,-0.9393,0.998,0.9995,0.9946,0.9982,0.989,0.9943,0.9904,-0.1732,-0.9964,-0.9852,0.348,0.9754,0.9956,0.9926,0.999,0.9914,0.9975,0.992,0.9705,-0.8354
FH_CEID_Walk,,,,,,-0.8752,0.8393,-0.9343,0.9816,0.9462,0.9807,-0.965,0.9437,-0.7234,0.9062,0.886,-0.9424,-0.9626,0.9636,-0.8384,0.9631,-0.9971,0.973,-0.8559,,-0.9748,0.7997,-0.8375,0.145,0.9534,-0.7209,0.9819,0.9808,0.9429,0.9457,0.4184,-0.652,0.9929,-0.7838,0.988,-0.8004,0.9525,-0.9648,0.9933,0.8483,,0.9998,0.6428,-0.9104,0.6736,0.6715,-0.7356,0.951,-0.8045,0.8288,0.9142,-0.7806,-0.9499,-0.2893,0.228,0.8327,-0.7367,-0.0791,-0.7958,-0.5935,0.9715,0.9991,,,,,
FH_CMU_TimeSeries,,,0.9973,0.9952,0.1246,-0.9265,-0.9651,-0.9992,0.9063,0.9746,0.9985,0.9478,0.9967,-0.452,0.9999,0.9325,-0.9872,0.9978,0.99,0.9363,0.9962,0.9493,0.985,0.9642,0.9981,-0.9861,0.0125,0.9322,,0.791,-0.8147,0.999,0.9827,0.9934,0.9968,0.9979,0.9956,0.9759,0.9656,0.9556,0.9983,0.9818,0.7707,0.9954,0.9974,,0.9862,-0.9346,-0.9102,0.6472,-0.115,0.9945,0.7144,-0.9974,-0.9632,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9826,0.2431,0.9768,0.9962,0.9914,0.9989,0.9958,0.9976,0.9908,0.9679,-0.8896
FH_COVIDhub_ensemble,-0.9999,0.5425,0.9987,0.998,0.4671,0.537,0.998,0.994,0.9995,0.9931,0.9987,0.9918,0.9991,-0.645,0.976,0.9401,0.5946,0.9992,0.9679,0.9999,0.9999,0.9945,0.9993,0.9573,0.9622,-0.9914,0.9225,-0.9836,,0.9852,0.9993,1.0,0.9999,0.9986,0.9942,0.9982,0.9832,0.9868,0.9298,0.9672,-0.5333,0.9655,,0.9709,0.9973,,,,-0.9417,0.6756,-0.9939,-0.9132,0.967,-0.9444,0.9977,0.9953,0.9988,0.9891,0.9464,0.1072,0.4707,-0.9826,0.2431,0.9768,0.9962,0.9914,0.9989,0.9958,0.9976,0.9908,0.9679,-0.434
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982,0.998,0.9724,0.9996,0.9925,,,,,,,,,0.9833,0.9953,,,,,0.8097,-0.8047,0.8977,,0.9977,0.9913,0.9989,0.9948,,0.9837,0.141,-0.7002,-0.9945,0.2442,-0.9705,0.9988,0.9867,0.9979,0.9955,0.9972,0.9903,0.9314,-0.434
FH_CU_nochange,,,,,,,,,,,,,,0.63,0.7078,0.97,0.9967,0.7207,0.9945,0.9988,0.9977,0.996,0.6062,0.9319,0.9189,-0.9911,-0.4825,-0.998,,0.9471,0.9847,0.9949,0.9971,0.9997,0.996,0.994,0.7376,0.9948,0.9303,0.9732,-0.9251,-0.9531,-0.794,0.9925,0.873,,,-0.8822,-0.9077,0.9884,0.9954,1.0,0.9987,0.9931,0.9998,0.9996,0.9951,0.9833,0.9356,0.2513,-0.8088,-0.8681,0.373,0.9922,0.631,0.9982,,0.964,0.9961,0.9715,-0.921,0.5763
FH_CU_scenario_high,,,,,,,,,,,,,,0.702,0.8849,0.9745,0.9974,0.9299,0.991,0.9978,0.9992,0.9978,-0.8953,0.9649,0.9495,-0.9911,-0.5536,-0.9982,,0.935,0.9812,0.9945,0.9971,0.9997,0.9954,0.9964,0.7788,0.9948,0.9161,0.9726,-0.9281,-0.9763,-0.8266,0.9935,0.8987,,,-0.8822,-0.9077,0.9921,0.9991,1.0,0.9996,0.9952,0.9996,0.9994,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9581,-0.4969,0.9115,0.5207,0.789,0.9919,0.9986,0.999,0.9983,0.903,0.9336,0.965,-0.991,-0.4718,-0.9992,,0.9666,0.9895,0.9963,0.9965,0.9998,0.9963,0.9964,0.7301,0.9968,0.9303,0.9732,-0.9185,-0.6402,-0.7198,0.993,0.8894,,,-0.8822,-0.9077,0.9881,0.9748,0.9999,0.9975,0.9933,0.9996,0.9987,0.9974,0.9864,0.9554,0.1496,-0.8049,-0.8681,0.3761,0.9924,0.5655,0.9985,,0.9617,0.9954,0.9715,-0.9217,0.72
