,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9706,0.2055,-0.9927,-0.9999,,0.9976,0.9988,0.9987,0.9904,0.8921,-0.9498,0.7357,-0.9682,-0.9997,-0.2426,-0.4825,-0.9826,0.0583,0.9882,0.9357,0.9785,,0.9921,0.9963,0.9941,-0.8697,-0.84,-0.2423,-0.12,-0.9156,1.0,-0.8509,-0.9928,-0.9804,-0.9995,-0.9365,1.0,,0.9431,0.9753,0.9331,0.9673,,0.9567,0.9048,0.9306,0.9587,0.1728
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.629,-0.9947,0.3597,-0.9273,-0.9722,-0.8184,0.999,0.9988,0.9988,0.9998,0.9994,0.9961,0.2946,-0.9547,-0.9997,-0.8229,0.998,0.2813,0.9992,0.9921,0.933,-0.8938,0.6161,0.9198,-0.9885,-0.2573,0.3665,0.9902,0.5017,0.8997,0.9394,0.9757,0.9999,0.9982,0.9891,0.9617,0.9925,0.8933,-0.8834,-0.4347,1.0,-0.9694,0.9963,0.9787,0.9936,0.9872,0.9925,0.866,-0.9073,0.9094,0.947,0.9384,0.994,0.9851,0.9996,0.8189,-0.1844,0.9414,0.9426
FH_CEID_Walk,,,,,,0.9392,-0.9813,-0.9737,0.996,-0.8052,0.8201,-0.9923,-0.6887,0.7118,-0.9604,0.8107,-0.9263,-0.0434,-0.963,0.9782,-0.6784,-0.5991,0.9192,-0.7596,,-0.3191,-0.9018,-0.9611,0.7333,0.5965,-0.9949,0.9855,0.597,0.9934,-0.9285,0.6862,-0.8417,-0.9973,0.6132,-0.9376,-0.8987,0.504,-0.9726,-0.8207,0.9881,,0.9536,0.9784,0.9398,-0.9721,-0.3069,-0.8209,-0.4767,-0.8465,-0.9734,-0.7524,-0.8099,-0.9802,0.9925,-0.9594,0.399,0.9527,0.8478,-0.9985,-0.9984,-0.852,0.9351,,,,,
FH_CMU_TimeSeries,,,0.9989,0.2919,0.9745,-0.4804,-0.8669,-0.9942,0.9718,0.0839,0.5639,-0.8971,-0.9255,0.7168,-0.2617,0.4392,-0.8016,0.9888,0.9829,0.9976,0.9911,0.9618,0.9998,0.9986,0.9986,-0.0647,-0.9237,0.9982,,-0.9467,-0.9876,0.9958,0.9936,0.845,0.9704,-0.8648,-0.942,-0.9997,0.5545,-0.8676,0.9703,0.4471,-0.977,0.9905,0.9848,,0.9929,0.9982,0.9274,-0.5419,0.9871,-0.7849,-0.3308,0.8667,1.0,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9452,0.7802,0.9411,0.9822,-0.8782,0.972,0.8843,0.9252,-0.8706,0.972,-0.4095
FH_COVIDhub_ensemble,-0.9946,0.6751,0.9975,-0.9734,0.9999,0.7968,-0.922,-0.7761,0.9573,1.0,0.9606,0.9923,0.8138,0.8302,-0.9879,0.6611,0.9896,0.9696,0.9977,0.9907,0.9993,0.9963,0.9942,0.9983,0.9974,0.5304,-0.9398,-0.9783,,0.9773,0.5682,0.9995,0.9949,0.9282,-0.9506,0.7458,0.9916,-0.9855,-0.3678,-0.958,0.9602,0.6183,,0.9907,0.9799,,,,0.965,0.5033,0.7582,-0.8595,-0.3308,-0.9156,-0.7955,-0.7524,0.9847,0.981,0.9913,-0.9812,0.8983,0.9452,0.7802,0.9411,0.9822,-0.8782,0.972,0.8843,0.9252,-0.8706,0.972,-0.022
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9643,0.9996,-0.939,0.9117,-0.9775,,,,,,,,,0.9988,0.9848,,,,,0.5033,0.8428,-0.8317,,0.2241,-0.9419,-0.1843,0.9977,,0.9992,0.9896,0.8872,-0.8416,0.6956,0.9475,0.9826,0.9826,0.9788,0.9361,0.945,-0.862,0.9738,-0.022
FH_CU_nochange,,,,,,,,,,,,,,0.6293,-0.9594,-0.3146,-0.6686,0.9978,0.9994,0.9994,0.9997,0.9377,0.9946,0.9996,-0.9657,-0.3125,0.9471,0.9805,,-0.9906,0.9977,0.9978,0.9998,0.9147,-0.9581,0.7384,0.9797,-0.9664,-0.1367,0.9407,0.9852,0.7311,0.9893,0.9795,0.9768,,,0.9956,0.991,0.9925,0.9514,-0.7849,-0.5169,0.9156,0.9195,0.9757,0.9823,0.9905,0.9992,0.9365,0.9539,0.9565,0.7913,0.7818,-0.9984,-0.8418,,0.9414,0.962,-0.7975,0.9349,-0.4885
FH_CU_scenario_high,,,,,,,,,,,,,,0.604,-0.9556,-0.3517,-0.8209,0.9983,0.9998,0.9997,0.9999,0.9656,0.9961,0.9998,-0.9657,-0.3125,0.9471,0.9805,,-0.9895,0.9977,0.9978,0.9998,0.9147,-0.9599,0.7384,0.977,-0.9664,-0.1367,0.918,0.9782,0.6396,0.9893,0.9795,0.968,,,0.9956,0.991,0.9925,0.9514,-0.7849,-0.5169,0.9156,0.9195,0.9729,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.6981,-0.9561,-0.3393,-0.6924,0.9908,0.9987,0.9967,0.9998,0.9349,0.9926,0.9975,-0.9626,-0.3125,0.9471,0.9805,,-0.992,0.9985,0.998,0.9998,0.9147,-0.9599,0.7384,0.9797,-0.9664,-0.1367,0.9407,0.9868,0.9385,0.9844,0.9795,0.9768,,,0.9956,0.991,0.9925,0.9514,-0.7849,-0.5169,0.9156,0.9195,0.9757,0.9823,0.9905,0.9992,0.9365,0.9539,0.9565,0.7913,0.9027,-0.9984,-0.8418,,0.952,0.9748,-0.7975,0.9352,-0.2466
