,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9983,-0.921,-0.9234,-0.9996,,-0.9993,-0.9894,0.9994,0.9979,0.9993,0.999,0.9998,0.9612,0.9471,-0.7319,0.8869,0.9826,-0.9882,-0.4066,0.9996,0.9997,,0.9972,0.9968,0.9839,-0.4692,-0.0388,-0.5528,0.9016,-0.995,-0.9835,-0.9926,-0.9684,-0.9831,0.9997,0.9997,0.9998,,0.9686,-0.5727,-0.9998,-0.9976,,0.9927,0.9971,0.9861,-0.2646,-0.9686
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9797,0.7368,-0.9476,0.9908,0.9952,-0.9535,0.9954,0.9937,0.9675,0.9557,0.9168,0.1365,0.227,0.2531,0.9464,0.995,0.992,0.9873,0.9995,0.9994,0.9991,0.9956,0.9993,0.9863,0.9583,-0.7996,-0.7784,0.252,-0.989,0.997,0.9999,0.9995,0.9972,0.9999,0.9991,0.9993,0.9662,0.9951,0.9962,0.9681,-0.9762,0.9948,0.9905,0.9996,0.9991,0.9999,0.9987,0.9777,0.9528,0.9901,-0.3509,-0.9972,-0.5468,0.9269,0.9796,0.9842,0.9936,-0.0003,-0.7162
FH_CEID_Walk,,,,,,0.9749,-0.866,-0.9859,-0.9466,0.3581,-0.6722,0.7659,0.8986,-0.9345,0.8886,-0.5208,0.947,-0.9598,-0.8784,0.9613,0.9252,0.9887,0.9353,-0.7771,,-0.0901,-0.778,-0.959,0.8435,0.839,-0.9942,0.8806,0.9653,0.9587,-0.9028,0.9811,0.3202,0.9664,-0.4448,-0.6237,-0.5854,-0.8585,0.977,0.9937,0.9174,,0.9844,0.9932,0.9887,0.9228,0.9471,-0.9816,0.9361,-0.9816,0.9776,0.1022,-0.9401,0.9656,0.9873,0.9508,0.9684,-0.9652,-0.9672,-0.5926,-0.9367,-0.7829,0.9228,,,,,
FH_CMU_TimeSeries,,,0.9989,0.9384,0.8638,-0.0953,-0.4804,-0.9154,-0.9547,0.5117,0.9984,-0.8427,-0.9806,-0.2628,0.9981,0.992,0.986,0.99,0.9974,0.9977,0.9994,0.998,0.9984,0.9906,0.9896,0.7028,-0.965,-0.3621,,-0.9923,-0.2365,0.9886,0.9998,0.9991,0.9995,0.999,0.9479,0.9603,-0.7318,0.9647,0.9746,0.9987,0.9959,0.9973,0.9996,,0.9988,0.9996,0.9997,0.9803,0.9805,0.8719,0.9098,-0.9853,-0.9958,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9971,0.9954,-0.4201,-0.5972,0.9876,0.9882,0.9973,0.9996,0.9875,-0.2709,-0.8934
FH_COVIDhub_ensemble,-0.9988,-0.9908,0.9983,0.9847,0.9238,0.8622,-0.9946,-0.9285,-0.9687,0.3197,0.968,0.9558,0.2199,-0.967,0.9699,0.9962,0.9813,0.9957,0.989,0.9952,0.9995,0.9986,0.9865,0.993,0.9992,0.9952,-0.5854,-0.7759,,0.9906,0.9949,0.9998,0.997,0.9962,0.9938,0.9938,0.9599,0.751,-0.691,-0.5318,0.9922,0.987,,0.9952,0.9951,,,,0.9999,0.9715,0.9949,0.9798,0.9324,-0.9878,0.3075,0.9864,0.9993,0.9932,0.9992,0.9951,0.9873,0.9971,0.9954,-0.4201,-0.5972,0.9876,0.9882,0.9973,0.9996,0.9875,-0.2709,-0.8347
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998,1.0,-0.2226,0.9977,0.9924,,,,,,,,,0.9989,0.9996,,,,,0.9717,0.9984,0.9309,,-0.9891,0.962,0.996,0.997,,0.9998,0.9991,0.9969,0.9956,0.9851,-0.3988,-0.4907,0.9901,0.9853,0.9966,0.9984,0.9825,-0.2695,-0.8347
FH_CU_nochange,,,,,,,,,,,,,,0.9947,0.9872,0.9871,0.9925,0.998,0.9959,0.9962,0.9997,-0.3701,0.9931,0.999,-0.9411,-0.871,0.9473,0.992,,0.9022,-0.6637,0.9908,0.9881,0.9967,0.6926,0.7837,-0.9682,0.6943,0.9589,-0.5937,0.9985,0.9993,0.9974,0.9992,0.9984,,,0.9958,0.9989,0.9514,0.9687,0.9569,0.9458,-0.906,0.998,0.9979,0.9978,0.9989,0.9999,0.9939,0.9824,-0.8807,-0.9024,0.755,0.9999,0.9969,,0.9931,1.0,-0.7211,0.3124,0.9741
FH_CU_scenario_high,,,,,,,,,,,,,,0.9944,0.9912,0.9881,0.9913,0.9979,0.9969,0.9979,0.9999,-0.1452,0.8419,0.9999,-0.9479,-0.8706,0.9451,0.9877,,0.8,-0.8177,0.9912,0.9869,0.996,0.4528,0.7449,-0.9669,0.7101,0.9643,-0.5277,0.9984,0.9997,0.9969,0.9992,0.9982,,,0.9958,0.998,0.9514,0.9687,0.9569,0.9532,-0.906,0.9975,0.9986,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9829,0.9428,0.9658,0.97,0.9893,0.9934,0.9929,0.9972,0.3589,0.9929,0.9836,-0.9188,-0.8707,0.9479,0.9956,,0.9208,-0.708,0.9916,0.9845,0.9951,0.8714,0.6472,-0.9505,0.0478,0.847,-0.6665,0.9986,0.9994,0.9976,0.9991,0.9984,,,0.9957,0.9993,0.952,0.9954,0.9569,0.9368,-0.9933,0.998,0.9966,0.9962,0.9977,0.9999,0.9947,0.9801,-0.8708,-0.8991,0.7643,0.9985,0.9971,,0.994,1.0,-0.7661,0.3929,0.9765
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9912,0.9773,0.978,0.9805,0.9945,0.9927,0.9982,0.9981,0.4102,0.9404,0.991,-0.93,-0.8707,0.939,0.9824,,-0.1235,-0.8969,0.9921,0.9826,0.9953,-0.0862,0.356,-0.9397,-0.1367,0.8693,-0.6617,0.9991,0.9997,0.9961,0.9989,0.9981,,,0.9958,0.998,0.9514,0.9687,0.9569,0.9368,-0.906,0.998,0.9968,0.9973,0.9982,,0.9983,0.9827,-0.6206,-0.9041,0.7466,0.9997,0.997,,0.9949,0.9999,0.3021,0.1028,0.9451
FH_CU_select,0.9987,0.9997,0.9938,-0.9644,-0.9888,-0.9708,0.6588,0.9977,0.7456,0.1776,-0.9726,0.9214,0.997,0.9912,0.9773,0.978,0.9805,0.9945,0.9974,0.9929,0.9972,0.3589,0.9929,0.9836,-0.9188,-0.8707,0.939,0.9824,,-0.1235,-0.708,0.9921,0.9826,0.9953,-0.0862,0.356,-0.9397,0.0478,0.847,-0.6665,0.9991,0.9997,0.9961,0.9989,0.9981,,,0.9958,0.998,0.9514,0.9687,0.9569,0.9368,-0.9933,0.998,0.9966,0.9962,0.9977,0.9999,0.9947,0.9801,-0.8708,-0.8991,0.7643,0.9985,0.9971,,0.994,1.0,0.3021,0.1028,0.9451
