,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.791,0.9384,0.9929,0.9848,,0.9997,0.9948,0.9999,0.9995,0.9918,0.9981,0.9975,0.999,0.0035,-0.5759,-0.9892,-0.8971,0.7385,-0.8575,-0.9849,-0.9424,,0.9729,0.9892,0.9987,0.992,0.4129,-0.9168,-0.9855,-0.0025,0.2498,-0.8369,-0.9124,1.0,0.9998,1.0,0.9988,,0.4586,-0.9884,-0.9869,-0.9043,,0.9149,0.9677,0.9086,0.8435,-0.269
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9755,-0.9701,0.9988,0.9996,0.9985,0.9932,0.972,0.992,0.9811,-0.1035,0.9406,-0.8497,0.9433,-0.1993,0.5973,0.9996,0.9996,0.9998,0.9997,0.9986,0.992,0.9992,0.9979,0.9994,0.9928,0.7661,-0.9105,-0.9975,0.2743,-0.8219,-0.9839,-0.9341,0.1744,0.9858,-0.9567,0.9995,0.9992,0.4745,-0.9305,-0.9816,-0.4969,0.8707,0.9758,0.9926,0.995,0.9983,0.9995,0.9823,0.9705,0.448,0.8214,0.9462,0.928,-0.9063,-0.9851,-0.9669,-0.9572,0.2128,0.5382
FH_CEID_Walk,,,,,,0.9667,-0.9869,-0.2529,0.9935,-0.8712,0.951,0.5496,-0.8966,0.9517,-0.7695,0.924,0.9658,0.8709,0.9187,0.9362,0.9946,0.8995,-0.2485,0.6045,,0.9139,-0.9463,-0.9735,0.9942,-0.9965,0.9703,0.9818,-0.9657,0.9079,-0.7955,0.9186,0.9648,0.9611,0.9352,-0.7935,0.9539,0.5982,0.9818,0.938,-0.9278,,-0.9765,0.9651,0.9968,-0.9964,-0.8664,-0.8561,-0.9949,-0.3642,0.6609,-0.8964,-0.8488,0.9403,0.9417,0.9636,0.9286,-0.8748,-0.7236,-0.9785,-0.9991,0.9734,-0.3949,,,,,
FH_CMU_TimeSeries,,,0.9716,-0.8312,0.9623,0.4484,-0.9916,-0.9647,0.9967,0.9897,0.9836,-0.8713,-0.9317,-0.8193,0.8824,0.9984,0.8607,0.9997,0.9995,0.9841,0.9786,0.9664,-0.5925,-0.9444,-0.8353,0.9703,-0.9474,0.9979,,0.9988,0.7039,0.9998,0.985,0.9968,0.996,0.9926,0.9986,0.9924,0.8736,-0.9033,-0.9981,0.7405,-0.8574,-0.8241,-0.9801,,0.8272,0.9906,0.999,0.9987,0.469,-0.9134,-0.9825,-0.3967,-0.7323,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988,0.737,-0.8445,0.9162,0.9791,-0.8465,-0.9689,-0.9824,0.8531,0.7516,0.9507
FH_COVIDhub_ensemble,-0.9893,0.9875,0.829,-0.9218,0.9987,0.9314,0.9647,0.9465,0.9969,0.9883,0.9918,0.5444,-0.3853,0.9467,0.9974,0.9936,0.9946,0.9895,0.9995,0.9988,0.9879,0.9754,-0.0676,0.8985,0.6335,0.9322,0.9849,0.9905,,0.9932,0.9952,0.9994,1.0,0.9879,0.9998,0.9994,0.9989,0.9958,0.7771,-0.9028,-0.9853,0.6762,,0.6991,-0.9298,,,,0.9988,0.9858,0.2677,-0.9523,-0.981,-0.329,0.7523,-0.798,0.9972,0.9946,0.9924,0.9992,0.9956,0.9988,0.737,-0.8445,0.9162,0.9791,-0.8465,-0.9689,-0.9824,0.8531,0.7516,0.8536
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9957,0.9985,-0.7463,0.9885,0.9977,,,,,,,,,0.4482,-0.9818,,,,,0.9922,0.4208,-0.9583,,-0.3773,0.8106,0.989,0.9754,,0.9992,0.9995,1.0,0.9961,0.883,-0.9134,0.9559,0.9453,0.4315,-0.9921,-0.9559,0.965,0.8301,0.8536
FH_CU_nochange,,,,,,,,,,,,,,0.9996,0.9998,0.9946,0.9943,0.9812,0.9977,0.999,0.9874,-0.9168,0.6489,0.9918,0.0679,0.9847,0.9878,0.9877,,0.9989,0.9948,0.9989,0.9969,0.9885,0.9964,0.9982,0.9991,0.9686,0.7558,-0.8351,-0.9926,0.6902,-0.7005,-0.9439,-0.9514,,,0.9843,0.9992,0.9957,0.5995,-0.8561,-0.9949,-0.5653,-0.514,0.9988,0.9977,0.9998,0.9971,0.9941,0.9975,-0.3995,-0.4661,0.9918,0.802,-0.9838,,-0.5918,-0.9876,0.949,0.8837,0.9238
FH_CU_scenario_high,,,,,,,,,,,,,,0.9996,0.9998,0.9946,0.9975,0.984,0.9995,0.9994,0.9873,-0.8989,0.6023,0.9915,-0.1579,0.9847,0.9875,0.9868,,0.9989,0.9936,0.9989,0.9965,0.9878,0.9906,0.9982,0.9991,0.9703,0.7558,-0.8721,-0.9926,0.7058,-0.7005,-0.9439,-0.9472,,,0.9843,0.999,0.9911,0.5995,-0.8561,-0.9949,-0.5653,0.5062,0.9989,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9989,0.9976,0.9831,0.9811,0.9617,0.9984,0.9994,0.9825,-0.9024,0.6258,-0.5349,-0.6239,0.9847,0.988,0.9874,,0.9992,0.9957,0.9988,0.9961,0.9878,0.9907,0.9955,0.9977,0.9699,0.7558,-0.8351,-0.9938,0.6751,-0.8725,-0.9439,-0.9472,,,0.9843,0.9992,0.9982,0.5995,-0.8561,-0.9949,-0.5653,-0.7323,0.9989,0.9972,0.9999,0.995,0.994,0.9975,-0.3787,-0.4661,0.9934,0.7925,-0.9535,,0.3621,-0.9876,0.9506,0.8774,0.9258
