,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9978,-0.9893,0.9867,-0.3744,,-0.9997,0.9996,0.9987,0.9994,0.9998,0.9971,0.9808,0.9987,0.9833,0.9992,-0.9997,0.9947,1.0,0.9982,0.9994,0.9995,,0.9987,0.9618,0.9954,0.9998,0.4094,-0.5698,-0.99,-0.9338,-0.9987,-0.9978,-0.996,-0.9833,0.9988,0.9979,0.997,,0.9633,-0.74,-0.9902,-0.9898,,-0.8123,-0.7941,0.7967,0.929,-0.0515
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.8972,0.9868,-0.9808,-0.9887,-0.9747,0.996,0.9663,0.9861,0.9892,0.98,0.9917,0.9912,0.9986,0.3628,0.8319,0.2438,0.9881,0.9803,0.9992,0.9999,1.0,0.9994,0.9859,0.9982,0.9777,0.107,-0.9784,-0.9455,-0.9838,0.9995,0.9991,0.9998,0.9994,0.9934,0.998,0.9995,0.9992,0.9985,0.9694,-0.8716,-0.9782,-0.9854,0.9994,0.9999,0.9998,0.9985,1.0,0.9946,0.9995,0.9861,-0.7683,-0.9924,-0.9931,-0.9687,-0.8902,0.2208,-0.2606,0.9777,0.5423
FH_CEID_Walk,,,,,,-0.6497,0.9815,-0.8853,0.9211,0.9615,-0.9014,-0.6743,0.9859,0.5018,0.8203,-0.9187,-0.9905,-0.7453,0.9635,-0.9742,0.9188,-0.8768,0.9138,-0.7525,,0.9696,0.9379,-0.0221,-0.835,0.9485,0.7794,0.9179,0.9645,0.9491,0.9649,0.9996,0.9384,0.944,-0.8806,0.933,0.9051,0.9839,0.7883,0.9898,0.9861,,0.9162,0.9321,0.9864,0.9913,0.9596,0.9899,-0.7556,0.0418,-0.9993,-0.9955,0.9836,0.9565,0.9086,0.9529,0.9701,-0.9668,-0.9344,-0.9948,-0.976,-0.9815,0.9382,,,,,
FH_CMU_TimeSeries,,,0.7922,0.9978,0.8808,-0.4525,0.9502,-0.8604,0.8126,-0.5727,-0.9497,-0.981,0.9948,0.4972,0.8514,0.9973,0.9973,0.9083,0.9905,0.985,0.9927,0.9904,0.9999,0.9985,0.9993,0.9545,0.8904,-0.2643,,-0.9977,0.9675,0.9668,0.9998,0.9962,0.9992,0.9659,0.9952,0.9473,0.9598,0.9964,0.9877,0.9991,0.9967,0.9971,0.9998,,0.9832,0.9991,0.9996,0.9955,0.9949,0.944,-0.8924,-0.993,0.6402,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994,0.9824,-0.6658,-0.951,-0.9534,0.9576,-0.9732,0.7667,-0.7978,0.1122,-0.7133
FH_COVIDhub_ensemble,0.9912,-0.7013,0.9996,0.972,0.9828,0.0706,-0.9821,-0.9545,0.7761,-0.2403,-0.9404,-0.9561,0.9841,0.4808,-0.5314,0.8155,-0.7334,0.9919,0.9865,0.9983,0.9895,0.9999,0.9984,0.9993,0.9958,0.9949,0.9581,-0.266,,-0.0077,0.9998,0.9996,0.9994,0.9977,0.9998,0.9949,0.9985,0.9659,0.9766,0.9803,0.9902,0.996,,0.9999,1.0,,,,0.9997,0.9996,0.9984,0.9624,-0.8443,-0.9653,0.9919,0.9996,0.9998,0.999,0.9877,0.9971,0.9971,0.9994,0.9824,-0.6658,-0.951,-0.9534,0.9576,-0.9732,0.7667,-0.7978,0.1122,0.9868
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999,1.0,0.7685,0.9998,0.9987,,,,,,,,,0.9999,0.9979,,,,,0.9998,0.9989,0.9718,,0.999,0.9955,0.9999,0.9999,,0.9997,0.9992,0.9964,0.9998,0.99,-0.7012,-0.9761,-0.9883,0.9883,0.2307,0.7629,-0.817,-0.9968,0.9868
FH_CU_nochange,,,,,,,,,,,,,,0.3867,0.9994,0.9865,0.9926,0.9968,0.9997,1.0,0.9973,0.998,0.9998,0.9994,0.9868,-0.9932,-0.9902,0.1694,,-0.9905,0.9889,0.9997,0.9951,0.9982,0.999,0.9846,0.9998,0.99,-0.2571,0.998,0.9995,0.9915,0.9997,1.0,0.9998,,,0.9999,0.9995,0.9995,0.9981,0.9719,-0.869,0.9668,0.9985,0.9998,0.9998,1.0,0.9994,0.999,0.8811,-0.4218,-0.9233,0.6475,-0.939,0.9141,,0.5306,0.8113,-0.7835,0.9547,1.0
FH_CU_scenario_high,,,,,,,,,,,,,,0.2939,0.9988,0.9868,0.9962,0.9948,0.9997,0.9998,0.9982,0.9962,0.9997,0.9999,0.9898,-0.994,-0.9667,-0.0706,,-0.9943,0.9711,0.9995,0.9949,0.9982,0.999,0.9865,0.9998,0.9901,-0.0995,0.9974,0.9998,0.992,0.9997,1.0,0.9997,,,0.9999,0.9995,0.9995,0.9988,0.9768,-0.8735,0.9852,0.9979,0.9994,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.8243,0.9959,0.9455,0.9837,0.9859,0.998,0.9981,0.9875,0.9984,0.9994,0.9892,0.9924,-0.9913,-0.9988,0.3237,,-0.9436,0.9949,0.9999,0.9942,0.9972,0.9995,0.9913,0.9997,0.9865,-0.8478,0.9961,0.9992,0.9914,0.9996,1.0,0.9998,,,0.9999,0.9996,0.9995,0.9978,0.967,-0.8646,0.9276,0.9997,1.0,1.0,0.9998,0.9988,0.9983,0.9165,-0.5693,-0.9233,0.6353,-0.9522,0.9193,,0.4662,0.8119,-0.7792,0.9758,1.0
