,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9965,-0.7742,0.9951,0.8731,,-0.6353,0.2973,-0.9044,-0.9487,-0.9997,-0.998,0.9785,0.9974,0.9832,0.9559,0.6612,0.602,-0.9834,-0.9994,-0.9935,-0.9655,,-0.7206,0.9841,0.9734,-0.9386,0.9991,-0.414,-0.9501,0.9177,-0.8398,-0.1622,-0.9955,-0.9754,0.0374,0.9982,0.9961,,0.6564,-0.9585,-0.9984,-0.9999,,-1.0,0.9937,0.999,0.997,0.8986
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.982,-0.999,0.9765,0.2614,0.8272,0.982,-0.9387,0.9963,0.9966,0.9945,0.9948,0.9938,0.9839,0.9965,0.9514,-0.9816,0.4111,0.9722,0.9939,0.9993,0.9997,0.9992,0.9985,0.9881,-0.2587,-0.9671,0.7058,0.4037,-0.8642,-0.9385,0.9954,0.9595,0.8815,0.9781,0.922,0.9871,0.9889,0.9997,0.8287,-0.8664,0.7018,0.9985,0.9826,0.9972,0.9995,0.9996,0.9997,0.9769,0.9977,0.8149,-0.7231,-0.9964,0.9993,0.9998,0.9982,0.9771,0.9989,0.9921,0.9628
FH_CEID_Walk,,,,,,-0.1701,0.0794,0.9746,-0.6119,0.6663,0.9098,-0.9175,0.3596,0.2114,-0.962,0.6267,0.5401,0.7004,-0.9755,-0.901,0.9653,-0.824,0.9735,-0.8046,,-0.9726,0.8435,0.9893,0.7727,-0.9437,-0.9278,-0.9976,0.9541,0.9043,0.9766,0.0561,0.967,0.9755,-0.952,0.7156,0.6564,-0.9616,0.9876,0.9758,0.5892,,-0.9837,-0.8959,0.9724,-0.9131,0.9922,-0.6189,-0.9769,0.8714,-0.9614,0.9769,0.9451,0.9312,-0.9701,-0.989,0.7836,-0.8917,-0.9867,-0.9744,0.9048,-0.9978,0.9527,,,,,
FH_CMU_TimeSeries,,,0.9994,0.8945,-0.2218,-0.1261,-0.1259,0.3237,-0.8513,0.1158,0.9598,0.9645,-0.8535,-0.9961,-0.9264,-0.2713,0.5851,-0.811,-0.239,0.428,0.9996,0.9942,0.9983,0.9966,0.9974,0.5489,0.996,0.9555,,-0.9466,-0.1621,0.974,0.9997,0.9985,0.9961,0.9956,0.9953,0.9995,0.9641,0.6619,0.8072,0.9874,0.9997,0.9892,0.8962,,0.9036,0.9924,0.9889,0.8998,0.999,0.8006,-0.8921,-0.5064,-0.984,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0871,-0.8676,0.9471,0.9991,1.0,0.9984,0.9972,0.9994,0.9952,0.9239
FH_COVIDhub_ensemble,-0.9921,0.8208,0.9974,0.8444,0.4456,-0.1214,-0.1729,0.9013,-0.7943,0.3903,0.9522,0.9547,-0.5609,-0.9841,-0.9705,0.9913,0.4587,0.8926,-0.8204,-0.8788,0.9987,0.9981,0.9901,0.9956,0.9752,0.1945,0.9823,0.9774,,-0.7949,0.9979,0.9988,0.9988,0.9999,0.9987,0.9958,0.9909,0.999,0.9125,0.6843,0.8325,-0.7315,,0.9968,0.9383,,,,0.9917,0.9528,0.9966,0.7873,-0.8575,0.9617,0.9981,0.9939,0.9847,0.9997,0.9993,0.9992,0.9914,1.0,0.0871,-0.8676,0.9471,0.9991,1.0,0.9984,0.9972,0.9994,0.9952,0.9234
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997,0.9996,0.4948,0.9999,0.9983,,,,,,,,,0.9941,0.9258,,,,,0.997,0.9961,0.793,,0.9749,0.9984,0.9947,0.9929,,0.9992,0.9995,0.9896,0.9997,0.7772,-0.8462,0.9974,0.9985,0.9998,0.9976,0.9953,1.0,0.9953,0.9234
FH_CU_nochange,,,,,,,,,,,,,,0.9988,0.9882,0.9937,0.5264,0.8139,0.9706,0.5864,0.9951,0.9973,0.9964,0.9961,-0.932,-0.9981,-0.9943,-0.9455,,0.9741,0.9973,0.9106,0.9999,0.9995,0.9996,0.9955,0.9952,0.9965,0.6938,0.6753,0.8345,-0.9961,0.9936,0.9912,0.927,,,0.9536,0.9943,0.9925,0.9995,0.8718,-0.5225,0.9995,0.9957,0.9995,0.9969,0.9997,0.999,0.9987,0.9858,0.9718,-0.5563,0.9142,0.9983,0.9991,,0.9981,0.9995,0.9974,0.995,0.9382
FH_CU_scenario_high,,,,,,,,,,,,,,0.9994,0.9892,0.9914,0.4176,0.8277,0.991,-0.1789,0.9901,0.997,0.9488,0.9965,-0.9369,-0.9981,-0.9939,-0.9455,,0.966,0.9971,0.8796,0.9999,0.9995,0.9991,0.9957,0.9953,0.9969,0.7885,0.6593,0.8523,-0.9978,0.9827,0.9924,0.946,,,0.9519,0.9943,0.9925,0.9995,0.8761,-0.3292,0.9999,0.996,0.999,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9986,0.9944,0.9928,0.9669,0.6748,0.9718,-0.2905,0.992,0.9981,0.9938,0.9894,-0.8943,-0.9982,-0.9943,-0.9455,,0.978,0.9966,0.9266,0.9998,0.9997,0.9992,0.9961,0.9943,0.9966,0.4764,0.6907,0.836,-0.9947,0.9971,0.9889,0.929,,,0.9551,0.9943,0.9925,0.9985,0.8735,-0.6564,0.9975,0.9957,0.9996,0.9956,0.9998,0.9986,0.997,0.9853,0.974,-0.5563,0.9013,0.998,0.9991,,0.998,0.9994,0.9975,0.9943,0.9405
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9995,0.9938,0.9946,0.5205,0.806,0.9823,0.6055,0.9883,0.9967,0.9773,0.9922,-0.7975,-0.9981,-0.994,-0.9455,,0.9576,0.9969,0.8331,0.9999,0.9996,0.9982,0.9962,0.9947,0.9924,0.1093,0.6851,0.8624,-0.9943,0.9897,0.9918,0.927,,,0.9536,0.9941,0.9913,0.9995,0.8718,-0.6791,0.9898,0.9967,0.9997,0.9946,0.9999,,0.9985,0.9882,0.9851,-0.5545,0.7246,0.9977,0.9993,,0.9974,0.9993,0.9982,0.9948,0.9394
FH_CU_select,0.9913,0.9099,-0.7477,0.7427,-0.4797,0.0027,-0.2247,0.9356,0.9398,0.5431,0.9535,0.89,-0.1796,0.9995,0.9938,0.9946,0.5205,0.806,0.9926,-0.2905,0.992,0.9981,0.9938,0.9894,-0.8943,-0.9981,-0.994,-0.9455,,0.9576,0.9966,0.8331,0.9999,0.9996,0.9982,0.9962,0.9947,0.9966,0.4764,0.6907,0.8624,-0.9943,0.9897,0.9918,0.927,,,0.9536,0.9941,0.9913,0.9995,0.8718,-0.6791,0.9975,0.9957,0.9996,0.9956,0.9998,0.9986,0.997,0.9853,0.974,-0.5563,0.9013,0.998,0.9991,,0.998,0.9994,0.9982,0.9948,0.9394
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,-0.2497,-0.6692,0.5936,0.9992,0.9975,0.9902,0.739,0.6629,-0.6108,0.9954,0.9658,,,0.876,0.9052,,0.992,0.9989,0.996,0.989,0.9958,-0.8794,,-0.4598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
