,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9966,0.9919,0.9991,0.9963,,0.9984,0.9883,0.7117,0.9743,0.8424,0.8961,0.9891,0.9768,-0.1701,-0.9956,-0.9949,0.3346,-0.9725,-0.974,-0.9868,-0.7196,,-0.8761,-0.9177,-0.9094,-0.971,-0.7265,-0.2887,-0.9923,-0.9875,0.7249,1.0,0.9539,0.9511,1.0,1.0,-0.9383,,1.0,-0.9264,-0.9468,0.9602,,-0.9015,-0.9908,-0.8143,-0.9151,-0.9548
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.3367,0.9622,0.9802,-0.9968,-0.9309,0.9067,-0.5155,0.952,0.9655,0.9997,-0.9681,0.998,0.9825,-0.6357,-0.48,0.9998,0.9995,0.9952,0.966,0.9294,0.9146,0.7937,0.971,0.9847,-0.1614,-0.9259,0.9708,0.9128,-0.8991,0.9993,0.9557,0.8758,0.4373,0.9698,0.9189,0.9959,0.8548,0.8312,-0.896,0.9413,-0.9906,0.7837,-0.5094,0.9946,0.9985,0.9688,0.9801,0.9862,0.9992,0.9993,0.999,0.9997,0.9772,0.8698,-0.8825,-0.9968,-0.8249,0.9508,0.992
FH_CEID_Walk,,,,,,0.9125,0.9741,-0.9732,-0.9285,0.921,-0.9794,0.9706,0.9446,0.9616,0.8837,0.9996,-0.9661,0.9693,0.9387,0.2533,-0.649,0.8832,-0.977,0.692,,0.9693,-0.5145,0.8259,0.8006,0.6406,0.9943,0.989,0.7759,-0.5659,-0.9914,0.9914,-0.8468,0.035,0.9595,-0.9803,0.9512,-0.6776,0.9945,-0.969,0.8571,,0.9814,-0.9177,0.9903,1.0,0.7795,0.944,0.9102,-0.9714,-0.8997,-0.8928,0.7564,0.9952,0.9698,0.8731,-0.997,-0.955,0.9429,0.9284,0.993,-0.8046,0.9806,,,,,
FH_CMU_TimeSeries,,,-0.8666,0.9644,0.9918,0.9634,0.9498,0.9895,-0.9122,0.9114,0.9981,0.9289,0.4216,0.9164,0.9511,0.9977,0.9485,0.9584,0.8999,-0.1314,-0.8963,0.0964,-0.9994,-0.9991,-0.8951,-0.5179,-0.0038,0.9965,,0.9953,0.9289,-0.9961,0.8532,0.9488,0.4594,0.1131,-0.8816,0.8284,0.979,-0.2447,0.8589,-0.9339,-0.7617,0.9451,0.7877,,0.9408,0.9865,0.9968,0.9838,0.6891,0.5131,0.9473,0.4506,-0.6273,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9684,0.9474,0.9964,0.9557,0.9823,0.9581,-0.2369,0.973,0.6843,-0.914,-0.8641
FH_COVIDhub_ensemble,-0.9665,0.6061,-0.4558,0.9876,1.0,0.9935,0.9011,0.9521,0.8219,0.921,-0.9558,0.9803,0.9963,0.9619,0.9666,0.9904,0.9811,0.9698,0.9091,0.0123,-0.7569,0.9628,0.9887,0.97,0.9982,0.9842,0.9948,0.9941,,0.9989,0.9996,0.8563,0.9293,0.9257,0.9311,0.9933,-0.918,-0.0324,0.9859,-0.7448,0.9628,-0.8178,,0.8337,0.8682,,,,0.9968,0.9588,0.6891,0.7159,0.9102,-0.9658,0.9551,-0.7159,0.9994,0.9874,0.9713,0.9751,0.9884,0.9684,0.9474,0.9964,0.9557,0.9823,0.9581,-0.2369,0.973,0.6843,-0.914,-0.9694
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995,0.8797,-0.7218,0.8979,0.8685,,,,,,,,,0.9658,0.7877,,,,,0.9588,0.7265,0.4353,,-0.9658,0.7874,-0.6977,0.9784,,0.9943,0.9803,0.9968,0.9993,0.9976,0.9897,0.9343,0.9835,0.9723,-0.6732,0.9149,0.7637,-0.9442,-0.9694
FH_CU_nochange,,,,,,,,,,,,,,-0.4629,-0.9863,-0.9344,-0.994,-0.9634,-0.9678,-0.0663,0.9139,0.9715,0.9962,0.998,0.9938,0.9824,0.9377,0.9474,,0.9952,0.9982,0.9629,0.9121,0.9039,-0.3389,0.971,0.918,-0.0324,-0.926,-0.9803,1.0,0.8178,0.9879,0.9342,0.9061,,,0.8108,0.9903,0.8548,0.8312,0.1729,0.9102,1.0,-0.4684,-0.6311,0.9116,0.9933,0.9924,0.9958,0.9888,0.9867,0.9429,0.6749,0.9282,0.9764,,0.2176,0.9875,0.6948,-0.9338,-0.8641
FH_CU_scenario_high,,,,,,,,,,,,,,0.0955,-0.82,-0.8831,-0.9731,-0.9724,-0.9396,-0.0093,0.9199,0.967,0.9991,0.9983,0.9942,0.9824,0.9377,0.9474,,0.9956,0.9977,0.9629,0.9121,0.9266,-0.5485,0.971,0.918,-0.0324,-0.926,-0.9803,1.0,0.8178,0.9879,0.9342,0.9061,,,0.8108,0.9903,0.8548,0.8312,0.1729,0.9102,1.0,-0.4684,0.3423,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9637,-0.9924,-0.9696,-0.9978,-0.97,-0.391,-0.017,0.8952,0.9654,0.9937,0.9988,0.9939,0.9824,0.9377,0.9474,,0.9956,0.9977,0.9629,0.9121,0.9039,0.7413,0.971,0.918,-0.0324,-0.926,-0.9803,1.0,0.8178,0.9879,0.9342,0.9061,,,0.8108,0.9903,0.8548,0.8312,0.1729,0.9102,1.0,-0.4684,-0.8776,0.9019,0.9933,0.9924,0.9899,0.9888,0.9851,0.9429,0.9146,0.9282,0.9703,,0.0575,0.9875,0.6948,-0.9294,-0.8641
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.0359,-0.9352,-0.9057,-0.9786,-0.3334,-0.9415,0.2071,0.9119,0.9698,0.9985,0.9979,0.994,0.9824,0.9377,0.9474,,0.9952,0.9977,0.9629,0.9121,0.9039,-0.3389,0.971,0.918,-0.0324,-0.926,-0.9803,1.0,0.8178,0.9879,0.9342,0.9061,,,0.8108,0.9903,0.8548,0.8312,0.1729,0.9102,1.0,-0.4684,-0.8776,0.9019,0.9933,,0.9958,0.9888,0.9851,0.9429,0.9902,0.9282,0.9703,,-0.0996,0.9912,0.6795,-0.9177,-0.8641
FH_CU_select,0.9851,0.9014,-0.9071,0.999,1.0,-0.9935,0.9999,0.9838,0.9991,0.946,0.9821,0.9528,-0.4968,-0.0359,-0.9352,-0.9057,-0.9786,-0.3334,-0.8805,-0.017,0.8952,0.9654,0.9937,0.9988,0.9939,0.9824,0.9377,0.9474,,0.9952,0.9977,0.9629,0.9121,0.9039,-0.3389,0.971,0.918,-0.0324,-0.926,-0.9803,1.0,0.8178,0.9879,0.9342,0.9061,,,0.8108,0.9903,0.8548,0.8312,0.1729,0.9102,1.0,-0.4684,-0.8776,0.9019,0.9933,0.9924,0.9899,0.9888,0.9851,0.9429,0.9146,0.9282,0.9703,,0.0575,0.9875,0.6795,-0.9177,-0.8641
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,0.9685,0.8894,0.3656,-0.8023,0.9097,0.9954,0.9221,0.9721,0.93,0.9594,0.9512,,,0.9816,-0.1752,,0.7494,0.159,0.8742,-0.9633,0.0886,0.9974,,0.9194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,0.9997,0.9719,0.9422,0.8567,0.1405,-0.7358,0.9691,0.9959,0.9985,0.9989,0.996,0.9947,,0.9894,0.9975,,0.7932,0.9054,0.9233,0.7767,0.9802,,,0.9784,0.9793,1.0,0.8178,0.9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,1.0,0.981,0.9472,0.9997,0.9887,,,0.973,0.9996,0.9971,0.9993,0.9944,0.9768,0.9634,0.9695,0.9845,0.9999,0.9788,0.8997,,-0.7545,-0.7788,0.4312,0.9894,0.9986,0.9889,0.8676,0.9999,,0.9946,0.9992,0.6929,0.9786,0.9097,0.8389,0.9894,0.9986,-0.0324,0.9689,-0.994,0.9053,0.8178,0.9071,0.96,0.7121,0.6495,0.9495,0.9543,0.9903,0.9356,0.7592,0.4825,0.9636,,,,0.9997,0.9973,,0.9858,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,,,,,,,,,,,,,-0.9844,-0.9231,-0.8935,-0.9768,-0.9622,-0.8824,0.9235,-0.6429,0.9689,0.973,0.9993,0.9989,0.9982,0.9936,0.9912,0.9911,,0.9994,0.9974,0.7688,0.9082,0.6952,0.9321,0.9857,0.9993,-0.0837,-0.986,-0.9661,0.8922,0.969,0.9979,0.9744,0.7636,,0.9373,0.9895,0.9964,0.9548,0.8669,0.4214,0.909,-0.5858,-0.6053,-0.853,-0.0491,0.9511,-0.0897,0.9332,0.9982,0.995,0.9634,0.9464,0.9587,-0.9986,0.8622,0.352,0.9981,0.8809,-0.9237,-0.9916
