,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.953,0.9621,0.7941,0.8454,,0.9432,0.9547,0.9391,-0.9776,0.9814,0.9865,0.9987,0.9858,-0.7922,-0.9982,-0.991,0.3794,0.9527,0.9703,0.9633,0.9652,,0.9636,0.9659,0.9678,0.9864,0.9953,0.3809,-0.9689,-0.9936,-0.9969,-0.9609,-0.9519,-0.9611,-0.9456,-0.9458,-0.947,,-0.9889,-0.9878,0.8384,0.9109,,0.9618,0.9916,0.9759,0.9315,0.926
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9973,-0.995,-0.9408,0.9989,0.9989,0.998,0.9495,0.702,0.8972,-0.9282,0.924,0.9527,0.9445,0.9357,0.9369,0.955,0.9685,0.9855,0.9958,-0.994,0.9751,0.6208,-0.9971,-0.9876,0.5847,0.9708,0.9769,-0.3016,-0.993,-0.6903,0.9856,0.9938,0.989,0.9873,0.9829,0.9606,0.9761,0.937,-0.2571,0.967,0.9935,0.991,0.9913,0.9974,0.9993,0.9996,0.9903,-0.6132,0.9116,0.2624,0.2996,-0.9108,0.1022,-0.1532,0.3285,0.3054,0.469,0.9855,0.9928
FH_CEID_Walk,,,,,,-0.6032,-0.0515,0.9336,-0.9425,0.9903,-0.7484,0.9666,0.1249,0.8777,0.8472,-0.9112,-0.9832,-0.8677,-0.8767,-0.965,-0.9712,-0.9933,0.4923,0.8711,,0.958,0.9474,0.948,0.9582,0.9421,0.9632,0.9637,-0.9558,0.9542,-0.957,0.9794,0.9936,-0.6461,-0.9704,-0.9187,-0.9998,0.9629,0.9026,0.9694,0.6763,,0.9821,-0.8676,-0.8519,0.9677,0.8665,-0.3442,-0.9856,-0.9853,0.9792,-0.9173,-0.8954,0.3723,-0.933,-0.9512,-0.9486,-0.968,-0.9874,-0.9925,0.8291,0.9032,0.9257,,,,,
FH_CMU_TimeSeries,,,0.9394,-0.8357,0.9009,0.0122,0.9218,0.9998,0.9981,0.9804,-0.9661,-0.9329,-0.8406,-0.9578,-0.0859,-0.2384,0.3782,0.7749,0.9956,0.8731,0.9643,0.7919,-0.9777,-0.7101,0.2217,0.881,0.9,0.953,,0.7673,0.9292,0.9577,0.8342,0.9981,-0.744,0.9488,0.995,-0.5218,-0.9802,-0.9007,0.1212,0.8929,0.9572,0.925,0.941,,0.9848,0.9763,0.8692,0.9748,0.9896,0.0352,-0.9389,-0.9578,-0.9372,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.453,-0.9969,-0.9082,0.832,0.924,0.9642,0.9687,0.9918,0.9847,0.9511,0.8892
FH_COVIDhub_ensemble,-0.9936,0.9008,0.9966,0.7914,0.8956,0.701,0.9761,0.9817,-0.9265,0.9784,-0.9302,0.795,0.892,0.9496,0.9829,0.162,-0.3107,-0.532,0.6581,0.6922,0.7185,0.0822,0.2993,0.8269,0.9399,0.9573,0.9471,0.9454,,0.9775,0.9883,0.9922,0.9559,0.9725,0.9887,0.9875,0.9923,-0.6266,-0.9878,-0.946,0.2787,0.8967,,0.9655,0.9622,,,,0.9617,0.9858,0.9962,0.358,-0.8834,-0.8725,0.9993,0.9686,0.2658,0.9913,-0.2272,-0.7201,-0.4502,-0.453,-0.9969,-0.9082,0.832,0.924,0.9642,0.9687,0.9918,0.9847,0.9511,-0.9592
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9893,0.9962,0.9672,0.9802,0.997,,,,,,,,,0.9614,0.958,,,,,0.9835,0.9923,0.4144,,-0.8705,0.9962,0.9766,0.9191,,0.9882,0.5977,0.8656,0.9345,0.8344,0.4889,0.8995,0.95,0.9441,0.8842,0.9719,0.9754,0.9795,-0.9592
FH_CU_nochange,,,,,,,,,,,,,,0.9998,0.9995,0.999,0.9984,0.9964,1.0,0.9987,0.9999,0.4796,0.6046,0.9462,0.9801,0.9821,0.9557,0.9611,,0.98,0.9834,0.9896,0.9991,0.981,0.9789,0.9926,0.9965,-0.6475,-0.9517,-0.8925,0.2046,0.9229,0.9679,0.9596,0.9638,,,0.9616,0.9621,0.9901,0.9933,0.4586,-0.867,-0.9052,-0.3866,0.9059,0.995,0.9971,0.8425,-0.0313,-0.8112,0.9155,-0.9724,-0.9951,0.8199,0.908,,0.9548,0.9883,0.965,0.8851,0.7906
FH_CU_scenario_high,,,,,,,,,,,,,,0.9995,0.9997,0.9986,0.9981,0.9974,0.9999,0.9993,0.9996,0.6526,0.6261,0.9415,0.9792,0.9822,0.9556,0.9611,,0.9789,0.9824,0.9891,0.9992,0.9814,0.9787,0.9892,0.9966,-0.6475,-0.9409,-0.9011,0.1869,0.9229,0.9677,0.9543,0.9638,,,0.9616,0.9621,0.9901,0.9933,0.4586,-0.867,-0.9052,-0.2758,0.9302,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9986,0.9938,0.9911,0.9845,0.9891,0.9994,0.9994,0.9988,0.6913,0.5847,-0.9589,0.9766,0.9821,0.9555,0.9611,,0.9791,0.9828,0.9974,0.9988,0.9797,0.9789,0.9886,0.9967,-0.6469,-0.9462,-0.8943,0.2046,0.9274,0.9672,0.961,0.9638,,,0.9616,0.9621,0.9891,0.9933,0.3959,-0.867,-0.9312,-0.423,0.8614,0.9942,0.9976,0.8035,-0.2758,-0.8112,0.9136,-0.9705,-0.9954,0.8132,0.9082,,0.9548,0.9884,0.965,0.8844,0.78
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9995,0.9976,0.9963,0.9926,0.9963,0.9985,0.9989,0.9996,0.8099,0.6091,-0.9797,0.9776,0.9822,0.9557,0.9611,,0.9782,0.9817,0.9881,0.999,0.9807,0.9768,0.9886,0.9967,-0.6469,-0.9321,-0.8619,0.2046,0.9229,0.9661,0.9546,0.9638,,,0.9616,0.9621,0.9901,0.9933,0.3833,-0.867,-0.9052,-0.423,0.8584,0.9966,0.9982,,-0.1194,-0.8167,0.924,-0.9711,-0.9957,0.8124,0.9067,,0.954,0.9884,0.965,0.8851,0.7995
FH_CU_select,0.9975,0.347,-0.8839,0.9821,-0.9466,-0.8626,-0.9996,0.9712,-0.986,-0.9111,-0.8981,-0.736,-0.9565,0.9995,0.9976,0.9963,0.9926,0.9963,1.0,0.9994,0.9988,0.6913,0.5847,-0.9589,0.9766,0.9822,0.9557,0.9611,,0.9782,0.9828,0.9881,0.999,0.9807,0.9768,0.9886,0.9967,-0.6469,-0.9462,-0.8943,0.2046,0.9229,0.9661,0.9546,0.9638,,,0.9616,0.9621,0.9901,0.9933,0.3833,-0.867,-0.9312,-0.423,0.8614,0.9942,0.9976,0.8035,-0.2758,-0.8112,0.9136,-0.9705,-0.9954,0.8132,0.9082,,0.9548,0.9884,0.965,0.8851,0.7995
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,-0.6238,0.9137,0.9003,0.8846,-0.2469,-0.0479,0.9477,0.956,0.9584,0.9452,0.9577,,,0.9667,0.9761,,0.893,-0.9976,-0.3031,-0.936,0.7358,0.9836,,-0.1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,0.9884,0.9732,0.9581,0.9816,0.9881,0.9665,0.7841,0.521,0.8597,0.9487,0.9738,0.9682,,0.9736,0.9796,,0.9982,-0.0316,0.9772,0.9929,0.9988,,,-0.9685,-0.953,0.2366,0.9211,0.9437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,-0.985,0.9883,0.9984,0.9962,0.6134,,,0.9793,0.9638,0.9503,0.426,0.9753,0.2201,0.2648,0.9569,0.9788,0.9079,-0.5528,0.3526,,0.9914,0.9344,-0.956,0.7416,0.8666,0.9399,0.9651,0.9768,,0.9569,0.9865,0.9984,0.2788,0.9758,0.9885,0.99,0.9965,-0.6619,-0.9802,-0.9689,0.2949,0.9376,0.9616,0.9609,0.9569,0.9437,0.9618,0.9583,0.9611,0.9868,0.9941,0.4145,-0.9275,,,,0.9824,0.9964,,0.9906,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,,,,,,,,,,,,,0.8757,-0.3682,0.8995,-0.9413,-0.8513,-0.9056,-0.9388,-0.9433,0.7704,0.4355,-0.9155,0.8082,0.9479,0.9597,0.9614,0.9716,,0.9821,0.9909,0.9925,0.9728,0.9883,0.991,0.9931,0.9966,-0.6982,-0.9902,-0.9785,0.3276,0.9443,0.97,0.9648,0.9661,,-0.9997,0.9701,0.9735,0.9901,0.9962,0.3871,-0.9245,-0.9537,-0.9473,-0.9552,-0.9455,0.9381,0.7535,-0.9474,-0.9528,-0.975,-0.9845,-0.9928,0.862,0.9319,0.9513,0.9741,0.9941,0.9817,0.9281,0.9418
FH_DDS_NBDS,,,,0.9355,0.9907,-0.2423,-0.9856,-0.9869,0.997,0.9548,0.9868,0.6072,-0.8839,-0.999,-0.8849,-0.9399,-0.9522,-0.9521,-0.9603,-0.9613,-0.9922,-0.9966,0.5301,-0.9275,0.9661,0.3869,0.9556,-0.6738,,-0.9865,0.991,-0.9663,,0.9038,-0.8922,0.9846,0.9947,-0.6366,-0.9773,-0.9571,0.1975,0.9116,0.9376,0.954,0.9319,,0.9561,0.6861,0.957,,0.9884,0.4166,-0.876,-0.8146,-0.9124,-0.9242,-0.9253,-0.9292,-0.8683,-0.8811,-0.6386,-0.885,,-0.9957,0.8108,0.9035,0.9083,-0.3331,0.8899,0.9622,0.8958,0.8704
