,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.582,0.9537,0.9917,0.8807,,-0.9965,-0.9988,-0.9907,0.9569,0.9969,0.9936,-0.8422,-0.1315,-0.9811,0.2903,0.9338,0.9909,1.0,-0.9908,0.386,-0.9647,,0.9945,0.9894,0.9999,0.9961,-0.9734,-0.8994,-0.9212,0.8985,-0.9845,-0.8862,-0.939,-0.9558,1.0,0.9994,0.9968,,0.7697,0.9525,0.9909,0.9883,,0.4088,-0.975,0.9323,0.9973,0.9947
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9924,-0.9989,0.992,0.9994,0.9812,0.9911,0.9993,0.994,0.9954,0.9903,0.98,-0.665,0.9996,0.9972,0.9553,-0.9503,0.9861,0.9913,0.9801,0.9833,0.9972,0.9919,-0.858,-0.9921,-0.7926,-0.1583,0.58,-0.9944,1.0,0.8276,0.852,-0.9563,0.4664,0.9901,0.8751,0.9997,-0.9907,-0.8435,0.9473,0.9758,0.9966,0.9961,0.9821,0.9996,0.9946,0.9984,-0.853,-0.9718,-0.9659,-0.9514,-0.8059,-0.9581,-0.9092,-0.798,0.9602,0.9003,0.9196,0.916,0.9524
FH_CEID_Walk,,,,,,-0.912,-0.7123,-0.9981,-0.9541,0.9855,-0.9749,-0.9279,0.937,-0.9565,0.9974,0.9798,0.3771,0.9057,-0.9484,-0.7861,0.9808,-0.9981,0.8407,-0.8149,,0.9847,0.9691,0.9987,0.9733,-0.9338,0.9436,0.9382,0.2857,0.983,-0.8048,-0.7228,0.1866,-0.9459,0.1114,-0.9743,-0.9704,1.0,-0.7889,0.9956,-0.9851,,0.8785,-0.9209,0.9981,0.0459,-0.7912,0.9825,-0.7554,0.8386,-0.9115,0.9474,0.6085,0.9663,0.9686,0.958,0.962,0.9981,-0.7527,0.805,0.9444,-0.9414,0.789,,,,,
FH_CMU_TimeSeries,,,0.9931,0.9736,0.0315,0.9912,-0.9432,-0.9983,-0.1006,0.9906,-0.9367,-0.9537,0.8465,0.9283,0.9839,0.9992,-0.5216,0.9069,0.9953,0.9722,0.9876,0.93,0.9996,0.9747,0.9557,-0.9675,0.9615,-0.854,,-0.9967,-0.6369,0.9908,0.989,0.9899,0.9832,-0.9524,-0.9651,-0.9834,0.1628,0.9814,0.842,1.0,-0.9967,0.1291,-0.964,,0.9919,0.9643,0.9998,0.9042,-0.9057,-0.793,-0.8992,0.8563,-0.9173,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9851,-0.2571,-0.8989,-0.9362,-0.9804,-0.5437,0.9925,0.9949,0.9383,0.9956,0.9878
FH_COVIDhub_ensemble,-0.9923,0.496,0.9997,0.9948,0.9817,0.9433,0.9207,-0.9889,-0.9581,0.9814,-0.9946,0.9995,0.9327,-0.8694,0.9998,0.9388,0.9992,0.9528,0.9924,0.999,0.9995,0.9968,0.9783,0.9904,0.9955,0.974,0.9926,0.9832,,-0.7979,0.9877,0.9867,0.9718,0.9973,0.9998,-0.8266,-0.9578,-0.9672,0.1875,0.9843,0.9926,1.0,,-0.2972,-0.9616,,,,0.9999,0.9718,-0.9598,-0.9381,-0.9105,0.9766,0.9956,0.9752,0.9981,0.9988,0.9923,0.9877,0.9965,0.9851,-0.2571,-0.8989,-0.9362,-0.9804,-0.5437,0.9925,0.9949,0.9383,0.9956,0.9787
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9904,0.9875,0.6578,0.9975,0.9896,,,,,,,,,-0.4018,-0.9581,,,,,0.9498,-0.9026,-0.9116,,0.9806,0.9986,0.9915,0.986,,0.9968,0.998,0.9984,0.993,-0.3333,-0.9966,-0.9902,-0.9776,-0.5552,0.9945,0.9908,0.9366,0.9962,0.9787
FH_CU_nochange,,,,,,,,,,,,,,-0.9442,0.9713,0.9698,-0.9787,-0.914,-0.8318,0.999,0.9995,0.9988,0.5164,-0.9978,0.6038,-0.9994,-0.9731,-0.9826,,0.9719,0.97,0.9959,0.9663,0.9971,0.989,-0.8252,-0.9911,-0.972,0.1689,0.8703,0.9347,0.9998,0.7562,-0.46,-0.9648,,,0.9916,1.0,0.9618,-0.9077,-0.4086,-0.5339,0.9928,0.987,0.9965,0.9982,0.996,0.9973,0.9957,0.7868,-0.7553,-0.6915,-0.974,-0.9685,-0.9842,,0.9965,-0.7803,0.9707,0.9975,-0.8881
FH_CU_scenario_high,,,,,,,,,,,,,,-0.9037,0.9926,0.9884,-0.9535,-0.8664,-0.7206,0.9997,0.9988,0.9988,0.2266,-0.9981,0.8341,-0.9994,-0.9731,-0.9826,,0.972,0.9676,0.9957,0.9665,0.9969,0.9894,-0.826,-0.9911,-0.972,0.1689,0.9443,0.9347,0.9997,0.839,-0.42,-0.9629,,,0.9881,0.9999,0.9618,-0.9077,-0.0517,-0.2324,0.9982,0.9891,0.9974,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9988,-0.9833,-0.9615,-0.9901,-0.933,-0.8523,1.0,0.9983,0.9992,0.7127,0.6662,0.8877,-0.9994,-0.9731,-0.9826,,0.9746,0.9683,0.9824,0.9634,0.997,0.9899,-0.8262,-0.99,-0.9708,0.1689,0.9043,0.9472,0.9998,0.7307,-0.46,-0.9658,,,0.9948,1.0,0.9689,-0.9077,-0.4319,-0.5339,0.9897,0.9877,0.9952,0.9973,0.9947,0.9962,0.989,0.8072,-0.7675,-0.6847,-0.9745,-0.9661,-0.9842,,0.9962,-0.795,0.9701,0.9974,-0.8917
