,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.2333,-0.808,0.5494,0.9895,,-0.8757,0.9628,0.993,0.9832,0.9368,-0.2413,0.9953,0.9886,-0.9079,0.1819,0.343,0.5051,-0.8591,-0.9888,-0.9769,0.3535,,0.9799,-0.8217,0.9125,-0.9994,0.7887,0.8436,0.9816,0.8837,0.9332,-0.5367,0.9968,0.9999,0.9993,0.9709,0.9172,,0.7309,0.9965,0.2482,-0.9228,,0.9224,0.9448,-0.9758,-0.3586,-0.5541
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9974,0.9973,-0.9785,0.9911,0.996,0.9996,0.9987,0.992,0.9328,-0.8859,-0.941,0.1977,-0.8039,-0.4355,-0.9832,-0.9135,0.9966,-0.4572,0.9904,0.9948,0.9316,0.9898,0.9711,0.9994,0.979,-0.9892,0.8783,0.8628,-0.6748,0.9939,-0.9972,-0.1984,-0.9586,0.9532,0.9749,0.9882,0.9918,0.9145,-0.8982,-0.9965,-0.9361,0.9919,0.9984,0.9972,0.9999,0.9997,0.9834,0.9778,-0.4335,-0.2081,0.4567,-0.4427,0.972,0.7987,-0.9795,-0.9911,-0.9902,0.7589,0.9865
FH_CEID_Walk,,,,,,0.9308,-0.9687,0.9719,-0.812,0.9916,0.883,-0.9322,-0.9432,0.9066,-0.9734,-0.9334,0.9129,0.8814,-0.9813,-0.9761,0.9887,0.9689,-0.6289,0.4556,,-0.8179,0.452,-0.9176,-0.9212,0.9969,-0.997,0.7217,-0.9427,0.9093,-0.9073,-0.9906,0.9956,0.5563,0.027,-0.8926,0.509,-0.7787,-0.39,-0.9428,0.2627,,0.9572,-0.7624,0.9656,-0.9821,0.9237,-0.6404,0.9826,-0.914,0.9123,0.6957,0.8283,0.9332,0.9503,0.1202,0.8489,-0.8025,-0.3979,0.9075,-0.6372,-0.8312,-0.886,,,,,
FH_CMU_TimeSeries,,,0.9898,0.8981,0.7202,0.7493,-0.8402,-0.9694,0.6259,0.9484,-0.9839,-0.9679,-0.9942,0.932,0.5287,0.8846,0.8589,0.7684,0.9989,0.9817,0.9889,0.8956,-0.9121,-0.9247,0.2667,-0.8101,-0.8726,0.8931,,0.8226,-0.937,0.9822,0.8266,0.9394,-0.7971,0.6331,0.9964,-0.5844,-0.0021,-0.9279,0.2634,-0.7934,0.9709,0.9408,-0.036,,0.9945,0.9886,0.9601,0.738,0.9281,-0.6228,-0.1964,-0.9688,0.3625,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5296,-0.5579,-0.9294,-0.3723,0.9859,0.8011,-0.9138,-0.9875,-0.9814,0.2457,0.9486
FH_COVIDhub_ensemble,-0.9952,0.5066,0.9331,0.927,0.1749,0.8616,-0.5292,0.9953,0.7861,0.9688,-0.7252,-0.953,0.97,0.7857,0.9158,0.7821,0.9399,0.9873,0.9995,0.9969,0.9973,0.9382,-0.8499,-0.9441,0.169,-0.8348,0.8092,-0.798,,0.9973,0.9896,0.9905,0.9939,0.9339,-0.7573,0.9957,0.9954,0.5038,0.0437,-0.9636,0.6529,-0.6936,,-0.2875,-0.1495,,,,0.9897,0.7721,0.9177,-0.8897,-0.0531,-0.9583,0.9591,0.798,0.9963,0.9953,0.9986,0.9884,0.9745,-0.5296,-0.5579,-0.9294,-0.3723,0.9859,0.8011,-0.9138,-0.9875,-0.9814,0.2457,0.9507
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9804,0.9747,-0.9374,0.9269,-0.8265,,,,,,,,,0.9801,-0.062,,,,,0.854,0.9153,-0.885,,-0.9583,0.984,0.9999,0.9955,,0.9986,0.9843,0.9734,-0.6342,-0.1318,0.5019,-0.3507,0.9818,0.806,-0.8996,-0.9875,-0.9763,0.9437,0.9507
FH_CU_nochange,,,,,,,,,,,,,,0.9691,0.7886,0.9968,0.315,0.9975,0.9998,0.9995,0.9995,0.9169,-0.9062,0.9855,0.1573,-0.9061,0.7149,0.9588,,0.9979,0.6347,0.9939,0.9934,0.9409,-0.9716,0.991,0.9998,-0.8427,-0.0292,-0.9197,0.7351,0.363,0.9986,-0.9599,-0.1984,,,0.9853,0.9945,0.9805,0.9178,-0.9181,-0.9198,-0.8837,-0.797,0.9966,0.9972,0.9986,0.9985,0.9937,0.9823,0.8938,-0.698,-0.9972,-0.3439,0.9867,,-0.996,-0.9858,-0.9886,-0.2351,0.9937
FH_CU_scenario_high,,,,,,,,,,,,,,0.9816,0.922,0.9968,0.8355,0.9978,0.9996,0.9996,0.9993,0.9068,-0.9417,0.9857,0.1785,-0.9061,0.7105,0.9588,,0.9979,0.322,0.9939,0.9941,0.9409,-0.9813,0.988,0.9998,-0.8968,-0.0292,-0.928,0.7467,0.697,0.9995,0.9849,-0.1984,,,0.9853,0.9918,0.9845,0.922,-0.9181,-0.9198,-0.8837,0.5593,0.9977,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.7754,-0.9642,0.9898,-0.9212,0.9954,0.9997,0.9985,0.9978,0.9197,-0.9031,-0.9922,0.1766,-0.9058,0.7135,0.9594,,0.9979,0.8542,0.9901,0.9941,0.9371,-0.9373,0.9881,0.9983,-0.8427,-0.0292,-0.9197,0.7241,0.171,0.9988,-0.9858,-0.0023,,,0.9853,0.9945,0.9766,0.9092,-0.9092,-0.9198,-0.8837,-0.9045,0.998,0.9967,0.9977,0.9979,0.9965,0.9839,0.8874,-0.6987,-0.9973,-0.338,0.9849,,-0.9929,-0.984,-0.9902,-0.2729,0.9927
