,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.998,-0.9557,-0.9318,-0.9945,,-0.9797,0.9692,0.9994,0.9994,0.9988,0.9934,0.9961,0.8058,-0.9749,-0.9608,-0.9968,-0.9308,-0.8301,-0.9991,-0.9965,-0.9992,,-0.9502,0.9987,0.9997,0.981,1.0,0.9577,0.997,0.0432,-0.9476,-0.9854,-0.9957,-0.9971,0.9982,0.9984,0.9988,,0.9986,0.9998,0.9998,0.9842,,-0.9296,-0.9923,-0.1214,-0.977,-0.9771
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.988,0.9961,0.9437,0.9895,0.9897,0.9959,0.9971,1.0,0.9989,0.9999,0.9677,0.9743,0.33,0.3643,0.9729,0.9883,0.9984,0.9831,0.9993,0.9998,0.9963,0.9995,0.9934,0.8235,-0.6917,0.9987,0.9922,0.9079,-0.9296,-0.9809,0.9947,0.9993,0.9964,1.0,0.9975,0.9994,0.9985,0.9993,0.9999,0.999,0.3871,0.9661,-0.9894,0.9995,1.0,0.9979,0.9997,0.9883,0.9982,0.9986,0.9976,0.9996,0.9907,0.9118,-0.8714,-0.9925,0.7741,0.9659,0.172
FH_CEID_Walk,,,,,,0.9751,-0.9644,0.124,-0.9312,-0.8358,-0.9887,0.8098,-0.7155,-0.9149,0.9206,0.8594,0.9121,0.8521,0.9223,0.9074,0.9525,-0.9168,0.9274,-0.782,,-0.8351,-0.6642,-0.8595,-0.7827,0.9298,0.9679,0.884,0.8579,0.9219,0.9693,-0.5022,0.996,0.9331,-0.689,0.9938,-0.8021,-0.6986,-0.9429,0.9089,-0.9912,,-0.8531,0.9972,0.9774,0.9992,0.954,-0.3929,0.9588,0.6278,0.8394,-0.8289,-0.9228,0.8213,0.8704,0.9768,0.9182,0.9706,0.9012,0.9447,-0.9907,-0.9503,-0.9873,,,,,
FH_CMU_TimeSeries,,,0.8754,-0.9103,0.2807,-0.9143,-0.1732,-0.0686,-0.9692,-0.9987,-0.9988,-0.8986,-0.9998,-0.9437,0.6379,-0.9159,0.8682,-0.9658,0.9926,0.9996,0.9993,0.9803,0.9999,0.9843,0.9475,0.2313,0.9787,0.9942,,-0.9438,0.9967,0.9995,0.9994,0.9981,0.9557,0.9917,0.8012,-0.8729,-0.9412,0.1723,-0.8053,0.9912,0.9983,0.9839,0.9984,,0.9958,0.9977,0.9986,0.9936,0.9828,1.0,0.9978,0.4255,-0.9756,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977,0.986,0.9939,1.0,1.0,0.9937,-0.1386,0.9965,-0.1372,-0.9843,0.9867
FH_COVIDhub_ensemble,-0.9991,0.6035,0.8292,-0.9007,-0.2657,0.9969,-0.7546,0.1244,-0.895,0.9069,-0.9957,0.9131,-0.2351,-0.9763,0.9825,0.9912,0.9716,0.9871,0.9859,0.9944,0.999,0.9989,0.9993,0.9921,0.9809,-0.6834,0.94,0.7922,,0.9997,0.9993,0.9973,0.9995,0.9952,0.9988,0.9921,0.8585,0.9558,-0.8118,0.99,0.9234,-0.8059,,0.9856,0.9981,,,,0.9991,0.9993,0.9981,0.9994,0.9992,0.4279,-0.9678,0.7202,0.9994,0.9997,0.9948,0.9986,0.9966,0.9977,0.986,0.9939,1.0,1.0,0.9937,-0.1386,0.9965,-0.1372,-0.9843,0.9823
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988,0.9997,0.1298,0.9979,0.9977,,,,,,,,,0.9902,0.9983,,,,,0.9973,0.9973,0.9992,,0.4452,0.0163,0.9897,0.9686,,0.9945,0.9992,0.9927,0.9982,0.9954,0.9984,0.9966,1.0,0.9848,-0.7183,0.9945,-0.1574,-0.9875,0.9823
FH_CU_nochange,,,,,,,,,,,,,,0.9216,0.9998,0.9903,0.9938,0.9961,0.9946,0.9972,1.0,0.9957,0.9945,0.9997,-0.9956,-0.5917,0.3729,0.9974,,0.9952,0.9915,0.9999,0.995,0.9995,0.9912,0.9976,0.9642,0.9808,0.999,0.9963,0.9681,-0.7925,0.9939,0.9925,0.9983,,,0.9953,0.9985,0.9978,0.9985,0.9975,0.999,0.4539,-0.8829,0.9997,0.9994,0.9993,0.9974,0.9991,0.9928,0.9976,-0.5792,0.9253,0.9988,0.6654,,0.5829,0.9928,-0.1553,-0.9906,0.9901
FH_CU_scenario_high,,,,,,,,,,,,,,0.9666,0.9999,0.9904,0.9897,0.9953,0.9952,0.9987,0.9999,0.9998,0.6878,0.9998,-0.9967,-0.5919,-0.6785,0.9947,,0.994,0.9877,0.9999,0.9938,0.9996,0.9922,0.997,0.9474,0.981,0.9988,0.9981,0.9573,-0.8532,0.995,0.9919,0.9983,,,0.9949,0.9984,0.9978,0.9982,0.9971,0.9989,0.4539,-0.8829,0.9999,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.4792,0.9965,0.9529,0.6405,0.9778,0.9933,0.9932,0.998,0.997,0.9952,0.9844,-0.9985,-0.5897,0.9657,0.9982,,0.9963,0.9935,0.9999,0.9936,0.9994,0.9923,0.9977,0.9314,0.9809,0.9984,0.9968,0.9781,-0.7564,0.9947,0.9931,0.9985,,,0.9953,0.9985,0.9978,0.9985,0.9979,0.9988,0.4539,-0.8829,0.9992,0.9991,0.9997,0.9958,0.9984,0.9926,0.9981,-0.2063,0.9344,0.9981,0.7552,,0.4443,0.9927,-0.1538,-0.9881,0.9912
FH_CU_scenario_mid,,,,,,,,,,,,,,0.8379,0.9987,0.9807,0.9728,0.9888,0.9894,0.9986,0.9993,0.9972,0.9331,0.9865,-0.9976,-0.5898,-0.423,0.9926,,0.9929,0.9857,0.9998,0.9904,0.9994,0.9931,0.9945,-0.1583,0.9851,0.9991,0.9945,0.9678,-0.8504,0.9956,0.9915,0.9979,,,0.9949,0.9983,0.9978,0.9982,0.9971,0.999,0.4539,-0.8829,0.9989,0.9991,0.9997,,0.9992,0.9938,0.9987,0.925,0.9616,0.9994,0.8287,,0.3244,0.9932,-0.1448,-0.9878,0.9874
FH_CU_select,-0.9975,0.9811,0.7747,0.9693,0.5606,0.3675,-0.9926,0.2536,0.94,0.9936,0.9901,0.998,0.9846,0.8379,0.9987,0.9807,0.9728,0.9888,0.9966,0.9932,0.998,0.997,0.9952,0.9844,-0.9985,-0.5898,-0.423,0.9926,,0.9929,0.9935,0.9998,0.9904,0.9994,0.9931,0.9945,-0.1583,0.9809,0.9984,0.9968,0.9678,-0.8504,0.9956,0.9915,0.9979,,,0.9949,0.9983,0.9978,0.9982,0.9971,0.999,0.4539,-0.8829,0.9992,0.9991,0.9997,0.9958,0.9984,0.9926,0.9981,-0.2063,0.9344,0.9981,0.7552,,0.4443,0.9927,-0.1448,-0.9878,0.9874
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,0.998,0.9922,0.9947,0.9998,0.9907,0.9939,0.7267,0.3737,-0.7366,0.9505,0.973,,,0.9782,0.9929,,0.9947,0.9979,0.9944,0.8743,0.8691,-0.736,,0.9587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,0.9894,0.9985,0.9983,0.9998,0.9999,0.9924,0.9928,0.9998,0.993,0.9948,-0.686,0.9615,,0.9981,0.9991,,0.9998,0.9999,0.9916,0.9994,0.9892,,,0.9977,0.9797,0.8671,0.7474,0.9428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,0.9987,0.9797,0.7905,-0.9128,-0.5977,,,0.1139,-0.9568,-0.9073,0.9533,0.9913,0.5003,0.9495,0.9872,0.9869,0.9886,0.9867,0.9877,,0.9994,0.999,0.9847,0.9991,0.9985,0.747,-0.6558,0.9891,,0.9992,0.9948,0.9868,0.9971,0.9993,0.9954,0.9936,0.8157,-0.9574,-0.9272,-0.9453,0.9409,-0.8949,0.9885,0.994,0.9977,0.9888,0.9969,0.9932,0.9967,0.996,0.9977,0.9984,0.9997,,,,0.999,0.9997,,0.9974,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,,,,,,,,,,,,,-0.9833,-0.9884,-0.9978,-0.9892,0.9822,0.9392,0.9815,0.9923,0.9978,0.9927,0.9913,0.9965,0.9845,0.7709,-0.6208,0.9986,,0.9991,0.9999,0.9896,0.9869,0.9997,0.9906,0.9904,0.8407,-0.9854,-0.8339,0.9322,-0.9322,0.9102,0.9852,0.9731,0.9952,,0.9996,0.9898,0.999,0.9995,0.9997,0.9995,0.9997,0.3609,-0.9599,-0.9647,-0.9769,0.9932,0.8628,0.5525,-0.9771,-0.9569,-0.999,0.9949,0.9977,0.9998,0.944,-0.8196,-0.7018,-0.19,-0.9944,0.8125
FH_DDS_NBDS,,,,-0.8487,-0.3555,0.1758,-0.9828,0.4964,-0.7745,-0.9956,0.9799,0.9642,-0.9899,-0.9869,0.7962,0.9343,0.8302,-0.9923,0.9738,0.9202,0.9532,-0.9842,0.9675,0.9997,0.2579,0.6152,0.9724,-0.9827,,-0.9986,0.9971,-0.9907,,0.9909,0.9841,0.9936,0.8831,0.9654,-0.961,-0.9955,-0.9924,-0.9514,0.9493,-0.9768,0.9499,,0.9882,-0.9758,0.995,,0.9913,0.9987,0.9987,0.642,-0.8996,-0.9458,-0.7587,0.8802,0.9996,0.9987,0.9976,0.9994,,0.9995,0.9925,0.9918,-0.9845,-0.9393,-0.6197,-0.0063,-0.9452,-0.8022
