,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9235,0.77,-0.9904,-0.6332,,-0.9901,0.9784,0.9939,0.9843,0.9368,0.9963,0.9881,-0.7613,-0.9988,-0.9952,-0.9992,-0.9986,0.9027,-0.9677,-0.992,-0.9994,,-0.9983,0.9999,0.9984,0.9999,0.9865,-0.6433,-0.9314,-0.9532,-0.9766,-0.932,-0.954,-0.9791,0.9995,-0.521,-0.9734,,0.9955,0.9998,0.9993,1.0,,0.9981,0.9965,0.984,0.9976,0.9987
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9966,0.7188,-0.9337,0.9974,0.9971,0.998,0.9982,0.9053,0.7909,0.6203,0.8433,0.8904,-0.999,-0.9855,-0.9999,-0.8778,0.9951,0.9986,0.9625,0.9767,0.9973,0.5648,-0.4471,-0.8361,0.9992,0.9984,-0.971,0.9688,0.8944,-0.9711,-0.9949,-0.9998,0.9878,0.9969,0.9995,0.9977,0.9982,0.997,-0.5305,-0.9314,-0.9681,0.9585,0.9999,0.9983,0.9957,0.9717,-0.658,-0.9563,-0.9687,-0.9402,0.9501,0.9984,0.9991,0.9994,0.9959,0.9907,0.9657,0.9975,0.9978
FH_CEID_Walk,,,,,,0.8975,0.6056,-0.8577,-0.8614,0.7243,-0.9687,-0.983,0.9829,0.9821,-0.9377,-0.6882,0.8431,-0.9887,0.9843,0.9337,0.9791,-0.7359,0.718,0.2765,,0.975,-0.9417,0.9699,-0.9688,0.9177,0.9492,0.9012,0.9417,-0.965,-0.9842,0.9795,0.1295,0.966,0.983,-0.9998,0.9695,0.9951,-0.8272,0.9482,0.582,,0.96,0.6971,0.9753,0.9583,0.9823,-0.4558,-0.3913,-0.7808,0.92,-0.932,0.659,0.9581,0.9996,-0.5141,0.4239,0.8943,-0.9986,-0.0402,0.8676,0.9868,0.9975,,,,,
FH_CMU_TimeSeries,,,0.9792,-0.9778,-0.9934,-0.8833,-0.6081,-0.9335,-0.8194,0.9058,0.7685,0.9622,0.9843,-0.9774,0.7531,-0.8557,-0.9263,-0.9418,0.9847,0.9866,0.8651,0.8162,0.3594,-0.6959,-0.8477,0.9744,-0.9307,0.9989,,0.9373,0.4475,0.9769,0.9934,0.988,-0.1858,0.9994,-0.8436,-0.9507,-0.9933,0.1691,0.9266,0.9971,0.9647,0.9699,0.9988,,0.9929,0.999,0.9907,0.9997,0.9883,-0.5253,-0.9719,-0.9774,0.5421,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9904,0.9997,0.9983,0.9975,0.9999,0.9999,0.9948,0.9973,0.989,0.9898,-0.9758
FH_COVIDhub_ensemble,-0.9822,0.2051,0.9928,0.9969,0.968,0.8969,-0.9797,-0.9822,-0.8413,0.902,0.8051,0.9841,0.9893,-0.9003,-0.7229,-0.9279,-0.9965,-0.9874,0.99,0.9962,0.9148,-0.3795,0.646,-0.5443,-0.8359,0.9391,-0.9763,0.9824,,0.9941,0.9988,0.9625,0.9719,0.9964,0.9934,0.9985,-0.901,0.6731,0.9705,0.9968,0.9996,0.9722,,0.9782,0.9995,,,,0.9994,1.0,0.9919,-0.6259,-0.9502,-0.8685,0.824,-0.7954,0.9944,0.997,0.9895,-0.3956,-0.9147,0.9904,0.9997,0.9983,0.9975,0.9999,0.9999,0.9948,0.9973,0.989,0.9898,0.9792
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9927,0.9657,0.9451,0.9994,0.9919,,,,,,,,,0.994,0.9996,,,,,0.9995,0.9984,-0.589,,0.0546,0.9839,0.6948,0.9971,,0.9715,-0.5427,0.724,0.9974,0.9995,0.9989,0.9993,0.9999,0.9998,0.9981,0.9986,0.9663,0.9988,0.9792
FH_CU_nochange,,,,,,,,,,,,,,0.966,-0.4267,-0.8557,-0.9263,-0.9418,-0.9771,-0.9567,-0.9843,-0.6084,-0.6467,0.9228,0.7155,0.9292,0.9321,0.9422,,0.9666,0.9897,0.8393,0.9059,0.9521,0.9717,0.9996,-0.7964,-0.9043,-0.934,-0.9655,-0.975,-0.9952,0.815,0.8915,0.9411,,,0.97,0.9647,0.976,0.9823,-0.4558,-0.8733,-0.893,-0.9161,-0.932,-0.954,-0.9714,-0.995,0.3917,0.8913,0.9264,0.9407,0.9608,0.9662,0.98,,0.9629,0.9547,0.9191,0.9692,0.9729
FH_CU_scenario_high,,,,,,,,,,,,,,0.966,-0.4267,-0.8557,-0.9263,-0.9418,-0.9771,-0.9567,-0.9843,-0.6084,-0.6467,0.9228,0.7155,0.9292,0.9321,0.9422,,0.9666,0.9897,0.8393,0.9059,0.9521,0.9717,0.9996,-0.7964,-0.9043,-0.934,-0.9655,-0.975,-0.9952,0.815,0.8915,0.9411,,,0.97,0.9647,0.976,0.9823,-0.4558,-0.8733,-0.893,-0.9161,-0.932,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.966,-0.4267,-0.8557,-0.9263,-0.9418,-0.9771,-0.9567,-0.9843,-0.6084,-0.6467,0.9228,0.7155,0.9292,0.9321,0.9422,,0.9666,0.9897,0.8393,0.9059,0.9521,0.9717,0.9996,-0.7964,-0.9043,-0.934,-0.9655,-0.975,-0.9952,0.815,0.8915,0.9411,,,0.97,0.9647,0.976,0.9823,-0.4558,-0.8733,-0.893,-0.9161,-0.932,-0.954,-0.9714,-0.995,0.3917,0.8913,0.9264,0.9407,0.9608,0.9662,0.98,,0.9629,0.9547,0.9191,0.9692,0.9729
