,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.8884,-0.8499,-0.9983,-0.9962,,0.9897,0.9969,0.9989,0.9659,0.9826,0.964,0.9056,0.9988,0.9886,0.9974,0.8054,-0.8316,-0.9079,0.9071,0.9808,0.9954,,0.9398,0.9881,0.7812,0.9985,0.8727,-0.4389,-0.8956,1.0,-0.2222,-0.858,-0.9074,1.0,-0.9481,1.0,-0.9952,,-0.975,-0.9998,-0.7361,-0.9995,,0.8707,-0.9531,-0.9387,-0.9963,-0.9664
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9829,-0.9699,0.9991,0.9871,0.9802,-0.9665,0.9974,0.9995,0.9818,-0.6573,-0.9625,0.9881,0.9777,0.9518,0.9588,0.9321,0.9865,0.9978,0.9966,0.944,0.9795,-0.5878,0.9752,0.9964,0.9899,0.9966,1.0,-0.7447,0.9682,0.9926,0.9899,0.9988,0.9971,0.9746,0.9531,0.9705,0.9993,0.9077,-0.924,-0.8482,0.8665,0.4137,0.9871,0.9156,0.9629,0.9956,0.9768,-0.9264,0.0658,-0.9712,-0.9703,-0.4211,-0.9462,-0.9803,0.5462,0.9958,-0.2907,0.8676,0.998
FH_CEID_Walk,,,,,,0.0244,0.8306,0.6983,0.1348,-0.9745,0.9109,0.9139,-0.9501,0.9479,0.8174,0.9225,0.9963,0.9156,-0.9349,0.9619,-0.7458,0.6745,-0.7269,0.8281,,0.9012,0.8306,-0.9035,0.9026,0.9635,0.9635,0.9852,-0.9499,-0.7616,0.9428,-0.9125,0.9811,0.9478,0.9092,-0.9121,-0.3722,-0.8192,0.1177,0.9659,-0.9677,,0.9209,-0.9909,-0.9497,0.9968,0.9257,0.6323,-0.8956,0.8665,0.289,-0.8528,-0.9568,0.6317,-0.9712,0.9788,0.8848,-0.1189,0.9222,0.9174,0.9264,-0.8187,-0.9531,,,,,
FH_CMU_TimeSeries,,,0.7055,-0.9999,0.9915,-0.2113,-0.5847,0.4622,-0.2363,-0.9864,-0.7979,-0.9494,-0.9297,-0.9738,0.1226,-0.8528,-0.9897,0.9371,0.9998,0.9718,0.9686,0.8029,-0.864,-0.9992,0.8643,0.95,-0.6879,0.9915,,0.4895,0.6796,0.9973,0.838,0.9509,0.9578,-0.4327,0.9999,0.9921,0.9888,-0.941,-0.6936,0.8449,-0.919,0.9965,0.9376,,0.9493,0.2631,0.9957,0.9998,0.8505,-0.9135,-0.833,0.9757,-0.2062,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1237,-0.9304,0.9585,0.9221,-0.8785,0.5817,0.8671,0.857,-0.9069,-0.8391,0.923
FH_COVIDhub_ensemble,-0.9985,-0.7838,-0.7933,-0.9718,-0.9906,1.0,0.934,0.802,-0.2363,-0.9511,-0.9524,0.9417,-0.9297,0.9823,0.9875,-0.2983,0.9585,0.9821,0.9932,0.9962,0.9965,0.9368,-0.7571,-0.9934,0.9895,0.975,0.978,0.9159,,0.9816,0.98,0.9989,0.9617,0.9775,0.9505,-0.6043,0.9982,0.9983,0.9983,-0.8963,-0.7722,0.9735,,0.9901,0.9685,,,,0.9795,0.9985,0.8889,-0.9887,-0.833,0.8665,0.4137,-0.8936,-0.9074,0.9942,0.1725,0.9306,0.9394,-0.1237,-0.9304,0.9585,0.9221,-0.8785,0.5817,0.8671,0.857,-0.9069,-0.8391,0.9911
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9916,0.9988,-0.9947,0.9652,0.9623,,,,,,,,,0.9752,0.8735,,,,,0.9949,0.8505,-0.9887,,0.8665,0.6373,0.9968,0.9832,,0.9912,0.9908,0.9952,0.2526,-0.9681,-0.9933,0.961,0.4564,0.9939,0.8954,0.8106,-0.9069,-0.9333,0.9911
FH_CU_nochange,,,,,,,,,,,,,,0.9957,0.9989,0.9962,0.9933,1.0,0.9742,0.9949,0.9976,0.9853,0.8104,0.9586,0.9994,0.9861,0.9815,-0.7212,,-0.9949,0.9993,-0.4014,0.9457,0.9577,0.057,-0.8996,-0.8751,-0.9558,-0.5158,-0.9032,0.9613,-0.2599,-0.9624,-0.9349,0.9623,,,0.9788,0.9843,0.9941,0.8351,-0.821,-0.8956,0.8665,1.0,0.9748,0.9924,0.9947,0.9789,0.9982,0.9952,0.359,-0.8856,0.9592,-0.7244,-0.9579,,0.8912,0.8775,-0.8778,-0.9712,0.8971
FH_CU_scenario_high,,,,,,,,,,,,,,0.9931,0.9985,0.999,0.9898,0.9999,0.9913,0.9943,0.9986,0.9684,0.8218,0.9333,0.9984,0.9861,0.9815,-0.783,,-0.9973,0.9997,-0.8584,0.9457,0.9507,0.0957,-0.8996,-0.9059,-0.9558,-0.7206,-0.8217,0.9637,-0.2599,-0.9743,-0.9516,0.9623,,,0.9788,0.9843,0.9941,0.8351,-0.821,-0.8956,0.8665,1.0,0.9895,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9959,0.9927,0.9952,0.9785,0.9916,0.9941,0.9956,0.9987,0.9845,0.7701,-0.9959,0.9957,0.9861,0.9815,-0.0553,,-0.9694,0.9999,0.6827,0.9504,0.953,0.0099,-0.8873,-0.8751,-0.9558,-0.9938,-0.9364,0.9513,-0.3738,-0.9633,-0.9378,0.9728,,,0.9788,0.9843,0.9941,0.8351,-0.821,-0.8956,0.8665,1.0,0.9895,0.9924,0.9947,0.9789,0.9613,0.9952,0.359,-0.8856,0.9592,-0.6928,-0.9579,,0.9038,0.8775,-0.8778,-0.9712,0.8971
