,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9976,0.9978,0.9992,0.9998,,-0.9431,-0.994,-0.9988,-0.9933,0.9983,1.0,0.9999,0.9986,0.9848,0.986,-0.0682,-0.7094,0.9301,0.9993,-0.9836,0.1435,,0.9889,-0.7756,0.9792,0.8601,0.9187,-0.0373,-0.8729,-0.7981,-0.9821,-0.9777,-0.9827,-0.9689,0.9979,0.9971,0.9991,,0.9028,-0.9513,-0.9996,-0.9993,,0.9925,0.9997,0.9979,0.9998,0.9974
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9558,-0.2784,0.5717,-0.9586,0.7505,-0.9901,-0.8771,0.9917,-0.922,0.9902,0.9936,0.9997,0.9963,0.9964,0.9993,0.9695,0.8356,-0.8125,0.9784,1.0,0.9996,0.9996,0.9999,0.9976,0.9975,-0.9282,-0.0354,-0.8109,0.8513,0.9995,0.9829,0.9977,0.9827,0.9963,0.9861,0.9897,0.8982,0.9847,-0.9003,-0.8145,0.975,0.9968,0.9972,0.9999,0.9991,0.9999,0.9988,0.9855,0.9916,0.4193,0.7137,0.998,0.9998,0.9992,0.9948,0.9994,0.998,0.9996,0.997
FH_CEID_Walk,,,,,,0.9591,0.3425,0.1133,0.9526,0.967,0.9565,0.9904,-0.0458,-0.8581,-0.2004,0.9468,-0.8846,-0.6402,-0.827,-0.8719,0.9933,-0.9432,0.9693,-0.8303,,0.9911,0.9759,0.8098,-0.909,0.7381,-0.9372,-0.9164,0.9443,0.9087,0.9953,-0.9942,0.9711,0.9963,-0.7412,0.9638,0.7591,0.8365,-0.8869,0.9952,0.9891,,0.9855,-0.927,0.9967,0.9144,0.899,0.8065,-0.7107,0.977,0.6664,-0.8933,0.9385,0.9404,-0.848,-0.9486,-0.9737,-0.9511,0.2124,-0.4625,0.6636,-0.8982,0.9651,,,,,
FH_CMU_TimeSeries,,,0.5884,0.9611,0.9851,-0.9851,0.9992,0.9891,0.9943,0.9989,0.9982,0.98,-0.1602,-0.9937,0.0441,0.964,0.139,-0.7236,-0.9872,0.9882,0.9981,-0.0475,0.9916,0.9993,0.9952,0.9778,0.9995,0.9915,,-0.9858,-0.6667,0.8694,0.9869,0.9964,0.9995,0.9945,0.9927,0.9653,0.9882,-0.0439,-0.596,0.9289,0.9722,0.9955,0.9989,,0.9989,0.8804,0.9974,0.967,0.9875,0.624,-0.8967,-0.9937,-0.3779,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9959,0.5649,-0.5745,1.0,0.9989,0.9982,0.9959,0.9999,0.9949,0.9994,0.9986
FH_COVIDhub_ensemble,-0.9944,0.5493,0.411,-0.9575,0.9994,0.9974,0.9999,0.9963,0.9946,0.9908,0.9975,0.9983,0.0421,-0.995,-0.0339,0.9478,-0.8586,-0.4623,-0.979,0.9989,0.9975,-0.8356,0.9848,0.9994,0.9979,0.9831,0.9945,0.9928,,-0.8855,-0.8053,0.9895,0.9953,0.9995,1.0,0.9999,0.9964,0.9916,0.9934,-0.0521,-0.5777,0.9464,,0.9956,0.9996,,,,0.9902,0.9832,0.9908,-0.8864,-0.8473,0.828,0.9778,0.997,0.9984,0.9999,0.998,0.9985,0.9992,0.9959,0.5649,-0.5745,1.0,0.9989,0.9982,0.9959,0.9999,0.9949,0.9994,0.9985
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5553,0.999,0.9661,0.9988,1.0,,,,,,,,,0.9887,0.9987,,,,,0.9813,0.9701,-0.825,,0.9181,0.9911,0.9903,0.974,,0.9956,0.9956,0.9991,0.9993,0.2084,-0.6666,0.9996,0.9995,0.9977,0.9954,0.9999,0.9953,0.9994,0.9985
FH_CU_nochange,,,,,,,,,,,,,,0.9178,-0.6673,-0.9639,-0.9628,0.982,0.8535,0.9949,0.9919,-0.9509,0.9988,0.9998,0.9905,-0.9823,-0.9919,-0.9931,,0.9889,0.9611,0.9915,0.9967,0.9984,0.9986,0.9982,0.9999,0.9939,0.9922,-0.0422,0.0079,0.9894,0.986,0.9899,0.9995,,,0.9945,0.9821,0.9281,0.9726,-0.8748,-0.8322,-0.8886,0.875,0.9999,1.0,1.0,0.9993,0.9985,0.9837,0.8784,0.872,0.9998,0.999,0.9993,,0.9972,0.9998,0.9994,0.9989,0.9904
FH_CU_scenario_high,,,,,,,,,,,,,,0.986,-0.3557,-0.9568,-0.9582,0.934,0.9442,0.995,0.9922,-0.9437,0.7143,0.9997,0.9946,-0.9823,-0.9917,-0.9969,,0.9881,0.9601,0.9911,0.9961,0.9991,0.9987,0.9985,0.9999,0.9936,0.9925,-0.0679,0.0927,0.9894,0.9828,0.9886,0.9995,,,0.9945,0.9821,0.9281,0.9726,-0.8628,-0.8145,-0.8886,0.922,1.0,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9978,0.1255,-0.6932,-0.7112,-0.5742,0.9256,0.9923,0.995,-0.9365,0.9959,0.9971,0.9963,-0.9823,-0.9917,-0.9852,,0.9912,0.9553,0.9913,0.9954,0.9995,0.999,0.9988,0.9998,0.9956,0.99,0.1299,-0.0531,0.9894,0.9866,0.9909,0.9999,,,0.9949,0.9836,0.9281,0.9726,-0.8725,-0.8614,-0.8886,0.7944,0.9998,1.0,1.0,0.9988,0.9971,0.9844,0.8706,0.8882,0.9998,0.999,0.9993,,0.9973,0.9999,0.9995,0.9988,0.9918
