,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9995,0.9943,0.9863,0.9974,,0.9982,-0.9551,0.9993,0.9993,0.9999,0.9958,0.9989,0.9992,0.9941,0.9903,-0.7995,-0.9987,-0.9958,-0.9884,-0.8959,-0.9674,,-0.997,-0.9952,-0.9862,-0.7643,-0.7066,-0.9634,-0.8875,-0.6812,0.9159,1.0,1.0,-0.9595,-0.9253,-0.9935,-0.9445,,0.9384,0.9911,0.5393,0.7729,,0.5342,-0.7028,0.5824,0.9367,-0.895
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9827,0.9909,-0.997,0.9986,0.9985,0.995,0.9701,-0.6502,0.9796,0.6743,0.992,0.9995,0.9973,0.8224,0.012,0.9786,0.9982,0.9979,0.9996,0.9993,0.9989,0.9928,0.9981,0.9975,0.9984,0.9925,-0.8342,0.9093,0.9869,-0.9646,-0.8648,0.9371,0.9698,0.9432,0.9969,0.9789,0.9104,0.5466,0.9634,-0.6974,-0.5598,-0.9159,0.9569,0.9757,0.9936,-0.6465,0.9952,0.9974,0.9988,0.9703,0.9887,0.5516,0.7839,0.2542,0.539,-0.8074,-0.0462,0.978,0.9723
FH_CEID_Walk,,,,,,0.9776,-0.7686,0.4631,-0.9118,0.6737,0.9236,0.9565,-0.7161,0.922,0.9237,-0.9466,0.9561,0.8865,0.9819,0.8189,-0.7586,0.9923,-0.8359,0.7541,,0.9945,0.9107,-0.959,0.8243,0.7028,-0.8837,0.9934,0.4619,-0.1772,-0.8982,0.9544,0.9202,-0.9535,0.8669,-0.7102,0.8979,-0.9865,-0.4693,0.9403,-0.8777,,0.9558,0.9983,-0.9714,0.9802,-0.9237,-0.1462,-0.8947,-0.4858,0.9871,0.4114,0.9674,0.9482,-0.935,-0.7048,-0.8856,0.9761,1.0,0.8724,-0.5844,-0.4842,0.4669,,,,,
FH_CMU_TimeSeries,,,-0.883,-0.9978,-0.9982,0.9512,0.9725,0.9977,-0.7599,0.9985,0.9889,0.5707,-0.9974,0.9784,0.9528,0.9726,0.9725,0.9968,0.9773,-0.6572,-0.8925,-0.9415,-0.9962,-0.9888,-0.2583,0.821,0.8942,0.9918,,0.9945,0.9155,0.9861,0.9989,0.9985,0.658,0.9344,-0.8962,-0.9897,0.9992,-0.4137,0.9379,0.9862,0.6139,0.4095,0.9108,,0.9865,0.9918,0.9557,0.9249,0.7172,-0.9634,0.7313,-0.7323,0.9159,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992,0.9843,0.9739,0.8912,-0.6995,0.644,0.5122,-0.322,0.5213,0.9208,-0.8444
FH_COVIDhub_ensemble,-0.8957,0.67,-0.9766,0.3982,-0.991,0.978,-0.7123,0.911,0.9502,0.9948,0.9727,0.9753,0.913,0.9721,0.9873,0.9952,0.998,0.9977,0.9925,0.9657,-0.779,0.9928,0.9332,0.9971,0.9989,0.9905,0.9328,0.9938,,0.9985,0.9981,0.9991,0.9995,0.9991,0.897,0.9991,0.9989,0.2148,0.9252,-0.6616,0.7449,-0.9475,,-0.5449,0.9708,,,,0.9635,0.9149,0.6635,0.1107,-0.3294,-0.6812,0.9159,0.9984,0.9674,0.9515,-0.8053,0.973,0.9988,0.9992,0.9843,0.9739,0.8912,-0.6995,0.644,0.5122,-0.322,0.5213,0.9208,-0.8987
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9963,0.9987,-0.7784,0.9998,0.3589,,,,,,,,,-0.4485,0.9863,,,,,0.9067,0.7941,0.861,,-0.7303,0.9813,0.943,0.9298,,0.3132,0.9954,1.0,0.9987,0.9772,0.9838,0.7462,0.9541,0.7216,0.4686,0.8166,0.6059,0.8781,-0.8987
FH_CU_nochange,,,,,,,,,,,,,,0.9935,0.5558,0.9024,-0.9891,-0.7486,-0.9918,-0.9564,0.8429,0.9698,0.9871,0.9881,0.994,0.9997,0.9437,0.9814,,0.9938,0.9518,0.9922,0.9931,0.9997,-0.9991,0.9798,0.9376,0.9992,0.9869,-0.6616,0.9093,-0.9866,-0.9947,-0.8323,0.9421,,,0.9799,0.9714,0.9471,0.5466,0.9634,0.9208,-0.6812,-0.9159,0.9984,0.9725,0.9354,0.9981,0.9988,0.9965,0.9465,-0.9938,-0.7019,0.1998,-0.6711,,0.6151,-0.5806,0.6137,0.9208,-0.8693
FH_CU_scenario_high,,,,,,,,,,,,,,0.9912,0.8302,0.9582,-0.9514,0.2396,-0.9948,0.8737,0.7995,0.9685,0.989,0.9881,0.9939,0.9997,0.9437,0.9814,,0.9938,0.9518,0.9922,0.9931,0.9997,-0.9992,0.9798,0.9376,0.9994,0.9869,-0.6616,0.9093,-0.9475,-0.9947,-0.8323,0.9421,,,0.9799,0.9714,0.9471,0.5466,0.9634,0.9208,-0.6812,-0.9159,0.9984,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9716,-0.7097,-0.2371,-0.9963,0.9659,-0.6453,-0.955,0.8808,0.9646,0.9839,0.9876,0.9923,0.9997,0.9437,0.9814,,0.9941,0.9518,0.9922,0.9854,0.9997,-0.9973,0.9798,0.9376,0.9994,0.9932,-0.6616,0.9093,-0.9814,-0.9947,-0.8323,0.9421,,,0.9799,0.9714,0.9471,0.5466,0.9634,0.9208,-0.6812,-0.9159,0.9984,0.9775,0.9354,0.9936,0.9998,0.9965,0.9465,-0.9938,-0.4833,0.1998,-0.6711,,0.6151,-0.5806,0.6137,0.9208,-0.8693
