,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.959,0.4878,0.9982,0.9967,,0.9271,-0.9906,-0.993,-0.9922,0.9797,0.995,0.9869,0.9611,0.9784,-0.9814,-0.9719,0.9311,0.9837,-0.5616,0.9967,0.9623,,0.9982,0.9968,0.977,-0.5702,0.4107,0.738,-0.9481,-0.9349,-0.9919,-0.9777,-0.945,-0.9696,0.9994,0.9995,0.9987,,-0.1117,-0.9879,-0.9964,-0.9974,,0.9982,0.9988,-0.1844,-0.993,-0.9917
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9776,0.9965,-0.9582,0.9995,0.9985,-0.9982,0.991,0.9995,0.9852,-0.4921,0.9804,0.9996,0.9911,0.9618,0.9585,0.6834,0.9699,0.679,0.9963,0.9993,0.999,0.9985,0.9931,0.9507,0.9297,0.7753,0.9991,0.8351,-0.0272,-0.7876,0.9956,0.9378,0.975,0.9968,0.9864,0.9669,-0.8661,-0.8583,-0.8979,0.9999,0.997,1.0,0.9977,0.9997,0.9956,0.9977,0.9987,0.9717,0.999,0.0068,-0.8622,0.6318,0.9905,0.9893,0.9979,0.9987,-0.0973,-0.9588,-0.8945
FH_CEID_Walk,,,,,,0.9837,0.5578,-0.8467,-0.1462,-0.658,0.9961,-0.8357,0.5754,0.8492,-0.9548,-0.9215,0.883,0.7443,0.3526,0.9244,0.9579,-0.911,0.9793,-0.7779,,-0.9647,0.917,0.9497,0.6467,0.7923,-0.962,-0.9666,0.9907,0.9656,0.8202,0.7645,0.9166,0.7688,-0.7844,0.5444,0.9005,0.9789,-0.782,0.9414,-0.9743,,-0.9828,0.9725,0.9997,-0.9002,-0.7724,0.9273,-0.7344,0.1136,0.9916,0.9255,0.9515,0.8079,0.9037,-0.957,-0.9959,-0.7772,-0.7682,-0.9648,-0.7309,0.9165,0.9755,,,,,
FH_CMU_TimeSeries,,,0.9426,0.9979,0.984,0.9875,-0.9706,-0.8192,-0.2668,-0.7313,-0.5981,-0.9301,-0.9474,-0.977,-0.996,-0.8499,0.9938,-0.7409,-0.9804,0.9295,0.9998,0.7224,0.9971,0.988,0.9991,-0.9872,0.9907,0.9716,,-0.8847,0.7218,0.9963,0.9948,0.9902,0.8892,0.9949,0.9836,0.9843,0.837,0.9673,0.9896,0.9828,-0.2204,0.9966,0.9857,,0.9797,0.9977,0.9773,-0.8657,-0.8509,-0.0143,-0.9414,-0.9957,-0.3753,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998,-0.037,-0.8775,0.999,0.9999,0.9867,0.9996,0.998,-0.1559,-0.9778,-0.9739
FH_COVIDhub_ensemble,-0.9984,0.5918,0.9911,0.9949,0.8131,0.9994,0.7488,-0.7814,-0.2196,-0.6811,0.702,-0.8081,-0.8979,-0.9997,-0.9716,-0.8949,0.9892,0.9991,0.9977,0.9895,0.997,0.9246,0.9967,0.9897,0.9996,-0.7496,0.9257,0.9314,,0.963,0.949,0.9996,0.9878,0.9988,0.9673,0.9947,0.9641,0.9392,0.2917,0.9802,0.9469,0.9971,,0.9938,0.9831,,,,0.9717,-0.8535,-0.9074,-0.996,-0.9399,0.9848,0.9959,0.9807,0.9911,0.9978,0.9984,0.9973,0.9957,0.9998,-0.037,-0.8775,0.999,0.9999,0.9867,0.9996,0.998,-0.1559,-0.9778,-0.9593
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,0.9989,0.9981,0.9994,0.9845,,,,,,,,,0.9988,0.9887,,,,,-0.8491,-0.8272,-0.7436,,0.9374,0.9993,0.9975,0.9935,,0.9979,0.9988,0.9995,0.9994,-0.0255,-0.9709,0.9998,0.9995,0.9853,0.9992,0.9998,-0.1647,-0.9782,-0.9593
FH_CU_nochange,,,,,,,,,,,,,,-0.8199,0.9498,0.9999,0.9995,0.9965,0.9974,0.9995,0.9936,-0.9871,0.9976,-0.9485,0.9874,-0.9798,-0.9938,-0.9934,,0.9364,0.9707,0.9802,0.9877,0.9956,0.8326,0.97,0.5978,-0.832,-0.9333,0.9787,0.9403,-0.8358,-0.31,0.9977,0.9925,,,0.9983,0.9536,-0.8595,-0.9733,-0.9732,-0.9326,0.9327,0.9829,0.9987,0.9995,0.9987,0.9952,0.9949,0.9858,0.9875,0.4436,0.7351,0.9976,0.9995,,0.9995,0.9799,-0.2052,-0.9778,-0.7532
FH_CU_scenario_high,,,,,,,,,,,,,,-0.7131,0.9685,1.0,0.9998,0.9994,-0.9973,0.9999,0.9946,-0.9885,0.9865,-0.8119,0.9932,-0.9798,-0.9926,-0.992,,0.9355,0.9702,0.9788,0.9869,0.9964,0.8319,0.9728,0.6085,-0.8459,-0.9333,0.9774,0.9403,-0.845,-0.6615,0.9979,0.99,,,0.9982,0.9557,-0.8595,-0.9733,-0.9732,-0.9326,0.945,0.9843,0.9979,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9372,0.2721,0.9957,0.9446,-0.9245,0.9966,0.9998,0.9598,-0.9851,0.9988,0.9894,0.9986,-0.9798,-0.9962,-0.9949,,0.937,0.9717,0.9991,0.9861,0.9968,0.8256,0.973,0.3488,-0.832,-0.9312,0.9828,0.9633,-0.8249,0.0045,0.9977,0.9931,,,0.9983,0.9557,-0.8509,-0.972,-0.9732,-0.9326,0.9007,0.9801,0.9992,0.9989,0.9992,0.9941,0.9927,0.9864,0.9873,0.4537,0.6959,0.998,0.9995,,0.9995,0.9794,-0.204,-0.9733,-0.5606
