,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9946,0.9995,0.9989,0.9398,,-0.9963,-0.9995,0.9753,0.9953,0.9863,0.0627,0.9998,0.9977,1.0,0.9993,0.9984,0.9957,0.9991,0.9984,0.9981,0.9959,,0.9974,0.9983,0.9972,0.9391,0.709,-0.866,-0.9753,-0.929,0.9945,0.9982,0.9978,1.0,0.9972,0.9939,0.9872,,-0.9491,-0.9828,-0.9987,-0.9828,,-0.9673,-0.9922,-0.6136,0.0039,0.8129
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.8431,0.9548,-0.8663,0.4182,0.9657,0.9996,0.9866,0.9989,0.9464,0.9692,0.9396,0.9786,0.9999,0.9872,0.9815,-0.9768,0.9854,0.9943,0.9664,0.9979,0.9786,0.9973,0.9866,0.9881,0.9953,-0.9967,0.9784,0.9869,0.991,0.9947,0.9959,0.9981,0.9938,0.9995,0.9992,0.9993,0.9282,0.716,-0.9328,-0.9609,0.9999,0.9967,0.9985,0.9997,0.9999,0.9999,0.9998,0.8684,0.173,0.9888,0.9953,0.9649,0.9751,0.997,0.9748,0.9922,0.9968,0.9948,0.9827
FH_CEID_Walk,,,,,,0.8562,0.9903,0.7804,0.9958,0.9897,0.9512,0.8526,-0.9325,0.8208,0.8458,-0.9516,-0.5669,0.9571,0.9926,0.951,0.9588,-0.9793,0.9386,-0.8532,,-0.607,0.9737,0.9943,-0.4945,-0.8657,0.9964,-0.9992,0.9246,0.921,-0.8952,0.2567,0.9922,0.9996,0.9925,0.6292,0.9767,0.9815,0.9712,-0.9738,0.9896,,0.9773,0.9639,0.9669,0.9795,0.741,-0.801,0.8737,-0.9101,0.9305,-0.9958,0.9358,0.9087,-0.9819,-0.9958,-0.9952,-0.3908,-0.9252,0.7235,-0.9889,0.8522,0.9421,,,,,
FH_CMU_TimeSeries,,,-0.8495,0.968,0.9802,0.999,0.9972,0.9873,0.9929,0.9903,0.9993,0.9882,0.9907,0.8094,-0.9989,-0.9452,0.2641,-0.7495,0.9951,0.9807,0.9967,0.9875,0.9948,0.9581,0.993,0.8441,0.997,0.9783,,-0.9989,0.996,0.9995,0.9981,0.9701,0.9056,0.9736,0.9984,0.9998,0.99,0.9978,0.9981,0.9995,0.9962,0.9987,0.9997,,0.999,0.9999,0.9921,0.9254,0.6721,-0.8158,-0.9943,-0.9356,-0.9136,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,-0.8142,0.9896,0.9459,0.9828,0.9926,0.9592,0.9953,0.9972,0.9971,0.9802
FH_COVIDhub_ensemble,-0.9945,-0.0952,0.9261,-0.9019,-0.9966,0.9944,0.9949,0.9997,0.9973,0.9996,0.9983,0.9967,0.9988,0.8387,-0.9979,-0.919,0.0934,0.9731,0.9905,0.9878,0.9969,0.9637,0.9734,0.9549,0.948,-0.9738,0.9921,0.9713,,-0.3239,0.9916,0.9804,0.9935,0.9719,0.891,0.9972,0.9959,0.9991,0.9977,0.9998,0.9997,0.9977,,0.9904,0.9999,,,,0.9969,0.931,0.7143,-0.8688,0.9733,-0.8377,0.9716,0.993,0.9961,0.9997,0.9956,0.9994,0.9779,0.7042,-0.8142,0.9896,0.9459,0.9828,0.9926,0.9592,0.9953,0.9972,0.9971,0.9829
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,0.9673,0.8281,0.9829,0.4704,,,,,,,,,1.0,0.9999,,,,,0.9292,0.7128,-0.8752,,-0.6956,0.9934,0.9988,0.9953,,0.9999,0.9991,0.9527,0.8467,0.7777,0.9891,0.9726,0.9766,0.9934,0.9893,0.9955,0.9986,0.9967,0.9829
FH_CU_nochange,,,,,,,,,,,,,,-0.6463,0.9885,0.9965,0.9978,0.9983,0.9989,0.9932,0.6948,-0.9696,0.9905,-0.5995,0.9971,-0.8768,0.9805,0.8679,,0.8618,-0.5267,0.9961,0.9953,0.98,0.9895,0.9923,0.9953,0.9978,0.9973,0.9816,0.9958,0.8281,-0.9912,0.933,1.0,,,0.998,0.9982,0.9867,0.6384,-0.233,0.9716,0.773,0.998,1.0,0.9998,0.9993,1.0,0.9954,0.9982,-0.0254,0.989,0.9928,0.9532,0.978,,0.9919,0.9949,0.9962,0.9968,-0.689
FH_CU_scenario_high,,,,,,,,,,,,,,-0.6639,0.9857,0.9991,0.9992,0.9987,0.9997,0.9888,0.817,-0.9626,-0.8411,-0.3556,0.9976,-0.8389,0.9789,0.8641,,0.6731,-0.7123,0.9848,0.9953,0.9799,0.9878,0.9918,0.9952,0.9977,0.9971,0.9883,0.9902,-0.2043,-0.9995,0.5441,0.9998,,,0.9964,0.9979,0.9926,0.5934,0.252,0.976,0.8689,0.9977,0.9999,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.662,0.9703,0.7175,0.9998,0.983,0.9997,0.9924,0.6302,-0.9653,0.995,0.9844,0.9932,-0.9296,0.994,0.9605,,0.9798,0.5794,0.9997,0.9949,0.9796,0.9934,0.9914,0.9948,0.9987,0.9974,0.9832,0.999,0.9427,-0.9601,0.9636,1.0,,,0.9986,0.9985,0.9792,0.6438,-0.4673,0.9616,0.6264,0.9984,0.9999,0.9993,0.9996,0.9998,0.9967,0.9982,-0.0094,0.9884,0.993,0.9529,0.9777,,0.9917,0.9946,0.996,0.9963,-0.7326
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.6959,0.9773,0.9958,0.9995,0.9938,0.9988,0.9915,0.821,-0.9605,-0.8548,0.9898,0.9976,-0.8512,0.9817,0.8744,,0.1713,-0.8092,0.9525,0.995,0.9799,0.9877,0.9911,0.9949,0.9968,0.996,0.9662,0.9957,0.5612,-0.9873,0.8197,0.9998,,,0.9978,0.998,0.986,0.6503,-0.559,0.9483,0.5044,0.9994,0.9992,0.999,0.9999,,0.9971,0.9986,0.4389,0.9864,0.992,0.9525,0.977,,0.9925,0.9949,0.9964,0.9972,0.8552
FH_CU_select,0.9987,0.9939,-0.8454,-0.6863,0.5299,0.4069,0.9575,0.9175,-0.8512,0.46,0.7904,-0.8009,-0.999,-0.6959,0.9773,0.9958,0.9995,0.9938,0.999,0.9924,0.6302,-0.9653,0.995,0.9844,0.9932,-0.8512,0.9817,0.8744,,0.1713,0.5794,0.9525,0.995,0.9799,0.9877,0.9911,0.9949,0.9987,0.9974,0.9832,0.9957,0.5612,-0.9873,0.8197,0.9998,,,0.9978,0.998,0.986,0.6503,-0.559,0.9483,0.6264,0.9984,0.9999,0.9993,0.9996,0.9998,0.9967,0.9982,-0.0094,0.9884,0.993,0.9529,0.9777,,0.9917,0.9946,0.9964,0.9972,0.8552
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,0.979,0.9921,0.9997,0.9937,-0.9738,0.9869,0.7526,0.8129,-0.9737,0.9253,-0.9982,,,0.9201,0.9881,,0.9627,0.9719,0.9923,0.9836,0.9951,0.9967,,0.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,-0.9837,-0.9933,0.9995,0.9932,0.9995,0.986,0.9927,-0.967,0.4952,0.9955,0.9999,0.9888,,-0.9684,-0.9962,,0.9312,0.9984,0.971,0.9864,0.9751,,,0.9961,0.9999,0.9982,0.9984,0.8906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,0.9983,0.9977,0.9148,-0.9306,0.8947,,,0.9801,0.9998,0.9985,0.995,0.9993,-0.9994,-0.7338,0.9642,-0.9839,-0.9832,0.9978,0.9988,,0.9985,0.9674,0.9939,0.9904,0.9927,0.9998,0.9874,0.9088,,-0.9983,-0.9991,0.7544,0.9945,0.9936,0.9897,0.9946,0.998,0.9996,0.9982,0.9988,0.9955,0.999,0.9981,0.9986,-0.9994,0.9621,0.9981,0.9997,0.9991,0.9226,0.7284,-0.8703,-0.9957,,,,0.9947,0.9981,,-0.7088,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,,,,,,,,,,,,,0.9961,0.8213,-0.9449,-0.9578,-0.9955,-0.9892,-0.9909,-0.9687,-0.9876,-0.9231,0.992,0.983,-0.9997,-0.9996,-0.973,-0.9022,,0.9785,0.9896,0.9302,0.9978,0.9976,0.2357,0.9891,0.9935,0.9958,0.9999,0.9977,0.9958,0.9977,0.9998,0.9997,0.9901,,0.9941,0.9964,0.9944,0.9188,0.7364,-0.8871,-0.9892,-0.948,-0.9428,-0.9655,0.9985,0.9999,0.9999,0.9998,0.9994,0.6376,-0.8909,-0.79,-0.023,0.9895,0.9981,0.7855,0.9981,0.9983,0.9997,0.9689
FH_DDS_NBDS,,,,-0.9485,-0.9993,-0.8217,0.9947,0.1713,0.996,0.9982,0.9867,0.9943,0.992,0.8526,0.9937,-0.9351,-0.9992,-0.9949,0.8894,-0.9565,-0.9623,-0.9799,-0.7715,0.9881,-0.9754,0.9488,0.9958,0.9346,,-0.9989,-0.9131,-0.8171,,-0.9953,-0.9795,0.9858,0.9877,0.9357,0.9983,0.9981,0.3033,-0.4857,0.9689,-0.9984,-0.9984,,-0.9661,-0.9832,0.9749,,-0.8246,0.9037,0.9906,0.7309,0.9956,0.9887,0.9984,0.9999,0.9983,0.9899,0.9917,0.5758,,-0.9935,-0.9885,-0.9857,0.4541,-0.9812,0.817,0.9792,0.9584,0.9996
FH_GT_DeepCOVID,,0.9987,-0.9978,0.7147,0.9239,0.9451,0.9898,0.969,0.9927,0.9506,0.9966,-0.9964,0.9314,-0.6687,0.9978,0.9999,0.9852,0.9628,0.9199,0.7412,0.995,0.9788,0.8996,0.1274,0.9167,0.9976,0.9973,0.9811,,-0.9828,0.9967,0.9894,0.9939,0.9505,0.9936,0.9517,0.9782,0.9579,0.9891,0.9836,-0.9944,-0.3467,-0.2345,0.9806,0.9876,,0.9978,0.9775,0.9993,0.8428,0.7382,-0.9542,-0.74,-0.9491,0.9392,0.9938,0.9971,0.9982,,0.9926,0.9926,0.6901,-0.941,0.9743,0.974,0.9845,0.9547,0.9335,0.9959,0.9902,0.9916,0.9274
FH_Google_Harvard_CPF,,,,,,,,,,,,,,0.8184,-0.9739,-0.9962,0.952,0.9795,0.9827,0.9847,0.9892,0.9955,0.9651,0.988,0.9982,0.7033,0.9992,0.9572,,0.9811,0.996,0.9896,0.9923,0.9793,0.9984,0.996,0.9988,0.9968,0.9961,0.9988,0.9986,0.9967,0.9786,-0.098,0.9903,,,0.9917,0.9868,0.5783,0.7391,-0.6642,,0.9953,0.9875,0.9248,,,,-0.2345,0.9984,0.9916,-0.9884,0.9744,0.9982,0.9303,0.9719,0.9976,0.9894,0.9912,0.9759,0.9513
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982,0.9956,0.9994,0.9995,0.9861,0.958,0.9023,0.9329,0.8982,0.9546,0.9994,0.997,0.9292,0.7124,-0.8601,0.8776,-0.9522,0.8824,-0.9816,0.972,0.9854,0.9967,0.9957,0.9896,0.5927,-0.9755,-0.9843,-0.9977,0.9593,0.991,-0.9622,0.9366,0.9988,0.9958,-0.9638
FH_IHME_CurveFit,0.9981,,0.9462,-0.9136,-0.9771,0.943,,-0.9087,-0.9987,-0.4293,,0.9654,-0.9996,,,-0.4555,0.9353,,,,0.9714,,0.995,-0.8105,,,,,0.9934,0.9243,0.9977,0.9902,0.9974,0.96,,,0.9268,0.9995,0.9995,0.9977,,0.9991,0.9997,,0.2498,,0.9817,0.9487,0.9855,-0.9687,-0.4671,0.8545,0.9887,,0.9915,0.9947,0.9972,0.9939,,,0.7296,,0.9454,0.8996,,0.9998,,0.9933,,,,
FH_IowaStateLW_STEM,0.9986,0.9888,0.9526,-0.8991,-0.8864,,0.9682,-0.7808,0.9907,0.9996,0.9742,0.5349,0.9848,0.8434,-0.9732,-0.9797,-0.9876,0.9315,0.9531,-0.2618,0.9873,0.9412,0.9334,0.9057,0.9224,0.9725,0.9637,0.9962,,-0.8301,,-0.8445,0.9786,0.9387,-0.962,-0.8382,0.9995,0.9999,0.9999,0.9959,0.9775,0.9997,0.9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JCB_PRM,,,,-0.7264,0.9852,0.9898,0.9941,0.9975,0.9997,0.9914,0.9993,0.9986,0.954,0.7755,0.9741,-0.7525,0.9714,0.9971,0.9984,0.9982,0.9922,0.9942,0.9956,0.9855,0.9951,0.9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JHUAPL_Bucky,,,,,,,,,0.9629,0.9982,0.9875,0.9941,0.7954,0.5085,-0.9134,-0.9144,0.9848,0.9939,0.9994,0.9994,0.9602,0.9898,0.9961,0.9532,-0.926,-0.9836,0.666,-0.3416,,0.9315,0.8485,0.7096,-0.6904,0.9867,0.9779,-0.7578,0.9448,-0.9804,0.9899,0.9951,0.9953,0.9938,0.9851,-0.6016,0.9948,,0.9956,0.971,0.9994,-0.9759,0.2777,0.9194,-0.9954,-0.9034,0.9996,1.0,0.9989,0.9961,0.9998,0.9995,0.9987,0.6245,-0.973,0.8885,0.9868,0.9,0.9703,0.9705,0.9839,0.9686,0.9725,0.9998
FH_JHU_CSSE_DECOM,,,,,,,,,,,,,,-0.4099,,0.0016,0.9787,0.9998,0.9983,0.9979,0.9958,0.9953,0.7041,0.8784,0.9116,-0.9943,,0.8734,,-0.9841,-0.9964,-0.9962,0.9977,0.9919,0.3257,0.9959,0.9997,0.9999,0.9997,0.9996,0.9998,0.9966,0.9806,0.9953,0.9997,,0.9974,0.9971,0.9995,0.6602,0.7603,-0.743,0.8644,-0.8964,0.9355,0.9997,0.9992,0.9991,0.9999,0.9951,0.9846,0.6086,-0.9681,-0.9358,,0.9594,0.995,-0.5751,0.9956,0.9984,0.9972,0.9901
FH_JHU_IDD_CovidSP,0.9985,0.9981,0.9117,-0.9537,-0.9565,0.6957,0.606,0.9527,0.9914,0.9998,0.9917,0.9993,0.999,0.8871,-0.493,-0.1736,-0.9315,-0.8889,-0.7699,0.798,0.6032,-0.2911,0.9699,-0.611,0.9707,0.9884,0.9663,0.9918,,0.9008,0.9847,0.9939,0.9902,0.9759,0.9975,0.9799,0.9839,0.9851,0.9851,0.9871,-0.8765,-0.9114,0.9621,0.9664,0.9747,0.9641,0.9722,0.9898,0.9846,0.9665,0.641,-0.7732,-0.928,-0.8988,-0.9223,-0.9305,-0.9627,0.9865,0.3944,0.9693,-0.3784,-0.8137,0.9385,0.9523,0.9973,,,,,,,
FH_KITmetricslab_select_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9957,0.999,,,,,0.8914,0.7097,-0.8731,0.9545,0.9987,0.9442,0.9984,0.9999,0.9969,0.9894,0.9845,0.9979,0.4622,-0.3321,-0.6518,-0.6654,0.9816,0.9969,0.9494,0.9871,0.9471,0.9978,0.9868
FH_Karlen_pypm,,,0.9317,-0.9388,-0.9266,0.9846,0.9988,0.9944,0.9997,0.9957,0.9988,0.9971,-0.927,0.8907,0.9733,0.9971,1.0,0.9994,0.9993,0.996,0.9911,0.9812,0.9949,0.9779,0.9894,1.0,0.9959,0.9633,-0.9714,0.3546,0.9992,0.9292,0.9985,0.9943,0.9448,0.9991,0.9949,0.9913,0.9845,0.9926,0.9819,0.9468,-0.9998,0.7862,0.9999,0.9981,0.9999,0.9995,0.9991,0.9297,0.6913,-0.7572,0.9993,0.9995,0.9997,1.0,0.9999,0.999,0.9999,0.9996,0.9997,0.7596,-0.5392,0.922,0.9855,0.9791,0.9985,0.9879,0.9956,0.999,0.998,0.9621
