,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.8929,-0.9862,0.4798,0.9922,,-0.9862,0.9942,0.7497,0.9654,0.9752,0.9957,0.9967,0.5332,0.9985,0.7663,0.9437,0.2079,-0.9994,0.8911,0.7499,0.9783,,0.8392,-0.6995,0.8771,-0.8576,0.8937,0.8902,-0.751,-0.9373,-0.9701,-0.9892,-0.8985,-0.843,0.9975,0.985,0.9978,,0.8895,-0.9824,-0.7082,0.963,,0.9786,0.764,0.1871,-0.4554,-0.0677
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9982,0.9266,-0.9831,0.987,0.9987,0.9997,0.9994,0.9995,0.9717,0.756,-0.8993,-0.9094,-0.4365,0.2662,-0.9583,-0.9639,0.9988,0.9954,0.9793,0.9246,0.997,0.9215,-0.0584,-0.5271,-0.5014,-0.7991,0.9964,0.9886,-0.6154,0.9317,0.4633,0.9311,0.9791,0.9894,-0.7119,-0.9691,-0.9197,0.8887,-0.918,0.9619,0.996,0.9998,0.9822,0.9994,0.999,-0.9975,-0.6464,-0.9886,-0.993,-0.7411,0.9407,-0.7596,0.9609,0.8101,0.9055,-0.9733,-0.8158,-0.7733,0.4536
FH_CEID_Walk,,,,,,0.9641,-0.8924,0.9665,-0.8419,-0.747,-0.9686,-0.914,0.8989,0.9681,0.9432,-0.8476,0.7315,0.9856,0.8994,0.894,0.9868,-0.8608,-0.9473,0.2569,,-0.9733,0.0684,-0.9491,-0.9137,0.9809,0.9801,0.998,0.8433,0.9834,-0.9052,0.9913,-0.9947,0.9953,-0.9938,0.9734,0.8557,-0.9097,0.641,-0.3675,0.9493,,0.9959,-0.7055,-0.9981,-0.4059,0.8701,-0.8838,-0.8329,-0.984,0.9694,-0.9272,0.9647,-0.9982,-0.9821,0.9483,0.9419,-0.9689,-0.8917,0.8086,-0.6363,-0.8432,-0.8947,,,,,
FH_CMU_TimeSeries,,,-0.9907,-0.9996,-0.5617,-0.5149,-0.97,-0.5935,-0.9298,0.9974,0.9936,-0.9778,0.9627,0.9995,0.9983,0.9975,0.8745,0.9978,0.9988,0.9729,0.9883,0.5716,-0.992,-0.8365,0.9702,-0.9828,0.1103,0.0631,,-0.9714,-0.6768,-0.9998,-0.9856,-0.801,-0.2794,0.9995,0.9932,0.9956,0.9976,0.9656,0.1527,-0.8008,0.9805,0.7921,0.9615,,0.922,-0.7012,0.982,0.9943,0.8553,-0.896,-0.8324,0.8572,-0.9346,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1631,0.9528,0.9393,-0.9975,-0.9384,-0.9354,0.8909,0.6851,-0.9582,0.7063,-0.1307
FH_COVIDhub_ensemble,-0.9849,0.9437,-0.9851,-0.9991,-0.9563,0.9575,0.9021,0.9751,0.8159,-0.0014,1.0,0.9923,0.9999,0.9454,0.9737,-0.7094,0.981,0.9922,0.998,0.9968,0.9997,0.919,-0.9351,-0.9789,-0.9022,-0.9891,0.2777,0.592,,0.9981,0.9976,0.9733,0.9345,0.9978,0.9916,0.997,0.9808,0.9966,0.9969,0.9489,0.2859,-0.939,,-0.8684,0.9736,,,,-0.9917,0.9833,0.368,-0.9349,-0.811,0.9939,0.9818,0.9756,0.99,0.9968,-0.9104,0.9318,0.99,0.1631,0.9528,0.9393,-0.9975,-0.9384,-0.9354,0.8909,0.6851,-0.9582,0.7063,-0.2676
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975,0.9764,-0.7651,0.9938,0.9831,,,,,,,,,0.5187,0.9875,,,,,0.9909,-0.2586,-0.9239,,0.9803,0.9932,0.9999,0.9985,,0.9956,0.9637,0.9982,0.9832,0.9088,-0.9131,-0.995,-0.7448,-0.8797,0.945,0.503,-0.9394,0.5683,-0.2676
FH_CU_nochange,,,,,,,,,,,,,,0.8442,0.9838,-0.8932,0.9416,0.9916,0.9997,0.9935,0.9498,-0.7114,-0.9955,-0.7947,-0.9021,-0.9833,-0.322,0.9815,,0.992,0.988,0.9778,0.8994,0.9965,0.9521,0.9944,0.9223,0.9915,0.98,0.9682,-0.9922,-0.9135,0.9881,0.3248,0.9528,,,-0.731,-0.9013,-0.9909,0.8509,-0.8128,-0.6241,0.9981,0.9815,0.9635,0.9986,0.9487,-0.9926,0.9403,0.8353,-0.9843,0.9989,0.9881,0.1537,-0.9531,,0.6244,0.8132,-0.9051,-0.8063,0.0791
FH_CU_scenario_high,,,,,,,,,,,,,,0.8954,0.9911,0.9797,0.9598,0.9967,0.9994,0.991,0.9326,-0.7026,-0.9988,-0.8112,-0.8886,-0.9828,-0.2905,0.9815,,0.991,0.988,0.9778,0.8994,0.9965,0.9449,0.9944,0.9223,0.9915,0.98,0.9682,-0.9922,-0.9135,0.9881,0.3248,0.9445,,,-0.716,-0.9013,-0.7664,0.8509,-0.8416,-0.6241,0.9956,0.9837,0.9698,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.6924,0.8722,-0.9988,-0.1983,0.9465,0.9997,0.9965,0.9553,-0.7191,-0.9922,-0.8291,-0.8839,-0.9837,0.3586,0.9815,,0.992,0.9876,0.9778,0.9016,0.9964,0.9363,0.9946,0.9139,0.9915,0.9611,0.9682,-0.9862,-0.9135,0.9881,0.3248,0.9597,,,-0.7446,-0.9013,-0.9909,0.8509,-0.8128,-0.6476,0.9983,0.9815,0.9635,0.996,0.9342,-0.9971,0.9403,0.8353,-0.9894,0.9995,0.9895,0.1298,-0.9523,,0.6246,0.7582,-0.9051,-0.852,0.8587
