,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.938,-0.9924,0.9976,-0.6782,,-0.9523,0.3008,0.888,0.9861,0.969,0.9422,0.9757,0.1781,0.4597,-0.664,0.6783,0.9842,0.9629,0.999,0.8596,0.9737,,0.952,0.8542,-0.8584,-0.9829,1.0,1.0,1.0,-0.7767,1.0,0.9773,0.8752,0.8131,0.9985,0.9978,0.9991,,0.9838,0.4957,-0.9988,0.0301,,0.8563,0.5667,-0.8261,0.9493,-0.417
FH_BPagano_RtDriven,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.995,0.9302,0.9944,0.9922,0.9794,-0.8457,0.9964,0.9854,0.9928,-0.7703,0.8771,-0.9477,0.3008,0.9078,0.9469,0.995,0.7965,-0.9009,-0.397,-0.6479,0.7911,-0.841,-0.9933,-0.9679,0.9985,0.9899,0.9774,0.996,0.9881,0.947,1.0,-0.8457,1.0,1.0,1.0,-0.2163,1.0,1.0,-0.9472,1.0,0.9983,-0.8005,-0.8794,0.9198,-0.981,0.599,-0.9957,-0.1173,0.9424,-0.9795,0.4132,0.9507,-0.6772,-0.4687
FH_CEID_Walk,,,,,,0.9751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9274,-0.9271,0.947,0.8444,0.995,0.9321,,0.1284,-0.9995,-0.6549,0.9006,1.0,0.2868,-0.7267,0.9469,0.7551,0.9652,0.7868,-0.844,0.6971,-0.5642,-0.075,0.9726,-0.0062,0.9963,-0.8596,0.4625,,1.0,0.947,0.9375,-0.8457,1.0,1.0,0.1739,-0.7767,1.0,0.9149,0.7726,-0.9784,1.0,0.7639,0.0266,-0.1887,-0.9969,0.4544,0.8969,0.2339,0.8701,,,,,
FH_CMU_TimeSeries,,,0.7403,1.0,1.0,0.9882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9392,1.0,1.0,0.9982,0.9938,0.9896,0.998,0.9881,0.9646,-0.894,-0.2162,0.9998,-0.0347,0.9406,,0.8883,-0.2554,-0.927,-0.769,-0.4361,-0.6582,-0.9894,-0.217,-0.6051,0.894,-0.6385,-0.4413,-0.9417,0.9037,-0.969,0.9946,,0.987,0.8794,0.885,-0.8457,1.0,1.0,1.0,-0.7767,0.6712,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9861,0.8028,0.5873,-0.3007,-0.0506,0.8741,-0.9905,0.6862,-0.764,-0.772,-0.4966
FH_COVIDhub_ensemble,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938,1.0,0.9802,0.9824,0.9832,-0.8978,0.9601,0.9843,0.0451,-0.9857,,0.9571,-0.5605,-0.8208,0.6495,-0.053,0.9562,0.5036,-0.4392,-0.798,0.7182,-0.9736,1.0,-0.8832,,0.8543,0.9946,,,,-0.0727,-0.8457,1.0,1.0,1.0,-0.7767,1.0,0.9149,1.0,1.0,0.9685,0.9859,0.9977,0.9861,0.8028,0.5873,-0.3007,-0.0506,0.8741,-0.9905,0.6862,-0.764,-0.772,0.9587
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.373,-0.7703,-0.9795,0.7551,0.9568,,,,,,,,,0.8543,0.9946,,,,,-0.8457,1.0,1.0,,-0.7384,0.9881,0.9904,0.7237,,0.9258,0.9897,0.9627,0.9985,0.8028,0.4926,-0.9111,0.0141,0.824,-0.8972,0.68,-0.6277,-0.6163,0.9587
FH_CU_nochange,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.9915,1.0,0.2319,0.9894,-0.9819,0.8748,-0.1352,0.938,0.9546,0.999,0.9917,,0.786,0.2331,-0.172,0.9469,-0.995,0.9162,1.0,-0.4392,-0.7271,0.7968,-0.8889,-0.9723,-0.9086,0.9855,0.8596,0.9072,,,0.947,1.0,-0.8457,1.0,1.0,1.0,-0.7767,1.0,1.0,-0.9472,-0.9784,0.9952,0.9387,0.9073,0.9594,1.0,0.6998,0.8969,-0.3002,,-0.9444,0.4132,-0.9507,-0.9758,0.8916
FH_CU_scenario_high,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.9915,1.0,0.9964,0.9874,-0.9819,0.5889,-0.7253,0.938,0.9546,0.999,0.9917,,0.786,0.2331,-0.5701,0.9469,-0.995,0.9162,1.0,-0.4392,-0.7571,0.7968,-0.9084,-0.9723,-0.9086,0.9855,0.8596,0.9072,,,0.947,1.0,-0.8457,1.0,1.0,1.0,-0.7767,1.0,1.0,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,-0.9271,0.9856,-0.9819,0.8853,0.3174,0.938,0.9546,0.999,0.9917,,0.786,0.2331,0.7267,0.9469,-0.995,0.9162,1.0,-0.4392,-0.7571,0.7968,-0.8889,-0.9723,-0.8363,0.9855,0.8596,0.9072,,,0.947,1.0,-0.8457,1.0,1.0,1.0,-0.7767,1.0,1.0,-0.9472,-0.9784,0.9952,0.9387,0.9073,0.9594,1.0,0.6998,0.8969,-0.3002,,-0.9444,0.4132,-0.9507,-0.9758,0.8879
FH_CU_scenario_mid,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9958,0.9886,-0.9819,0.6685,-0.0177,0.938,0.9546,0.999,0.9917,,0.786,0.2331,-0.7894,0.9469,-0.995,0.9162,1.0,-0.4392,-0.7571,0.8271,-0.8889,-0.9723,-0.9086,0.9855,0.8596,0.9072,,,0.947,1.0,-0.8457,1.0,1.0,1.0,-0.7767,1.0,1.0,-0.9472,-0.9784,,0.9387,0.9073,0.9594,1.0,0.6998,-0.9396,-0.3002,,-0.9444,0.4132,-0.9507,-0.9758,0.8916
FH_CU_select,1.0,1.0,1.0,1.0,1.0,0.9751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.9271,0.9856,-0.9819,0.8853,0.3174,0.938,0.9546,0.999,0.9917,,0.786,0.2331,-0.7894,0.9469,-0.995,0.9162,1.0,-0.4392,-0.7571,0.7968,-0.8889,-0.9723,-0.9086,0.9855,0.8596,0.9072,,,0.947,1.0,-0.8457,1.0,1.0,1.0,-0.7767,1.0,1.0,-0.9472,-0.9784,0.9952,0.9387,0.9073,0.9594,1.0,0.6998,0.8969,-0.3002,,-0.9444,0.4132,-0.9507,-0.9758,0.8916
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,1.0,0.9892,0.9983,0.9996,0.9953,0.9691,-0.3614,0.9558,0.9993,-0.9271,-0.9942,,,-0.2802,-0.8224,,-0.9978,-0.9571,-0.9828,-0.2696,-0.5274,0.6918,,-0.9926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.9993,0.9824,0.9863,0.9585,0.996,0.998,0.9998,0.9846,,-0.6679,0.9373,,0.9104,0.9985,0.9273,0.9422,0.9842,,,0.7182,-0.845,-0.9921,-0.7523,0.9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,-0.9819,0.9413,-0.9074,0.737,-0.8534,0.596,-0.4947,,0.9417,-0.2855,-0.9089,0.9895,0.9273,0.9771,0.9468,-0.938,0.5762,-0.7757,-0.9736,0.9928,-0.9626,0.7397,0.9972,0.995,0.9965,0.952,0.947,1.0,-0.8457,1.0,1.0,1.0,,,,-0.9472,0.8131,,-0.8655,,,,,,,,,,,,
