,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9296,0.1492,-0.954,1.0,,1.0,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,1.0,0.1492,1.0,,1.0,1.0,1.0,1.0,1.0,-0.954,1.0,1.0,-0.8144,1.0,-0.8821,-0.9535,-0.9939,1.0,0.9213,,0.9943,0.7622,1.0,1.0,,1.0,0.9651,-0.9485,0.9528,1.0
FH_BPagano_RtDriven,,,,,,,,,,,,,,1.0,-0.6935,1.0,0.5231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6935,1.0,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.954,1.0,1.0,-0.8144,1.0,-0.8821,-0.9535,-0.9939,0.7282,0.9213,0.9755,0.9943,0.7622,-0.8046,0.3484,0.9893,0.8082,0.9651,1.0,0.9528,0.8312
FH_CEID_Walk,,,,,,0.1997,-0.98,-0.9374,-0.9811,0.9484,1.0,0.8682,1.0,0.7951,-0.6935,1.0,0.5231,1.0,-0.9296,1.0,1.0,1.0,1.0,-0.7222,,1.0,1.0,1.0,-0.6935,1.0,1.0,1.0,-0.9296,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,-0.9296,0.1492,1.0,,1.0,1.0,0.7746,1.0,1.0,-0.954,1.0,1.0,-0.8144,1.0,-0.8821,0.9483,-0.9939,-0.4949,0.7136,0.9755,0.991,0.7415,-0.7869,1.0,-0.3898,,,,,
FH_CMU_TimeSeries,,,1.0,1.0,-0.8717,-0.961,-0.98,1.0,0.9365,0.9737,0.9979,0.8682,1.0,1.0,-0.6935,1.0,0.5231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,1.0,0.1492,1.0,,1.0,1.0,1.0,1.0,1.0,-0.954,1.0,1.0,-0.8144,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9782,0.9743,0.7622,1.0,1.0,0.8183,1.0,0.9846,-0.9485,0.9963,0.8312
FH_COVIDhub_ensemble,-0.993,-0.4199,0.9652,1.0,-0.8717,1.0,1.0,-0.7744,1.0,0.9995,0.9979,0.8682,1.0,1.0,-0.6935,1.0,0.5231,1.0,-0.9761,1.0,1.0,1.0,1.0,1.0,0.9576,1.0,1.0,1.0,,1.0,1.0,1.0,-0.9296,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,,0.1492,1.0,,,,1.0,1.0,0.8094,-0.954,1.0,0.997,-0.8144,0.9243,-0.4055,0.9956,-0.9939,-0.6375,-0.6729,0.9782,0.9743,0.7622,1.0,1.0,0.8183,1.0,0.9846,-0.9485,0.9963,0.8312
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.9812,0.1492,1.0,,,,,,,,,0.1492,1.0,,,,,1.0,0.8094,-0.6666,,0.997,-0.8144,0.9243,-0.4055,,0.8628,-0.9053,-0.9882,0.9653,0.9999,0.7622,-0.9242,0.9679,0.9657,1.0,0.9651,-0.9485,0.9528,0.8312
FH_CU_nochange,,,,,,,,,,,,,,1.0,-0.6935,1.0,0.5231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,1.0,0.1492,1.0,,,1.0,1.0,1.0,1.0,-0.954,1.0,1.0,-0.8144,1.0,-0.8821,-0.9535,-0.9939,0.7282,0.9213,0.9755,0.9943,0.7622,-0.8046,0.3484,,0.8082,0.9651,1.0,0.9528,0.8312
FH_CU_scenario_high,,,,,,,,,,,,,,1.0,-0.6935,1.0,0.5231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,1.0,0.1492,1.0,,,1.0,1.0,1.0,1.0,-0.954,1.0,1.0,-0.8144,1.0,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,1.0,-0.6935,1.0,0.5231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,1.0,1.0,-0.5439,1.0,1.0,1.0,0.1492,1.0,,,1.0,1.0,1.0,1.0,-0.954,1.0,1.0,-0.8144,1.0,-0.8821,-0.9535,-0.9939,0.7282,0.9213,0.9755,0.9943,0.7622,-0.8046,0.3484,,0.8082,0.9651,1.0,0.9528,0.8312
