,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9989,0.9991,0.9947,0.8044,,0.9219,0.989,0.9994,0.8794,-0.9129,-0.9884,0.5923,-0.612,0.9633,-0.242,0.9836,-0.9953,0.9962,0.9782,0.9666,0.9996,,0.9961,0.9915,0.9903,0.9996,0.9982,-0.3985,0.9398,-0.2653,0.6692,-0.9896,0.4985,-0.9619,0.9982,0.9988,0.999,,0.9943,0.9806,0.9168,-0.9496,,0.2574,0.9959,0.9958,0.9994,0.9917
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9804,0.8862,-0.7734,0.9111,0.9901,-0.9775,0.9995,0.9999,0.9994,0.9728,0.9829,0.9986,0.9983,0.9983,0.7809,-0.9223,-0.6318,0.9274,-0.9967,-0.8456,0.9504,-0.9647,0.9795,0.99,-0.3542,0.384,0.9521,-0.8896,-0.9621,-0.9907,0.9458,0.9918,0.9983,0.9999,0.9889,0.9992,0.9946,0.9994,0.977,0.9796,-0.8827,0.9943,0.86,0.9907,0.9992,0.9957,0.9953,0.9381,0.9093,0.9492,0.9571,0.9895,0.3453,0.9944,0.9754,0.9945,0.9935,0.9989,0.9962
FH_CEID_Walk,,,,,,0.8749,-0.8363,0.8125,0.9284,0.7008,0.8977,-0.9425,0.9991,0.9756,0.6871,0.8992,0.7119,-0.5402,-0.2508,0.928,0.9474,-0.8668,0.9971,-0.8095,,-0.9564,0.9924,-0.8272,-0.8424,0.6499,-0.8492,-0.8948,-0.9895,0.8498,0.9433,0.9766,0.9958,0.9965,-0.6972,-0.7326,-0.9914,0.9366,0.9698,0.9689,0.9931,,0.9755,0.9173,-0.1832,0.852,0.9955,-0.976,0.9673,0.8264,-0.9616,-0.991,0.9497,-0.9634,0.9688,0.3278,0.7812,0.995,0.9886,-0.913,-0.828,0.5612,0.4337,,,,,
FH_CMU_TimeSeries,,,-0.2075,-0.9337,-0.963,0.8952,-0.0611,0.9116,-0.4509,-0.4187,0.908,-0.5266,0.9983,0.9827,0.7715,0.9975,0.5607,-0.9591,0.9972,0.9902,0.9998,0.9886,0.9891,0.9895,0.9994,0.9794,0.9957,0.8474,,0.8368,0.9848,0.9683,-0.9469,0.8437,0.9861,0.9732,0.9987,0.9747,0.0558,-0.4688,0.9944,0.9925,0.9735,0.963,0.9993,,0.9986,0.9692,0.9922,0.9888,0.9803,0.982,0.977,-0.9118,-0.5367,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989,0.9947,0.9993,0.9894,0.4032,0.9926,0.9969,0.9991,0.9971,0.9997,0.9968
FH_COVIDhub_ensemble,0.8547,-0.9146,-0.9904,-0.9312,-0.8862,0.882,-0.9038,0.9398,0.9977,-0.5973,0.8545,-0.906,0.9982,0.9892,0.8113,-0.8182,0.8143,-0.7337,0.9963,0.9501,0.9966,0.9974,0.9999,0.9854,0.996,0.7958,0.9963,0.853,,0.9,0.0609,-0.9784,-0.8881,0.9533,0.9924,0.9915,0.9989,0.9884,0.3541,-0.7079,0.7972,0.9999,,0.9776,0.9992,,,,0.9993,0.9993,0.9954,0.9837,0.9838,-0.8927,0.9953,0.9435,0.9798,0.9995,0.9911,0.9999,0.9789,0.9989,0.9947,0.9993,0.9894,0.4032,0.9926,0.9969,0.9991,0.9971,0.9997,0.9971
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,-0.9954,0.9811,0.9621,0.9983,,,,,,,,,0.981,0.9995,,,,,0.9999,0.9868,0.9678,,-0.9117,0.9953,0.9836,0.986,,0.9917,0.9983,0.9956,0.9999,0.9577,0.9979,0.9604,0.9867,0.9915,0.9968,0.9975,0.9985,0.9999,0.9971
FH_CU_nochange,,,,,,,,,,,,,,0.4805,-0.9923,-0.8951,0.8837,0.9941,0.9913,0.9986,0.9947,0.9715,1.0,0.9986,0.9608,-0.9986,-0.9803,-0.8024,,-0.7753,-0.8658,-0.9902,-0.9031,0.9555,0.9804,0.9845,0.9974,0.9977,0.4085,-0.93,-0.9961,0.9945,0.9969,0.9872,0.9995,,,0.9849,0.9967,0.9883,0.994,0.9983,0.3936,0.9981,0.9942,0.9897,0.996,0.9998,0.9999,0.9986,0.986,0.9946,0.9403,0.2791,0.3772,0.9887,,0.991,0.9997,0.9995,0.9963,0.9994
FH_CU_scenario_high,,,,,,,,,,,,,,-0.2052,-0.9826,-0.8997,0.8893,0.9956,0.9949,0.9755,0.995,0.9737,-0.9356,0.9989,0.977,-0.9987,-0.9803,-0.8025,,-0.7378,-0.8125,-0.9897,-0.9189,0.9555,0.9792,0.9845,0.9974,0.9975,0.4171,-0.9172,-0.9927,0.996,0.9966,0.9866,0.9992,,,0.9849,0.9961,0.987,0.994,0.9972,-0.0942,0.9975,0.9912,0.9917,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9917,-0.7555,-0.9305,0.7196,0.9808,0.9891,0.9929,0.9993,0.9769,0.9997,0.992,0.9674,-0.9987,-0.9804,-0.8024,,-0.7001,-0.9265,-0.9905,-0.904,0.9544,0.9791,0.9843,0.9973,0.9976,0.4045,-0.9292,-0.9528,0.9905,0.9965,0.9879,0.9996,,,0.9842,0.9967,0.9883,0.994,0.9977,0.6518,0.9945,0.9958,0.9867,0.9946,0.9996,0.9994,0.9976,0.9866,0.9946,0.9646,0.4995,0.5537,0.9901,,0.9915,0.9996,0.9998,0.9962,0.9999
FH_CU_scenario_mid,,,,,,,,,,,,,,0.878,-0.9924,-0.9179,0.8486,0.9898,0.9893,0.9917,0.9974,0.9787,-0.8676,0.996,0.9885,-0.9986,-0.9807,-0.8024,,-0.6563,-0.8024,-0.9895,-0.9208,0.9544,0.9785,0.9844,0.9972,0.9988,0.3827,-0.9407,-0.9899,0.9962,0.9963,0.9842,0.9992,,,0.9857,0.9961,0.987,0.994,0.9979,0.8586,0.9947,0.9958,0.9859,0.9943,0.9994,,0.9976,0.9857,0.9972,0.9879,0.726,0.5388,0.9894,,0.9906,0.9994,0.9998,0.9962,0.9979
FH_CU_select,-0.72,-0.6716,-0.9441,-0.91,-0.8643,-0.387,0.9782,0.9948,0.9978,0.5904,-0.9865,-0.9863,0.9906,0.878,-0.9924,-0.9179,0.8486,0.9898,0.9949,0.9929,0.9993,0.9769,0.9997,0.992,0.9674,-0.9986,-0.9807,-0.8024,,-0.6563,-0.9265,-0.9895,-0.9208,0.9544,0.9785,0.9844,0.9972,0.9976,0.4045,-0.9292,-0.9899,0.9962,0.9963,0.9842,0.9992,,,0.9857,0.9961,0.987,0.994,0.9979,0.8586,0.9945,0.9958,0.9867,0.9946,0.9996,0.9994,0.9976,0.9866,0.9946,0.9646,0.4995,0.5537,0.9901,,0.9915,0.9996,0.9998,0.9962,0.9979
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,-0.9192,0.9946,0.9733,0.9931,0.9987,0.9854,0.8656,0.7826,-0.6157,0.9986,0.9342,,,0.9449,-0.794,,0.8903,0.995,0.999,0.9988,0.9883,0.337,,0.9858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,-0.8746,0.9399,0.8642,0.9997,0.997,0.9999,0.9978,0.998,0.9959,0.999,0.9848,-0.782,,-0.9009,0.9169,,-0.9996,-0.8448,0.9341,0.9999,0.9894,,,0.2954,0.8986,0.9754,0.9915,0.9404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Covid19Sim_Simulator,0.8654,-0.7669,-0.978,-0.8722,-0.8959,,,0.7513,-0.9494,0.2947,0.7781,-0.9162,0.9802,0.5879,0.8607,-0.7452,0.8444,-0.7267,0.9815,,0.9927,0.9991,0.9941,0.9966,0.9973,0.9967,0.9991,0.8692,,0.94,0.9916,-0.9997,-0.672,0.9655,0.997,0.9661,0.5104,-0.9949,0.7243,-0.8215,-0.9812,-0.8637,-0.9886,-0.9986,-0.9953,0.9884,0.9983,0.9768,0.9941,0.9964,0.9991,0.9903,0.9613,,,,0.9988,0.9992,,0.9968,,,,,,,,,,,,
