,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.8487,-0.9373,-0.8768,-0.9733,,0.9947,0.9462,0.9968,0.9836,0.9932,0.9994,0.9985,0.9443,0.9661,-0.9437,-0.9861,-0.9772,-0.9986,-0.9992,-0.9952,0.7869,,0.9996,0.9933,-0.7807,-0.9717,0.9579,-0.4004,0.8077,0.7191,0.9838,0.9795,0.9798,0.9977,0.9979,0.8191,-0.8421,,-0.8642,0.9787,-0.9971,0.7455,,0.9989,0.9818,0.9376,0.8141,-0.0222
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9975,-0.9896,0.9996,0.9977,0.9999,0.9851,0.9887,-0.2583,0.8474,0.9916,-0.8797,0.9999,0.4875,-0.8326,-0.937,-0.9758,0.9802,-0.9965,0.9956,0.992,0.993,0.9897,0.996,0.9891,-0.8989,0.9409,-0.963,0.1614,0.9949,0.7948,-0.9742,0.7092,0.6257,0.9962,0.9895,-0.8561,-0.9975,0.5115,-0.3028,0.9899,0.8275,0.993,-0.978,0.9903,0.9993,0.9885,0.9895,0.9056,0.8403,0.6985,0.1107,0.9463,0.999,0.9929,0.9984,0.9952,0.9517,0.7853,0.1902
FH_CEID_Walk,,,,,,0.9499,0.913,-0.831,-0.0486,-0.6361,-0.8776,0.9909,0.8236,-0.7933,-0.955,0.9402,0.7176,0.9052,0.9972,0.8993,0.0119,-0.6417,0.9383,-0.8895,,-0.896,-0.5567,0.9978,-0.3171,0.5846,0.8871,0.9401,-0.893,0.9842,0.9469,0.5994,0.8807,0.9645,0.986,0.9732,-0.9541,0.9573,-0.0879,0.9336,0.8747,,-0.9652,0.993,0.8467,0.9852,0.9336,-0.4403,0.9582,-0.9476,-0.6376,-0.5738,0.9342,0.9973,0.8547,0.9556,-0.9199,-0.4989,-0.7923,0.9922,-0.4759,0.9563,0.9707,,,,,
FH_CMU_TimeSeries,,,0.8148,-0.9603,0.9697,0.8565,0.9977,0.8658,0.9294,-0.9975,-0.9654,-0.7504,-0.9952,-0.8345,-0.7764,0.9922,0.9641,-0.9729,0.9831,0.9818,-0.3346,0.9224,0.9856,-0.7731,0.9879,-0.9062,-0.5527,0.9947,,-0.4689,-0.7159,0.9911,0.8062,0.9989,0.9678,0.9943,0.9029,0.9815,-0.9264,0.6579,-0.9692,0.1251,0.9558,0.6655,0.9988,,0.756,0.9834,0.8455,-0.9965,0.938,-0.3573,0.9987,-0.9718,-0.9653,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988,0.9786,-0.5672,0.9914,0.9971,0.9975,0.9997,0.9963,0.9653,0.797,0.101
FH_COVIDhub_ensemble,-0.9999,0.8711,-0.2013,-0.9328,-0.7906,0.8967,0.9698,0.9365,-0.2912,-0.9552,-0.8926,0.9417,0.9535,0.9974,0.9298,0.9947,0.9526,0.9893,0.9888,0.9825,-0.2318,0.8459,0.9774,0.9768,0.9939,-0.9613,-0.7513,0.9129,,0.9575,0.87,0.999,0.9946,0.9908,0.9988,0.999,0.9831,0.9829,-0.9577,0.9857,-0.8101,0.9914,,0.8884,0.9039,,,,-0.8887,-0.9972,0.8653,-0.1689,0.9987,-0.9605,-0.3579,0.9864,0.9907,0.9996,0.9953,0.9749,0.9974,0.9988,0.9786,-0.5672,0.9914,0.9971,0.9975,0.9997,0.9963,0.9653,0.797,0.0851
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.9978,-0.7982,0.9949,0.9989,,,,,,,,,-0.7604,0.8975,,,,,-0.9986,0.8337,-0.0116,,-0.9622,-0.8445,0.9935,0.9878,,0.9927,0.931,0.9991,0.9995,0.6253,-0.7373,1.0,0.9981,0.9961,0.9999,0.9968,0.9615,0.7966,0.0851
FH_CU_nochange,,,,,,,,,,,,,,0.9949,0.9918,0.9987,0.9477,0.9932,0.9703,0.9893,-0.2044,0.8326,-0.6337,0.9923,0.1995,-0.8636,0.9686,0.9984,,-0.8134,0.6134,0.9966,0.9962,0.9883,0.9539,0.9995,0.9805,-0.8706,0.9369,0.995,0.966,0.9997,0.9968,0.7742,0.9513,,,0.9412,-0.8869,-0.9973,0.6934,0.2764,0.9989,-0.8136,0.6572,0.9952,0.9955,1.0,0.9991,0.9936,0.9507,-0.8343,-0.2686,0.8002,0.9623,0.9991,,0.9996,0.9985,0.9489,0.8965,0.0987
FH_CU_scenario_high,,,,,,,,,,,,,,0.9962,0.9907,0.9996,0.9924,0.9987,0.9763,0.9894,-0.2147,0.8451,-0.7674,0.9933,0.2539,-0.8639,0.968,0.9984,,-0.8594,0.401,0.9966,0.995,0.9871,0.937,0.9993,0.9801,-0.8706,0.9355,0.9949,0.9817,0.9997,0.9932,0.9107,0.9559,,,0.7547,-0.8776,-0.9968,0.7569,0.3084,0.999,-0.8207,0.8564,0.9973,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9946,0.9659,0.9999,-0.8196,0.9967,0.9789,0.987,0.6359,0.8149,-0.5944,0.9824,0.4118,-0.8649,0.9692,0.9984,,-0.2004,0.7817,0.9965,0.995,0.9888,0.9585,0.9994,0.9675,-0.8725,0.927,0.9951,0.9207,0.9982,0.9969,0.6586,0.9454,,,0.9755,-0.8869,-0.9968,0.6524,0.2764,0.9989,-0.8136,0.3427,0.9939,0.9971,0.9998,0.9984,0.9913,0.9651,-0.8343,-0.2686,0.7553,0.9581,0.9991,,0.9998,0.9985,0.9557,0.8922,0.108
