,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9484,0.3951,-0.9546,-0.9962,,0.9927,0.9996,0.8283,-0.9394,-0.981,-0.4554,0.9893,0.9961,0.4411,-0.8859,-0.9389,0.9913,0.9213,0.719,0.9295,-0.9876,,-0.6308,-0.2255,0.9836,0.4743,0.9778,0.993,-0.3299,-0.8097,-0.7285,-0.9647,-0.9458,-0.9244,0.9988,0.9956,0.9994,,0.9978,0.9645,-0.7868,-0.991,,-0.9952,-0.9995,-0.9638,0.8474,-0.4678
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9435,-0.9536,0.9746,0.9994,0.9976,0.9992,0.9861,0.9992,0.9972,0.988,0.9775,0.9967,0.8172,-0.8502,-0.9445,0.6009,0.9913,0.7539,0.7868,-0.9447,-0.9756,-0.5577,0.9668,0.9964,0.9942,-0.9875,-0.9924,0.9451,0.9837,0.5622,0.9352,-0.9904,-0.6341,-0.5597,0.623,0.9844,0.1466,0.9795,0.9981,0.5476,-0.7855,0.9004,0.9879,0.0408,0.9984,0.9987,0.9994,0.9888,0.9995,0.9992,0.9884,-0.7459,-0.9549,-0.5091,0.9993,0.9992,0.925,-0.8593,-0.9831
FH_CEID_Walk,,,,,,0.7439,0.9347,-0.9706,0.7607,0.2976,0.9509,-0.9206,0.9782,0.6066,-0.9738,-0.9517,0.8087,0.9558,0.9894,0.8953,0.9837,-0.9222,0.9859,-0.778,,-0.941,0.8835,-0.9256,0.9777,0.9555,-0.9362,0.9133,-0.4133,-0.9274,-0.7751,0.9056,-0.9504,0.9165,-0.9637,-0.7828,0.9966,0.988,0.4282,0.981,-0.991,,-0.4677,-0.5191,0.9803,-0.9756,0.9863,0.9947,-0.3634,-0.7947,0.8987,0.8415,-0.9655,0.9667,-0.9423,0.9489,0.9886,0.9906,-0.9926,-0.8871,0.5962,-0.8435,-0.9969,,,,,
FH_CMU_TimeSeries,,,0.9757,0.9943,0.8747,-0.9971,0.9961,0.7798,0.5238,0.8541,0.9854,-0.4668,0.9567,-0.9623,-0.9966,0.9212,0.9265,0.9939,0.9986,0.9938,0.9858,0.978,0.9939,0.9863,0.9645,-0.6186,-0.6803,0.9013,,0.8632,0.9203,0.7359,-0.9459,-0.9607,-0.8038,0.9528,0.1173,0.9992,0.894,-0.6705,0.9806,0.9437,0.5783,0.9636,-0.9676,,-0.5,0.199,0.9997,0.9996,0.9793,0.9983,0.0018,-0.8277,-0.9903,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997,0.9974,0.9938,0.8423,-0.5851,0.9998,0.9961,0.9988,0.9227,-0.871,-0.9948
FH_COVIDhub_ensemble,-0.993,-0.2017,0.9998,0.7716,0.9813,-0.7543,0.7911,-0.9618,0.6812,0.0433,0.577,-0.9206,0.9902,-0.3811,-0.8874,0.9847,0.99,0.9948,0.9995,0.9828,0.9996,0.9997,0.9917,0.9817,0.9822,-0.9345,-0.8688,-0.9539,,0.9875,0.9968,0.803,-0.9433,-0.9627,-0.5167,0.978,-0.4453,0.9905,0.8947,-0.9266,0.9861,0.9738,,0.9741,-0.9857,,,,0.9991,0.9717,0.983,0.9983,-0.0266,-0.8089,0.2809,0.903,0.9638,0.995,0.9973,0.9941,0.9964,0.9997,0.9974,0.9938,0.8423,-0.5851,0.9998,0.9961,0.9988,0.9227,-0.871,-0.9935
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982,0.7703,-0.812,-0.9703,-0.5483,,,,,,,,,0.9616,-0.9828,,,,,0.9996,0.9706,0.9925,,-0.8211,-0.7285,0.9895,0.9973,,0.9942,0.9996,0.9938,0.9992,0.9988,0.9886,0.8544,0.0354,0.998,0.9953,0.998,0.9285,-0.8742,-0.9935
FH_CU_nochange,,,,,,,,,,,,,,0.6381,0.8493,0.9843,0.998,0.9963,0.9961,0.9976,0.9355,-0.9946,-0.7396,-0.5059,0.9741,-0.8274,0.9231,0.9978,,0.994,0.9857,0.8247,-0.9372,-0.9843,-0.467,0.9888,0.9948,0.9854,0.0108,-0.9967,0.9906,0.987,0.6121,0.9818,-0.9902,,,0.8574,0.9936,0.9923,0.9924,0.9996,0.2787,-0.8022,-0.8206,0.9982,0.9955,0.9982,0.994,0.9983,0.994,0.9981,0.9804,0.9854,0.8702,0.9594,,0.9975,0.9974,0.9306,-0.849,-0.9683
FH_CU_scenario_high,,,,,,,,,,,,,,0.8647,0.9147,0.993,0.9979,0.9965,0.9975,0.9984,0.9404,-0.996,-0.976,-0.0446,0.9757,-0.8274,0.9231,0.9978,,0.994,0.9848,0.8247,-0.9358,-0.9843,-0.4751,0.9888,0.9948,0.9847,-0.0137,-0.9937,0.9596,0.987,0.6355,0.9482,-0.9902,,,0.8574,0.9936,0.9923,0.9924,0.9996,0.2787,-0.8022,-0.8206,0.9982,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.3951,-0.2293,0.9568,1.0,0.9997,0.9984,0.9989,0.9663,-0.9919,-0.2691,0.9752,0.9805,-0.8274,0.9231,0.9978,,0.9949,0.9855,0.8304,-0.9358,-0.9829,-0.4751,0.989,0.9945,0.9862,0.2058,-0.9967,0.9949,0.9633,0.5897,0.9834,-0.9908,,,0.9526,0.9936,0.9923,0.9924,0.9996,0.2787,-0.7974,-0.8206,0.9982,0.994,0.996,0.994,0.9979,0.9944,0.9981,0.9825,0.9855,0.8672,0.9584,,0.997,0.9978,0.9332,-0.8501,-0.9683
