,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9692,0.7619,0.8787,0.9123,,0.9958,0.9996,1.0,0.9908,0.8516,0.9561,0.999,0.9204,0.988,-0.7165,-0.4241,-0.9807,-0.89,0.8912,0.7005,0.9469,,-0.7233,-0.9615,-0.995,-0.9122,-0.9896,-0.9486,-0.9985,-0.9868,-0.9951,0.6087,0.9459,-0.6461,0.9748,0.984,-0.4423,,-0.8403,0.9898,0.9878,0.9506,,0.8692,0.115,0.9851,0.9676,0.9791
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9977,0.9945,0.9919,0.9741,0.9936,0.9971,-0.9077,0.7756,-0.9426,-0.9546,0.9538,0.9424,-0.4959,-0.7946,-0.9238,0.9836,0.9961,0.9986,0.9998,0.9936,0.9945,0.9958,0.9897,0.9984,0.8823,0.99,-0.9788,-0.7488,0.8129,0.9174,0.6605,-0.7323,-0.9626,0.7057,0.9818,-0.9895,0.9304,0.9912,0.9649,0.9602,0.9733,-0.8902,0.2438,0.9965,0.9999,0.9992,0.9961,0.9989,0.9962,0.9774,0.9977,0.9939,0.9524,0.9576,0.9337,0.6465,0.9752,-0.5612,0.9999
FH_CEID_Walk,,,,,,-0.9655,0.9765,-0.6198,0.8974,-0.3536,-0.7173,-0.9002,0.994,0.995,0.9413,-0.979,0.9167,-0.7676,-0.7969,0.6035,0.9048,0.7741,-0.8146,0.7008,,0.8187,0.8297,-0.8129,-0.999,0.978,0.9979,0.882,0.9253,0.998,-0.5779,0.9464,0.9987,-0.8818,-0.4701,0.9425,-0.9455,-0.7442,-0.4308,-0.7582,-0.9039,,0.6191,-0.9408,0.7905,0.9864,0.9697,-0.4823,0.592,-0.9744,0.9292,0.5863,0.9076,-0.8512,0.9665,0.956,0.9655,0.9464,0.8985,0.8959,0.5624,0.9944,-0.3751,,,,,
FH_CMU_TimeSeries,,,0.9783,-0.6186,0.0366,-0.9998,0.7238,0.9851,0.6301,0.9111,0.9972,-0.964,0.9892,0.9938,0.913,0.9598,-0.8888,0.9977,0.9902,0.9809,0.7897,-0.948,-0.9795,-0.9986,-0.8632,-0.1383,0.6536,-0.9305,,-0.9556,0.9767,0.9998,0.9679,0.9993,0.9996,0.9911,0.9761,0.9891,-0.3428,0.7058,-0.9658,-0.8453,0.9119,0.1491,-0.9191,,0.6792,0.5717,0.9459,0.9915,0.99,0.9944,0.9938,0.9854,0.966,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9927,0.9276,0.9951,0.913,0.9827,-0.9649,0.9589,0.1122,0.7418,-0.8981,0.9735
FH_COVIDhub_ensemble,-0.9938,0.7679,0.9795,-0.8176,-0.945,-0.9962,0.9424,-0.3827,0.9415,0.9431,0.9914,0.9968,0.9973,0.9964,0.978,-0.8671,0.8041,0.9991,0.9957,0.995,0.8651,0.9504,0.5867,0.9992,0.91,0.7995,0.8755,-0.6913,,0.9961,0.9996,0.9976,0.9897,0.9932,0.9994,0.9931,0.9896,0.974,-0.4704,0.9425,-0.8516,0.9762,,-0.1444,-0.8567,,,,0.9754,0.9939,0.9907,0.9922,0.9956,0.9932,0.6559,0.6085,0.9711,0.9764,0.999,0.9965,0.9885,0.9927,0.9276,0.9951,0.913,0.9827,-0.9649,0.9589,0.1122,0.7418,-0.8981,0.9852
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979,0.9991,0.5905,0.9981,0.9998,,,,,,,,,-0.0733,-0.8893,,,,,0.9892,0.9914,0.9909,,0.7733,0.7629,0.7419,0.9674,,0.9999,0.9997,0.9946,0.9995,0.9878,0.9988,0.9715,0.9479,0.8714,0.117,0.0717,-0.6829,-0.6864,0.9852
FH_CU_nochange,,,,,,,,,,,,,,0.99,0.9677,0.9913,0.965,-0.872,0.996,0.9738,0.9802,0.9899,0.9981,0.9987,0.3003,0.6953,0.8233,0.8766,,0.9977,0.9994,0.9989,0.9926,0.9991,0.9916,0.9945,0.9919,0.9853,-0.3084,0.9741,0.988,0.9534,0.8064,0.4823,-0.8599,,,0.9994,0.9973,0.9926,0.9894,0.986,0.9812,0.831,0.5838,0.7881,0.9934,0.9994,0.9996,0.9957,0.9901,0.9542,0.9166,0.9926,0.9885,0.342,,0.9391,0.0159,0.7025,-0.2483,0.9959
FH_CU_scenario_high,,,,,,,,,,,,,,0.9973,0.997,0.9911,0.9703,0.4492,0.9421,0.963,0.975,0.9894,0.9977,0.9989,0.1302,0.6953,0.8185,0.8061,,0.9973,0.9994,0.9987,0.9919,0.9991,0.9851,0.9945,0.9921,0.9875,-0.3941,0.9573,0.9906,0.9243,0.3543,0.4904,-0.8553,,,0.9994,0.9969,0.9926,0.9894,0.9847,0.9812,0.8332,0.465,0.7955,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9665,0.5372,0.9629,0.8258,-0.9254,0.9878,0.9759,0.957,0.9882,0.9975,0.9997,-0.1627,0.6953,0.8861,0.9764,,0.9977,0.9993,0.9993,0.991,0.9989,0.9938,0.9935,0.994,0.9828,-0.1965,0.9776,0.9904,0.9657,0.7788,0.4684,-0.8691,,,0.9994,0.9973,0.9931,0.9894,0.986,0.9812,0.8794,0.6753,0.7801,0.9919,0.9996,0.9998,0.9974,0.9929,0.9542,0.9121,0.9926,0.9901,0.7914,,0.9658,0.0206,0.7025,-0.0475,0.9966
