,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,-0.9925,0.8536,0.2858,0.9614,,0.9352,0.99,0.9495,0.9995,0.9993,0.9973,0.7688,0.9847,0.9994,-0.5219,-0.2556,0.0586,-0.988,-0.9277,-0.9299,-0.8108,,-0.8947,-0.9892,-0.9971,-0.925,-0.9033,-0.3249,0.852,0.5873,0.9933,0.6347,0.9898,0.9841,0.9987,0.996,0.9972,,0.9971,0.9909,0.9313,0.9531,,0.9595,-0.5424,0.9652,-0.8354,0.89
FH_BPagano_RtDriven,,,,,,,,,,,,,,0.9951,-0.9348,0.9996,0.9979,0.9999,-0.3579,0.997,0.5531,0.2377,-0.8949,0.7664,-0.9989,0.6336,-0.916,0.7312,0.9972,0.9995,0.9969,0.9826,0.9999,0.9724,0.964,0.9795,0.9876,0.9559,1.0,-0.9039,0.9393,0.936,1.0,1.0,1.0,-0.9864,-0.8947,1.0,-0.9971,1.0,0.5048,-0.5119,-0.8985,-0.7791,0.9996,0.9984,0.9542,0.9983,0.8664,0.985,-0.47,-0.952,-0.9556,-0.9057,-0.9882,-0.7201,-0.966,-0.5964,-0.4618,0.7172,-0.7966,0.5225
FH_CEID_Walk,,,,,,0.2848,0.4407,0.1843,0.2028,0.2984,0.9697,0.8219,-0.8267,0.9832,-0.0441,0.6608,0.9302,0.8994,0.9321,0.9898,0.9905,-0.7812,-0.9041,-0.9175,,0.6354,-0.9206,0.9918,0.6812,-0.7988,0.9304,-0.9997,0.1134,0.9985,0.9227,-1.0,0.554,0.9657,1.0,-0.2556,0.2293,0.8962,0.4295,0.7125,0.4825,,-0.4217,0.9884,-0.9971,0.9269,0.8023,-0.3943,-0.6242,-0.9347,0.9682,-0.882,0.9156,0.9528,-0.9323,0.7398,0.4346,-0.2574,-0.9899,-0.7245,0.8202,0.9629,0.8681,,,,,
FH_CMU_TimeSeries,,,0.9619,0.0622,0.9966,-0.1135,0.1196,-0.148,0.1443,1.0,0.9804,1.0,-0.8326,-0.9098,0.9836,0.9997,0.9942,-0.4596,0.9996,0.9788,0.5715,-0.9844,-0.9085,0.9428,0.3136,-0.7162,-0.9254,0.9955,,-0.0076,0.9977,-0.5834,0.996,0.982,0.9862,0.8395,0.9938,0.9284,-0.8592,-0.9161,0.4778,0.8699,0.998,0.4981,0.8108,,0.9864,0.9568,-0.8307,0.925,0.1359,-0.486,-0.852,-0.9127,-0.9461,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953,0.9714,0.9677,-0.9679,-0.0162,-0.785,-0.818,0.7191,0.9671,-0.3097,0.2457
FH_COVIDhub_ensemble,-0.2827,-0.9637,0.913,-0.8297,0.9345,0.2848,0.2257,-0.2681,0.0442,0.1055,0.9356,0.8939,-0.3196,0.9855,0.9934,0.9864,0.9997,0.9986,0.9914,0.9957,0.5202,-0.9221,-0.1953,-0.887,-0.9973,0.6517,-0.3373,0.9428,,0.9491,0.9753,0.9915,0.9991,0.9901,0.9805,0.9904,0.9994,0.9726,0.8013,-0.9099,0.2682,0.988,,1.0,0.4825,,,,-0.9971,0.925,0.5048,-0.4653,1.0,-0.7438,0.9866,-0.7045,0.942,0.9861,0.9828,0.9889,0.9728,0.953,0.9714,0.9677,-0.9679,-0.0162,-0.785,-0.818,0.7191,0.9671,-0.3097,0.2595
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9848,0.9946,-0.9179,0.9955,0.9996,,,,,,,,,0.9579,0.8108,,,,,0.925,0.8611,-0.3249,,-0.9658,0.9906,0.7079,0.976,,0.9997,0.9818,0.9919,0.9764,0.9234,0.9505,-0.9134,-0.3626,-0.8445,-0.7935,0.868,0.9671,0.0185,0.2595
FH_CU_nochange,,,,,,,,,,,,,,0.9988,0.9925,0.9995,0.9977,0.9984,0.9928,0.732,0.5846,0.9906,0.809,-0.8638,-0.9764,0.7197,0.9184,0.929,,0.9742,0.9827,0.9992,0.9937,0.9896,0.9933,0.965,0.9876,0.998,0.9854,0.9099,0.2293,-0.988,-0.8274,-0.9602,-0.8108,,,-0.9598,-0.9971,-0.925,-0.8484,0.4752,0.968,1.0,0.9461,-0.882,0.9156,0.9726,0.9716,0.9928,0.9845,0.9358,-0.9636,-0.7666,-0.9444,-0.9863,,-0.8068,0.1276,0.9725,-0.6692,0.1875
FH_CU_scenario_high,,,,,,,,,,,,,,0.9995,0.991,0.999,0.9985,0.9998,0.9989,0.9761,0.4403,0.9952,0.8068,-0.8691,-0.9796,0.7197,0.9184,0.929,,0.9742,0.9811,0.9993,0.9937,0.9896,0.9933,0.965,0.9876,0.998,0.9854,0.9099,0.2293,-0.988,-0.8274,-0.9602,-0.8108,,,-0.9598,-0.9971,-0.925,-0.8152,0.5971,0.968,1.0,0.9461,-0.882,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9996,0.9848,0.9989,0.9985,0.9977,0.9938,0.8296,0.6216,0.995,0.8573,-0.9036,-0.9844,0.7197,0.9184,0.929,,0.9742,0.9811,0.9993,0.9937,0.9856,0.9933,0.965,0.9876,0.998,0.9854,0.9099,0.2293,-0.988,-0.8274,-0.9602,-0.8108,,,-0.9598,-0.9971,-0.925,-0.8484,-0.5119,0.968,-0.9732,0.9461,-0.882,0.9156,0.9751,0.9755,0.9923,0.9845,0.9358,-0.9636,-0.7666,-0.9444,-0.9863,,-0.8268,0.1276,0.9733,-0.6692,0.2107
