,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9976,-0.9841,0.9284,-0.9561,,-0.9987,-0.9996,0.9582,0.989,0.9962,0.9969,0.9998,0.9989,0.9932,0.9946,0.9994,0.9969,0.9845,0.962,0.9528,0.9675,,0.9936,0.9949,0.9922,0.9955,0.972,-0.9029,-0.9546,-0.9952,0.9937,0.999,0.9994,0.9982,0.9993,0.9997,0.9999,,-0.2514,-0.9832,-0.9978,-0.9998,,-0.0548,-0.7233,0.9874,0.0805,-0.9059
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.8239,0.9984,0.9974,0.9998,0.9989,0.9994,0.9982,0.9996,0.9977,0.9989,0.9609,0.9939,0.9899,0.9932,-0.7502,0.9013,0.9876,0.9935,0.9977,0.9998,0.9968,0.9974,0.9986,0.9973,0.9995,-0.9951,0.0605,-0.5584,0.0016,0.9886,0.9953,0.9939,0.977,0.9961,0.9942,0.9966,0.9946,0.997,-0.7782,-0.7677,1.0,0.9994,1.0,1.0,1.0,0.9993,0.9989,0.877,-0.0768,0.4092,0.9994,0.9984,0.989,0.9825,0.9946,0.9748,0.9907,0.1024,-0.7862
FH_CEID_Walk,,,,,,0.9185,0.902,0.9842,0.9994,0.9776,0.9592,0.2687,-0.9186,-0.9357,0.4637,-0.9425,0.9643,-0.9257,0.9616,0.9523,0.9726,-0.9632,0.9713,-0.8373,,-0.9703,0.9949,-0.7774,-0.918,0.9246,-0.8986,-0.9627,-0.8303,0.9601,0.9757,0.9716,0.9662,0.9414,0.5861,0.9947,0.9645,0.9684,0.9086,0.9325,0.9852,,0.9216,-0.8058,0.9787,0.9701,0.995,0.884,-0.8582,-0.9599,0.9251,-0.535,0.8943,0.9664,0.8701,0.9742,-0.9751,-0.9992,-0.7654,0.8424,0.9702,0.9442,0.9394,,,,,
FH_CMU_TimeSeries,,,0.9472,0.9476,0.9159,0.908,0.999,0.998,0.9999,0.9958,0.9973,-0.6453,-0.988,-0.9516,-0.9903,-0.9317,0.9719,0.993,0.9995,0.9937,0.997,0.9807,0.996,0.9827,0.9996,0.4376,0.8754,-0.5664,,-0.9889,0.999,0.9996,0.9999,0.9988,0.9925,0.9937,0.9977,0.9994,0.9753,0.9982,0.9967,0.9956,0.9987,0.9973,0.9961,,0.9943,0.9957,0.9955,0.9957,0.9999,-0.7912,-0.9634,-0.9915,-0.941,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991,0.71,0.9439,0.9996,0.9978,0.9892,0.9989,0.9946,0.9799,0.0832,-0.8655
FH_COVIDhub_ensemble,-0.996,0.6699,0.9573,-0.0356,-0.0354,0.9971,0.9989,0.9989,0.9995,0.9996,0.9981,-0.4567,-0.9547,-0.9592,-0.9929,-0.8108,0.9975,0.9966,0.9962,0.998,0.9999,0.9979,0.9988,0.9829,0.9931,-0.9827,0.9868,-0.8753,,0.9949,0.9999,0.9998,0.9965,0.9943,0.999,0.9992,0.9981,0.9991,0.9777,0.9963,0.9791,0.9835,,0.9984,0.9961,,,,0.997,0.998,0.9935,-0.8035,-0.9292,-0.4087,0.9917,0.9962,0.9948,0.9996,0.9974,0.9969,0.9912,0.9991,0.71,0.9439,0.9996,0.9978,0.9892,0.9989,0.9946,0.9799,0.0832,-0.8303
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992,0.9999,0.7425,0.9957,0.998,,,,,,,,,0.9988,0.9968,,,,,0.9981,0.9947,-0.803,,0.9981,0.9957,0.9983,0.9938,,0.9987,0.9989,0.9949,0.9996,0.6909,0.416,0.9998,0.9974,0.9894,0.9976,0.9924,0.979,0.0697,-0.8303
FH_CU_nochange,,,,,,,,,,,,,,0.9856,0.9942,0.9999,0.9994,0.9987,0.9995,0.9994,0.9999,-0.9887,0.9962,0.9453,0.6075,-0.995,-0.9959,0.8682,,0.9803,0.9806,0.9944,0.9941,0.9962,0.9927,0.9978,0.9976,0.9977,0.594,-0.6459,-0.9951,0.9362,0.995,0.9991,0.9959,,,0.9944,0.9975,0.9944,0.9988,-0.679,-0.6108,0.9811,0.9983,0.9999,0.9992,0.9999,0.9995,0.9993,0.9761,-0.8554,0.349,0.9921,0.9986,0.9995,,0.999,0.9994,0.9797,0.1134,0.9833
FH_CU_scenario_high,,,,,,,,,,,,,,0.9925,0.9966,0.9996,0.9997,0.9986,0.9995,0.9994,0.9996,-0.9912,-0.0712,0.9761,0.9388,-0.9952,-0.9985,0.849,,0.9764,0.9759,0.9933,0.994,0.9961,0.9914,0.9974,0.9976,0.9977,0.5984,0.4169,-0.9936,0.7883,0.9962,0.9987,0.9949,,,0.9936,0.9971,0.9932,0.9994,-0.6464,-0.392,0.9851,0.9978,1.0,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.7939,0.9754,0.9923,0.9884,0.9851,0.9988,0.9978,0.9999,-0.9907,0.9985,0.978,0.9461,-0.9947,-0.9563,0.8986,,0.9858,0.9855,0.9973,0.9933,0.9957,0.9942,0.9972,0.997,0.9979,0.613,-0.767,0.9238,0.9721,0.9943,0.9992,0.9962,,,0.9948,0.9977,0.9951,0.9982,-0.6958,-0.7129,0.9754,0.9986,0.9998,0.9986,1.0,0.9987,0.9981,0.9763,-0.8534,0.3487,0.9916,0.9988,0.9994,,0.9988,0.9993,0.9816,0.1244,0.9916
