id,State,dummy,228,235,242,249
47,Alabama,0,24.152,23.419,23.081,22.533
39,Arkansas,0,82.152,80.011,78.426,90.305
21,Hawaii,0,1.111,0.975,1.044,1.239
22,Indiana,0,97.087,97.02,95.421,100.917
35,Louisiana,0,24.159,20.644,28.455,22.88
24,Minnesota,0,20.889,21.435,19.458,17.052
49,Montana,0,16.513,15.315,15.98,16.035
15,North Carolina,0,37.388,33.783,36.034,43.126
19,Nevada,0,60.25,62.188,61.098,62.917
50,Puerto Rico,0,32.155,32.056,33.158,33.124
6,Texas,0,306.583,269.232,229.188,221.564
51,Virgin Islands,0,0,0,0,0
US,US,0,2880.786,2890.776,2854.415,2983.764
29,Kansas,0,23.631,20.878,17.489,20.342
53,West Virginia,0,40.589,38.665,42.392,41.247
2,California,0,92.973,88.912,91.268,92.11
1,Illinois,0,94.408,93.273,97.774,97.273
30,Missouri,0,66.497,73.006,70.372,73.933
41,Mississippi,0,32.529,32.386,30.501,32.747
13,Georgia,0,27.591,26.164,25.62,22.865
34,Iowa,0,17.708,16.431,18.983,15.175
23,Kentucky,0,66.087,68.867,67.752,69.471
18,Maryland,0,37.879,37.052,36.294,33.689
46,Maine,0,7.861,7.373,8.576,7.377
37,Michigan,0,148.68,149.936,148.906,142.381
43,North Dakota,0,3.238,3.223,2.883,2.757
7,Nebraska,0,31.31,27.403,27.881,26.643
16,New Jersey,0,91.266,86.604,85.657,86.022
36,Ohio,0,116.67,118.92,118.352,118.18
25,Oklahoma,0,113.561,109.679,111.041,108.088
9,Oregon,0,12.107,11.882,13.606,14.433
26,Pennsylvania,0,151.174,142.921,143.356,146.851
0,Washington,0,21.269,22.081,21.956,22.402
5,Wisconsin,0,37.417,37.562,33.962,33.35
44,Wyoming,0,7.903,8.603,8.765,8.395
3,Arizona,0,113.939,115.018,115.276,118.032
12,Rhode Island,0,2.938,3.065,3.339,3.385
27,South Carolina,0,24.462,24.403,23.516,23.422
32,Virginia,0,36.536,36.176,36.376,35.169
17,Colorado,0,89.734,87.301,88.259,88.255
10,Florida,0,86.137,91.623,93.232,89.347
48,Idaho,0,15.01,14.221,14.097,15.055
42,New Mexico,0,42.449,39.233,39.606,40.971
11,New York,0,171.636,178.28,175.408,171.003
20,Tennessee,0,33.777,36.762,35.281,34.711
8,Utah,0,13.327,13.255,10.803,9.254
33,Connecticut,0,29.665,27.875,28.119,28.968
31,Vermont,0,6.864,7.363,8.226,8.093
45,Alaska,0,3.361,3.33,3.236,3.673
28,District of Columbia,0,1.736,1.755,1.939,2.143
40,Delaware,0,10.51,10.348,10.004,10.861
4,Massachusetts,0,98.514,111.436,107.38,99.519
14,New Hampshire,0,11.618,11.047,11.474,10.843
38,South Dakota,0,9.073,9.081,9,8.873
