id,State,dummy,249,256,263,270
47,Alabama,0,21.22,22.16,25.25,26.9
45,Alaska,0,1.04,0.96,0.94,0.96
3,Arizona,0,167.13,167.95,168.6,168.33
39,Arkansas,0,38.66,36.32,32.82,32.66
2,California,0,268.2,360.34,465.27,490.79
17,Colorado,0,166.06,156.09,168.68,169.95
33,Connecticut,0,50.21,50.39,54.07,60.2
40,Delaware,0,8.11,7.73,7.98,7.06
28,District of Columbia,0,2.98,2.96,2.76,2.6
10,Florida,0,184.71,192.98,198.45,195.36
13,Georgia,0,37.3,36.02,36.35,34.62
21,Hawaii,0,4.48,4.61,4.56,4.87
48,Idaho,0,14.48,16.69,24.87,38.69
1,Illinois,0,93.41,108.7,99.06,107.43
22,Indiana,0,88.07,85.57,83.34,82.22
34,Iowa,0,13.63,13.78,12.97,12.18
29,Kansas,0,26.49,27.22,27.07,27.8
23,Kentucky,0,100.26,101.8,112.81,145.32
35,Louisiana,0,27.37,26.28,25.75,25.12
46,Maine,0,29.04,28.59,31.72,37.63
18,Maryland,0,55.75,63.71,81.51,69.7
4,Massachusetts,0,183.94,176.61,164.49,156.92
37,Michigan,0,145.47,144.24,141.62,137.25
24,Minnesota,0,37.68,37.63,39.11,40.2
41,Mississippi,0,18.69,18.48,19.21,19.49
30,Missouri,0,66.85,65.05,65.75,65.28
49,Montana,0,14.81,14.49,14.93,16.13
7,Nebraska,0,14.41,14.87,15.11,15.59
19,Nevada,0,57.2,55.69,53.57,57.62
14,New Hampshire,0,27.34,32.43,37,37.83
16,New Jersey,0,76.61,88.5,88.22,81.12
42,New Mexico,0,70.45,65.73,63.5,64.77
11,New York,0,353.88,367.34,430.4,452.86
15,North Carolina,0,44.66,42.84,42.46,40.43
43,North Dakota,0,4.24,4.28,6.67,18.32
36,Ohio,0,94.43,93.44,93.78,91.99
25,Oklahoma,0,35.78,31.16,32.61,33.16
9,Oregon,0,16.21,25.7,32.47,21.92
26,Pennsylvania,0,164.05,200.09,199.5,240.39
12,Rhode Island,0,10.76,9.56,9.88,10.15
27,South Carolina,0,50.61,155.81,125.93,66.26
38,South Dakota,0,7.02,7.36,7.89,7.87
20,Tennessee,0,59.37,61.68,68.04,68.95
6,Texas,0,183.38,180.73,190.25,198.7
8,Utah,0,4.98,5.16,5.34,4.42
31,Vermont,0,3.3,2.54,3.15,4.33
32,Virginia,0,82.96,86.44,89.55,94.45
0,Washington,0,32.45,37.7,43.64,46.99
53,West Virginia,0,59.36,60.46,62.3,69.25
5,Wisconsin,0,70.87,74.04,73.03,76.32
44,Wyoming,0,1.63,1.92,1.72,1.79
50,Puerto Rico,0,50.18,51.81,51.05,54.71
51,Virgin Islands,0,0.33,0.4,0.41,0.39
US,US,0,3294.04,3316.08,3320.12,3348.98
