id,State,dummy,165,172,179,186
US,US,0,1182,1182,1182,1182
47,Alabama,0,21,21,21,21
45,Alaska,0,0,0,0,1
3,Arizona,0,40,40,40,40
39,Arkansas,0,26,26,26,26
2,California,0,33,33,33,33
17,Colorado,0,18,18,18,18
33,Connecticut,0,3,3,3,3
40,Delaware,0,1,0,1,0
28,District of Columbia,0,3,3,3,3
10,Florida,0,87,87,87,87
13,Georgia,0,45,45,45,45
21,Hawaii,0,0,0,0,0
48,Idaho,0,1,1,1,1
1,Illinois,0,16,16,16,16
22,Indiana,0,40,40,40,40
34,Iowa,0,20,20,20,20
29,Kansas,0,13,13,13,13
23,Kentucky,0,15,15,15,15
35,Louisiana,0,23,23,23,23
46,Maine,0,3,3,3,3
18,Maryland,0,15,15,15,15
4,Massachusetts,0,45,45,45,45
37,Michigan,0,24,24,24,24
24,Minnesota,0,24,24,24,24
41,Mississippi,0,26,26,26,26
30,Missouri,0,55,55,55,55
49,Montana,0,15,15,15,15
7,Nebraska,0,31,31,31,31
19,Nevada,0,1,0,1,1
14,New Hampshire,0,1,1,1,1
16,New Jersey,0,31,31,31,31
42,New Mexico,0,10,10,10,10
11,New York,0,17,17,17,17
15,North Carolina,0,43,43,43,43
43,North Dakota,0,18,18,18,18
36,Ohio,0,21,21,21,21
25,Oklahoma,0,52,52,52,52
9,Oregon,0,1,1,1,1
26,Pennsylvania,0,51,51,51,51
12,Rhode Island,0,0,0,0,0
27,South Carolina,0,25,25,25,25
38,South Dakota,0,9,9,9,9
20,Tennessee,0,35,35,35,35
6,Texas,0,120,120,120,120
8,Utah,0,4,4,4,4
31,Vermont,0,0,0,0,0
32,Virginia,0,50,50,50,50
0,Washington,0,5,5,5,5
53,West Virginia,0,10,10,10,10
5,Wisconsin,0,28,28,28,28
44,Wyoming,0,2,2,2,2
50,Puerto Rico,0,7,7,7,7
51,Virgin Islands,0,0,0,0,0
