id,State,dummy,221,228,235,242
US,US,0,2667,2265,2483.5,2144.5
47,Alabama,0,13.5,9,11.5,15
45,Alaska,0,1.5,0.5,2,0
3,Arizona,0,92,95.5,96.5,117
39,Arkansas,0,59,52.5,62,44
2,California,0,66.5,52,59,29.5
17,Colorado,0,99.5,60.5,59.5,60
33,Connecticut,0,23.5,16.5,7,3.5
40,Delaware,0,7,7.5,6.5,2.5
28,District of Columbia,0,0,0,0,0
10,Florida,0,75.5,86.5,92.5,57
13,Georgia,0,46,54.5,50,59.5
21,Hawaii,0,0,0,0,0
48,Idaho,0,12,5,6,11
1,Illinois,0,91,61.5,62.5,28.5
22,Indiana,0,97,79.5,85,71
34,Iowa,0,30.5,49,40,51
29,Kansas,0,37,35.5,31.5,33
23,Kentucky,0,38,31,29,20.5
35,Louisiana,0,49.5,39,43.5,33.5
46,Maine,0,0,0,0.5,0.5
18,Maryland,0,27,21,20.5,15.5
4,Massachusetts,0,65,46.5,45.5,28.5
37,Michigan,0,118,90.5,100.5,106
24,Minnesota,0,37.5,24,24.5,17
41,Mississippi,0,31,29,30.5,30
30,Missouri,0,79.5,75.5,82,62.5
49,Montana,0,21,18.5,22,21.5
7,Nebraska,0,39,37.5,33,45.5
19,Nevada,0,33.5,19.5,22,8
14,New Hampshire,0,8,5.5,6,3.5
16,New Jersey,0,89,78,70.5,34.5
42,New Mexico,0,20.5,10.5,7.5,4.5
11,New York,0,117.5,88.5,89,41
15,North Carolina,0,34,37,28.5,28.5
43,North Dakota,0,9.5,1.5,5,1.5
36,Ohio,0,77,49.5,49,61
25,Oklahoma,0,125.5,142.5,136.5,153.5
9,Oregon,0,10.5,5,2.5,4
26,Pennsylvania,0,118.5,97,110.5,78.5
12,Rhode Island,0,0,0,0,0
27,South Carolina,0,21.5,16.5,17.5,19.5
38,South Dakota,0,8.5,8,16.5,7
20,Tennessee,0,44.5,41.5,38,35.5
6,Texas,0,567.5,691,658,299.5
8,Utah,0,11,13.5,13,11.5
31,Vermont,0,0,0,0,0
32,Virginia,0,33.5,36.5,30.5,37
0,Washington,0,19,17.5,18.5,16
53,West Virginia,0,30,28,23.5,15
5,Wisconsin,0,55.5,50.5,55.5,54.5
44,Wyoming,0,6.5,2.5,2,2.5
50,Puerto Rico,0,24.5,17,19.5,19
51,Virgin Islands,0,0,0,0,0
