id,State,dummy,298,305,312,319
0,Washington,0,50.7,49.6,41.5,42.4
1,Illinois,0,24.1,16,12.1,14.6
2,California,0,307.1,279,245.6,225.5
3,Arizona,0,52.7,35.2,32.1,41.4
4,Massachusetts,0,19.9,25.8,40,49.7
5,Wisconsin,0,10.5,10.4,15.2,17.3
6,Texas,0,115,124,117.5,136.1
7,Nebraska,0,3.1,3.6,4.7,4.1
8,Utah,0,3.3,3.6,2.4,2.4
9,Oregon,0,10.9,11.9,11.9,15.7
10,Florida,0,397.5,367.2,279.2,279.9
11,New York,0,68.8,62,59.1,79.3
12,Rhode Island,0,0.1,0.2,0,0.2
13,Georgia,0,28.9,31.2,36.1,32.7
14,New Hampshire,0,3.1,2.8,3.2,3
15,North Carolina,0,65.7,78.9,84.9,94.7
16,New Jersey,0,42.5,36,39.9,58
17,Colorado,0,23.7,19.1,24.4,42.8
18,Maryland,0,19.7,24.8,23.2,24.7
19,Nevada,0,66.4,46.7,47.9,37.3
20,Tennessee,0,27.9,27.5,42.1,45.5
21,Hawaii,0,3.4,3.7,4.6,4.3
22,Indiana,0,19.5,25.3,18.7,19.2
23,Kentucky,0,12.1,11.3,16.8,19.3
24,Minnesota,0,8.3,5.7,7.9,15.6
25,Oklahoma,0,23.8,21.5,18.2,15.2
26,Pennsylvania,0,44.3,41.9,50.7,88.5
27,South Carolina,0,30.6,30.9,23.1,20
28,District of Columbia,0,0.6,1.3,2.3,2.2
29,Kansas,0,0.3,0.7,0,2.4
30,Missouri,0,19.8,24,24.9,20.1
31,Vermont,0,2.3,2.8,2.7,5.7
32,Virginia,0,34,26.7,33.2,21.5
33,Connecticut,0,22.6,16.2,11.6,16.4
34,Iowa,0,9.2,8.7,17.6,14
35,Louisiana,0,11.2,12.4,12.3,16.6
36,Ohio,0,24.2,24.1,26.2,35.1
37,Michigan,0,14.7,25.8,31.7,31.5
38,South Dakota,0,1,1.1,1.3,1.7
39,Arkansas,0,13.7,15.8,12.5,8.1
40,Delaware,0,2.1,1.4,2,2.3
41,Mississippi,0,17.4,12.6,11.9,14
42,New Mexico,0,17.5,10.9,12.7,14.8
43,North Dakota,0,0,0.2,0.6,0.1
44,Wyoming,0,1.8,2.8,2.1,2.1
45,Alaska,0,1.9,2,2.4,2.8
46,Maine,0,4.8,4.8,5.3,5.5
47,Alabama,0,14.1,12.7,13.1,11.6
48,Idaho,0,3.9,4.8,6.1,5.9
49,Montana,0,1,1.4,3.1,4.9
50,Puerto Rico,0,26.2,30.6,31.7,28.3
51,Virgin Islands,0,0,0,0,0
53,West Virginia,0,8.7,11.4,12.9,13.8
US,US,0,1736.3,1650.8,1583.1,1710.4
