id,State,dummy,298,305,312,319
0,Washington,0,55.7,56.6,58.9,62.5
1,Illinois,0,19.8,15.6,12.2,9.6
2,California,0,319,309.8,300.2,290.4
3,Arizona,0,43,31.3,22.8,16.6
4,Massachusetts,0,11,9,7.2,5.8
5,Wisconsin,0,8.9,7.5,6.6,5.9
6,Texas,0,151.9,162.9,174.6,186.8
7,Nebraska,0,3.2,2.6,2.2,1.9
8,Utah,0,2.5,2.2,2,1.8
9,Oregon,0,11.4,9.5,8,6.9
10,Florida,0,446.1,422.3,397.6,372.5
11,New York,0,63.2,52.4,43.5,36
12,Rhode Island,0,0.7,0.5,0.3,0.2
13,Georgia,0,38.3,39.9,41.6,43.3
14,New Hampshire,0,2.2,1.6,1.2,0.9
15,North Carolina,0,85,106.3,132.7,165.2
16,New Jersey,0,45.5,41,36.7,32.9
17,Colorado,0,24.6,18.4,13.7,10.2
18,Maryland,0,21.1,20.6,20.1,19.6
19,Nevada,0,62.5,61,62.8,66.3
20,Tennessee,0,39,46.3,55.1,65.3
21,Hawaii,0,3.3,2.9,2.5,2.2
22,Indiana,0,18.7,16.8,15.1,13.6
23,Kentucky,0,5.7,4.1,2.9,2
24,Minnesota,0,10.2,10.2,10.2,10.3
25,Oklahoma,0,24.6,23.8,23.8,24.5
26,Pennsylvania,0,33.6,26.7,21.1,16.7
27,South Carolina,0,28.3,26.5,24.8,23.1
28,District of Columbia,0,1.5,1.2,0.9,0.7
29,Kansas,0,0.7,0.5,0.3,0.2
30,Missouri,0,21.7,21.5,20.9,20.8
31,Vermont,0,2,1.9,1.9,2
32,Virginia,0,34.8,33.6,33,32.9
33,Connecticut,0,13.6,11,9.4,8.3
34,Iowa,0,8.8,8.6,8.5,8.3
35,Louisiana,0,12.1,10.5,9.2,7.9
36,Ohio,0,24.4,22.8,22.1,22.4
37,Michigan,0,17.4,13.8,11,8.7
38,South Dakota,0,1.6,1.3,1.1,0.9
39,Arkansas,0,12.8,11.1,9.6,8.3
40,Delaware,0,2.1,1.6,1.2,0.9
41,Mississippi,0,16.4,16.6,17.1,18.1
42,New Mexico,0,14.2,10.7,8,6.1
43,North Dakota,0,0,0,0,0
44,Wyoming,0,2.4,1.8,1.3,1
45,Alaska,0,0.6,0.3,0.2,0.1
46,Maine,0,2.6,1.7,1.1,0.8
47,Alabama,0,17.1,17.5,18.2,19.5
48,Idaho,0,5.1,4.5,4.1,3.8
49,Montana,0,0.7,0.4,0.3,0.2
50,Puerto Rico,0,42,50.2,60,71.5
51,Virgin Islands,0,0,0,0,0
53,West Virginia,0,6.9,5.9,5.2,4.7
US,US,0,1840.5,1777.2,1744.8,1740.7
