id,State,dummy,256,263,270,277
47,Alabama,0,16,16,18,18
45,Alaska,0,3,3,4,4
39,Arkansas,0,10,10,10,9
33,Connecticut,0,20,20,19,19
40,Delaware,0,3,3,3,3
10,Florida,0,62,61,57,56
13,Georgia,0,19,20,19,18
21,Hawaii,0,0,0,0,0
48,Idaho,0,2,2,2,2
22,Indiana,0,18,18,19,19
34,Iowa,0,3,4,4,4
29,Kansas,0,6,6,6,6
23,Kentucky,0,15,15,15,16
35,Louisiana,0,15,15,14,14
46,Maine,0,7,7,7,7
41,Mississippi,0,10,9,9,9
7,Nebraska,0,4,4,3,3
19,Nevada,0,11,11,10,10
14,New Hampshire,0,3,3,3,3
42,New Mexico,0,32,31,30,30
15,North Carolina,0,17,17,17,17
43,North Dakota,0,1,1,1,2
36,Ohio,0,20,19,19,20
25,Oklahoma,0,23,24,26,27
9,Oregon,0,3,3,3,3
26,Pennsylvania,0,34,34,34,34
12,Rhode Island,0,3,3,3,3
27,South Carolina,0,8,8,7,7
38,South Dakota,0,1,2,2,2
20,Tennessee,0,25,24,23,21
6,Texas,0,184,185,172,169
8,Utah,0,3,3,3,3
31,Vermont,0,1,1,1,1
32,Virginia,0,23,23,23,23
0,Washington,0,22,25,24,26
53,West Virginia,0,6,6,7,7
5,Wisconsin,0,11,11,10,10
44,Wyoming,0,1,1,1,1
