id,State,dummy,200,207,214,221
47,Alabama,0,29,28,28,27
45,Alaska,0,2,3,3,3
3,Arizona,0,78,75,72,68
39,Arkansas,0,62,60,59,57
2,California,0,52,57,56,57
17,Colorado,0,38,39,38,37
33,Connecticut,0,4,3,3,3
40,Delaware,0,5,6,5,5
10,Florida,0,66,66,65,63
13,Georgia,0,48,46,49,47
21,Hawaii,0,1,1,1,1
48,Idaho,0,8,10,9,10
1,Illinois,0,30,32,31,30
22,Indiana,0,96,96,96,96
34,Iowa,0,61,62,61,61
29,Kansas,0,44,45,45,45
23,Kentucky,0,31,30,31,31
35,Louisiana,0,30,29,28,26
46,Maine,0,4,4,4,4
18,Maryland,0,17,18,17,17
4,Massachusetts,0,36,28,30,33
37,Michigan,0,94,94,96,95
24,Minnesota,0,46,46,45,42
41,Mississippi,0,40,39,39,38
30,Missouri,0,74,70,69,65
49,Montana,0,15,15,15,15
7,Nebraska,0,38,43,42,40
19,Nevada,0,24,25,25,25
14,New Hampshire,0,10,10,12,11
16,New Jersey,0,39,39,38,38
42,New Mexico,0,5,5,5,5
11,New York,0,54,53,53,52
15,North Carolina,0,60,55,52,47
43,North Dakota,0,5,4,3,2
36,Ohio,0,92,101,103,104
25,Oklahoma,0,123,122,121,117
9,Oregon,0,5,5,6,5
26,Pennsylvania,0,84,83,81,79
12,Rhode Island,0,1,1,1,1
27,South Carolina,0,21,21,19,19
38,South Dakota,0,19,22,20,19
20,Tennessee,0,35,34,33,32
6,Texas,0,479,517,527,547
8,Utah,0,12,12,13,13
31,Vermont,0,1,1,1,1
32,Virginia,0,36,35,35,34
0,Washington,0,16,18,19,20
53,West Virginia,0,24,24,24,25
5,Wisconsin,0,41,39,37,34
44,Wyoming,0,5,5,5,5
US,US,0,2557,2735,2880,2979
