id,State,dummy,263,270,277,284
47,Alabama,0,14,13,13,12
45,Alaska,0,3,4,4,4
3,Arizona,0,219,230,240,250
39,Arkansas,0,36,37,37,37
2,California,0,303,306,307,307
17,Colorado,0,164,164,165,165
33,Connecticut,0,68,68,68,68
40,Delaware,0,3,3,3,3
28,District of Columbia,0,4,4,4,4
10,Florida,0,330,350,366,384
13,Georgia,0,45,45,45,46
21,Hawaii,0,7,7,7,7
48,Idaho,0,13,14,14,13
1,Illinois,0,138,138,138,138
22,Indiana,0,44,42,40,40
34,Iowa,0,20,20,20,20
29,Kansas,0,10,10,10,10
23,Kentucky,0,41,38,34,31
35,Louisiana,0,25,25,25,25
46,Maine,0,43,44,44,44
18,Maryland,0,65,65,66,67
4,Massachusetts,0,178,178,179,180
37,Michigan,0,195,202,208,212
24,Minnesota,0,23,23,23,23
41,Mississippi,0,53,56,59,62
30,Missouri,0,33,30,27,25
49,Montana,0,10,10,10,10
7,Nebraska,0,6,6,5,4
19,Nevada,0,81,82,82,82
14,New Hampshire,0,11,10,10,9
16,New Jersey,0,101,98,95,93
42,New Mexico,0,35,35,35,35
11,New York,0,161,155,150,143
15,North Carolina,0,63,63,63,64
43,North Dakota,0,6,6,6,6
36,Ohio,0,84,84,85,84
25,Oklahoma,0,53,51,49,47
9,Oregon,0,31,33,33,33
26,Pennsylvania,0,187,182,180,177
12,Rhode Island,0,9,9,9,9
27,South Carolina,0,52,54,55,57
38,South Dakota,0,14,15,16,16
20,Tennessee,0,34,33,33,32
6,Texas,0,156,149,142,135
8,Utah,0,13,13,12,12
31,Vermont,0,3,3,3,4
32,Virginia,0,50,50,50,50
0,Washington,0,37,38,38,38
53,West Virginia,0,22,21,19,18
5,Wisconsin,0,36,36,35,34
44,Wyoming,0,4,4,4,4
50,Puerto Rico,0,39,39,39,39
51,Virgin Islands,0,0,0,0,0
US,US,0,3271,3225,3225,3227
