id,State,dummy,165,172,179,186
45,Alaska,0,2,1,0,0
47,Alabama,0,13,10,7,4
39,Arkansas,0,33,39,45,53
3,Arizona,0,82,136,218,354
2,California,0,14,8,4,2
17,Colorado,0,32,43,58,75
33,Connecticut,0,8,8,9,9
28,District of Columbia,0,3,3,2,1
40,Delaware,0,5,5,4,4
10,Florida,0,68,63,59,55
13,Georgia,0,42,40,40,38
21,Hawaii,0,5,6,6,6
34,Iowa,0,11,7,4,2
48,Idaho,0,6,5,5,4
1,Illinois,0,18,19,20,22
22,Indiana,0,42,51,61,73
29,Kansas,0,9,7,6,4
23,Kentucky,0,12,9,5,3
35,Louisiana,0,41,63,94,135
4,Massachusetts,0,40,36,32,28
18,Maryland,0,12,12,12,12.5
46,Maine,0,8,9,10,11
37,Michigan,0,32,35,39,44
24,Minnesota,0,22,21,20,18
30,Missouri,0,67,79,93,108
41,Mississippi,0,30,37,46,57
49,Montana,0,17,14,11,8
15,North Carolina,0,27,26,24,22
43,North Dakota,0,16,17,17,17
7,Nebraska,0,49,67,89,114
14,New Hampshire,0,3,2,1,1
16,New Jersey,0,21,19,17,15
42,New Mexico,0,20,50,112,245
19,Nevada,0,6,5,5,4
11,New York,0,21,21,21,21
36,Ohio,0,25,27,30,33
25,Oklahoma,0,80,109,144,191
9,Oregon,0,5,5,4,3
26,Pennsylvania,0,51,59,67,76
50,Puerto Rico,0,7,5,3,2
12,Rhode Island,0,6,6,5,5
27,South Carolina,0,35,51,72,97
38,South Dakota,0,7,6,4,3
20,Tennessee,0,33,36,39,42.5
6,Texas,0,130,124,119,113
8,Utah,0,13,16,18,21
32,Virginia,0,39,35,30,26
31,Vermont,0,5,5,5,5
0,Washington,0,7,7,6,6
5,Wisconsin,0,41,57,76,100
53,West Virginia,0,12,13,15,16
44,Wyoming,0,4,4,5,6
US,US,0,1062,1007,982,991
