,State,Model Name,Mean_Similarity,Count_Similarity,rank
122,California,US-Flu\UT_FluCast-Voltaire,0.7129260869565218,23,1.0
1198,Virgin Islands,US-Flu\LUcompUncertLab-TEVA,1.0,21,1.0
1199,Virgin Islands,US-Flu\LUcompUncertLab-VAR2,1.0,22,1.0
1200,Virgin Islands,US-Flu\LUcompUncertLab-VAR2K,1.0,21,1.0
1201,Virgin Islands,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,1.0,21,1.0
1202,Virgin Islands,US-Flu\LUcompUncertLab-VAR2_plusCOVID,1.0,22,1.0
1204,Virgin Islands,US-Flu\LosAlamos_NAU-CModel_Flu,1.0,23,1.0
1197,Virgin Islands,US-Flu\GH-Flusight,1.0,21,1.0
266,Georgia,US-Flu\SigSci-CREG,0.38107272727272723,22,1.0
1207,Virgin Islands,US-Flu\SGroup-SIkJalpha,1.0,23,1.0
1208,Virgin Islands,US-Flu\UMass-trends_ensemble,1.0,22,1.0
1083,Tennessee,US-Flu\PSI-DICE,0.4619130434782609,23,1.0
611,Mississippi,US-Flu\MOBS-GLEAM_FLUH,0.38293,20,1.0
213,District of Columbia,US-Flu\LUcompUncertLab-humanjudgment,0.3295923076923077,13,1.0
797,New York,US-Flu\CMU-TimeSeries,0.6578130434782609,23,1.0
659,Montana,US-Flu\LUcompUncertLab-humanjudgment,0.3546769230769231,13,1.0
918,Oklahoma,US-Flu\UT_FluCast-Voltaire,0.6057130434782608,23,1.0
497,Maryland,US-Flu\CMU-TimeSeries,0.4103521739130435,23,1.0
1195,Virgin Islands,US-Flu\Flusight-baseline,1.0,23,1.0
472,Maine,US-Flu\CMU-TimeSeries,0.5111086956521739,23,1.0
181,Delaware,US-Flu\GT-FluFNP,0.38894347826086956,23,1.0
637,Missouri,US-Flu\PSI-DICE,0.5308304347826087,23,1.0
869,North Dakota,US-Flu\UVAFluX-Ensemble,0.7975347826086956,23,1.0
1156,Utah,US-Flu\LosAlamos_NAU-CModel_Flu,0.4882956521739131,23,1.0
893,Ohio,US-Flu\UT_FluCast-Voltaire,0.5609739130434782,23,1.0
461,Louisiana,US-Flu\MOBS-GLEAM_FLUH,0.355875,20,1.0
91,Arkansas,US-Flu\PSI-DICE,0.5188478260869566,23,1.0
330,Illinois,US-Flu\LUcompUncertLab-VAR2,0.41348181818181823,22,1.0
1118,United States,US-Flu\CMU-TimeSeries,0.5454217391304348,23,1.0
68,Arizona,US-Flu\SGroup-SIkJalpha,0.27009565217391307,23,1.0
844,North Carolina,US-Flu\UVAFluX-Ensemble,0.5057130434782608,23,1.0
1185,Vermont,US-Flu\SGroup-SIkJalpha,0.3582826086956522,23,1.0
1192,Virgin Islands,US-Flu\CEID-Walk,1.0,21,1.0
1099,Texas,US-Flu\IEM_Health-FluProject,0.6945260869565217,23,1.0
1232,Virginia,US-Flu\UT_FluCast-Voltaire,0.5179217391304348,23,1.0
685,Nebraska,US-Flu\LosAlamos_NAU-CModel_Flu,0.5822130434782609,23,1.0
431,Kentucky,US-Flu\LUcompUncertLab-VAR2K,0.6473095238095239,21,1.0
938,Oregon,US-Flu\SGroup-RandomForest,0.54298,20,1.0
722,New Hampshire,US-Flu\CMU-TimeSeries,0.4728434782608696,23,1.0
368,Indiana,US-Flu\UT_FluCast-Voltaire,0.7129913043478261,23,1.0
998,Rhode Island,US-Flu\GT-FluFNP,0.623095652173913,23,1.0
1316,Wyoming,US-Flu\GT-FluFNP,0.3077086956521739,23,1.0
568,Michigan,US-Flu\UT_FluCast-Voltaire,0.3846434782608696,23,1.0
385,Iowa,US-Flu\LosAlamos_NAU-CModel_Flu,0.8140478260869565,23,1.0
972,Puerto Rico,US-Flu\CMU-TimeSeries,0.377604347826087,23,1.0
310,Idaho,US-Flu\LosAlamos_NAU-CModel_Flu,0.5883608695652174,23,1.0
1034,South Carolina,US-Flu\SGroup-RandomForest,0.29298,20,1.0
697,Nevada,US-Flu\CMU-TimeSeries,0.3991130434782609,23,1.0
36,Alaska,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,0.4455857142857143,21,1.0
126,Colorado,US-Flu\CMU-TimeSeries,0.4790913043478261,23,1.0
19,Alabama,US-Flu\SigSci-CREG,0.4897695652173913,23,1.0
762,New Jersey,US-Flu\PSI-DICE,0.6308608695652174,23,1.0
587,Minnesota,US-Flu\PSI-DICE,0.6932695652173912,23,1.0
1285,Wisconsin,US-Flu\CEID-Walk,0.5329476190476191,21,1.0
1261,West Virginia,US-Flu\CMU-TimeSeries,0.3669434782608696,23,1.0
412,Kansas,US-Flu\PSI-DICE,0.5277521739130435,23,1.0
160,Connecticut,US-Flu\LUcompUncertLab-VAR2K,0.43599523809523816,21,1.0
785,New Mexico,US-Flu\LosAlamos_NAU-CModel_Flu,0.5767913043478261,23,1.0
947,Pennsylvania,US-Flu\CMU-TimeSeries,0.4971739130434783,23,1.0
522,Massachusetts,US-Flu\CMU-TimeSeries,0.604691304347826,23,1.0
223,Florida,US-Flu\CMU-TimeSeries,0.4964130434782609,23,1.0
281,Hawaii,US-Flu\LUcompUncertLab-VAR2K,0.533204761904762,21,1.0
1056,South Dakota,US-Flu\LosAlamos_NAU-CModel_Flu,0.5746652173913044,23,1.0
1252,Washington,US-Flu\SGroup-RandomForest,0.74134,20,1.0
968,Pennsylvania,US-Flu\UT_FluCast-Voltaire,0.3710869565217391,23,2.0
575,Minnesota,US-Flu\Flusight-ensemble,0.6472478260869565,23,2.0
151,Connecticut,US-Flu\CMU-TimeSeries,0.42571304347826083,23,2.0
141,Colorado,US-Flu\PSI-DICE,0.4604826086956521,23,2.0
110,California,US-Flu\LUcompUncertLab-VAR2K,0.6702142857142858,21,2.0
307,Idaho,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,0.5720809523809524,21,2.0
887,Ohio,US-Flu\PSI-DICE,0.4490217391304348,23,2.0
1003,Rhode Island,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,0.43375714285714284,21,2.0
979,Puerto Rico,US-Flu\LUcompUncertLab-VAR2,0.35063181818181816,22,2.0
616,Mississippi,US-Flu\SigSci-TSENS,0.3133782608695652,23,2.0
1138,United States,US-Flu\UMass-trends_ensemble,0.4692318181818182,22,2.0
176,Delaware,US-Flu\CMU-TimeSeries,0.35877826086956527,23,2.0
930,Oregon,US-Flu\LUcompUncertLab-VAR2,0.4435272727272727,22,2.0
912,Oklahoma,US-Flu\PSI-DICE,0.4826391304347826,23,2.0
1088,Tennessee,US-Flu\UMass-trends_ensemble,0.44057727272727276,22,2.0
1023,South Carolina,US-Flu\GT-FluFNP,0.26009565217391306,23,2.0
