,True Label,Model Name,Mean_Score,rank
12,Dec,US-Flu\LUcompUncertLab-experthuman,0.9291125,1.0
16,Dec,US-Flu\LosAlamos_NAU-CModel_Flu,0.8797127192982456,2.0
1,Dec,US-Flu\CEPH-Rtrend_fluH,0.8609419847328245,3.0
8,Dec,US-Flu\JHU_IDD-CovidSP,0.8052408536585367,4.0
30,Dec,US-Flu\VTSanghani-Transformer,0.8035375,5.0
24,Dec,US-Flu\UGA_flucast-OKeeffe,0.7740251231527094,6.0
29,Dec,US-Flu\VTSanghani-ExogModel,0.7602182242990654,7.0
17,Dec,US-Flu\MIGHTE-Nsemble,0.7152858778625955,8.0
25,Dec,US-Flu\UMass-gbq,0.6827554285714286,9.0
2,Dec,US-Flu\CMU-TimeSeries,0.6711322175732217,10.0
0,Dec,US-Flu\CEID-Walk,0.6622201680672268,11.0
5,Dec,US-Flu\Flusight-ensemble,0.6597503816793894,12.0
27,Dec,US-Flu\UNC_IDD-InfluPaint,0.6384709401709402,13.0
26,Dec,US-Flu\UMass-trends_ensemble,0.5899076335877863,14.0
22,Dec,US-Flu\SigSci-CREG,0.5885,15.0
28,Dec,US-Flu\UVAFluX-Ensemble,0.5665443137254902,16.0
3,Dec,US-Flu\CU-ensemble,0.543966985645933,17.0
23,Dec,US-Flu\SigSci-TSENS,0.5144324675324675,18.0
7,Dec,US-Flu\ISU_NiemiLab-Flu,0.5029755725190839,19.0
21,Dec,US-Flu\SGroup-RandomForest,0.4395081339712919,20.0
14,Dec,US-Flu\LUcompUncertLab-humanjudgment,0.39436887159533074,21.0
19,Dec,US-Flu\NIH-Flu_ARIMA,0.15508166666666667,22.0
9,Dec,US-Flu\LUcompUncertLab-HWAR2,-0.1391645038167939,23.0
15,Dec,US-Flu\LUcompUncertLab-stacked_ili,-0.14195776397515528,24.0
18,Dec,US-Flu\MOBS-GLEAM_FLUH,-0.18805529411764704,25.0
6,Dec,US-Flu\GT-FluFNP,-0.18896286919831223,26.0
20,Dec,US-Flu\PSI-DICE,-0.19978969465648855,27.0
4,Dec,US-Flu\Flusight-baseline,-0.20153702290076336,28.0
10,Dec,US-Flu\LUcompUncertLab-KalmanFilter,-0.20253492822966507,29.0
11,Dec,US-Flu\LUcompUncertLab-ensemble_rclp,-0.21007737226277373,30.0
13,Dec,US-Flu\LUcompUncertLab-hier_mech_model,-0.22254169884169883,31.0
55,Flat,US-Flu\VTSanghani-Transformer,0.6975,1.0
49,Flat,US-Flu\SigSci-CREG,0.5615,2.0
41,Flat,US-Flu\LUcompUncertLab-ensemble_rclp,0.25579999999999997,3.0
46,Flat,US-Flu\MOBS-GLEAM_FLUH,0.1362,4.0
51,Flat,US-Flu\UGA_flucast-OKeeffe,0.1303,5.0
53,Flat,US-Flu\UVAFluX-Ensemble,0.1275666666666667,6.0
33,Flat,US-Flu\CMU-TimeSeries,0.10633333333333334,7.0
50,Flat,US-Flu\SigSci-TSENS,0.10523333333333333,8.0
40,Flat,US-Flu\LUcompUncertLab-KalmanFilter,0.1037,9.0
37,Flat,US-Flu\GT-FluFNP,0.10363333333333334,10.0
39,Flat,US-Flu\LUcompUncertLab-HWAR2,-0.07922499999999999,11.0
48,Flat,US-Flu\SGroup-RandomForest,-0.40891428571428573,12.0
54,Flat,US-Flu\VTSanghani-ExogModel,-0.47041428571428573,13.0
34,Flat,US-Flu\CU-ensemble,-0.47136428571428574,14.0
36,Flat,US-Flu\Flusight-ensemble,-0.48176,15.0
52,Flat,US-Flu\UMass-trends_ensemble,-0.48188,16.0
47,Flat,US-Flu\PSI-DICE,-0.4819133333333333,17.0
35,Flat,US-Flu\Flusight-baseline,-0.4819266666666666,18.0
44,Flat,US-Flu\LosAlamos_NAU-CModel_Flu,-0.61896,19.0
42,Flat,US-Flu\LUcompUncertLab-hier_mech_model,-0.6225666666666666,20.0
45,Flat,US-Flu\MIGHTE-Nsemble,-0.6279636363636364,21.0
43,Flat,US-Flu\LUcompUncertLab-humanjudgment,-0.62815,22.0
31,Flat,US-Flu\CEID-Walk,-0.6283,23.0
38,Flat,US-Flu\ISU_NiemiLab-Flu,-0.6283,23.0
32,Flat,US-Flu\CEPH-Rtrend_fluH,-0.6321444444444445,24.0
71,Inc,US-Flu\LUcompUncertLab-stacked_ili,0.912222429906542,1.0
65,Inc,US-Flu\LUcompUncertLab-HWAR2,0.9111283911671924,2.0
69,Inc,US-Flu\LUcompUncertLab-hier_mech_model,0.9050210526315791,3.0
76,Inc,US-Flu\PSI-DICE,0.9048230283911671,4.0
62,Inc,US-Flu\GT-FluFNP,0.9042723127035831,5.0
60,Inc,US-Flu\Flusight-baseline,0.9037182965299685,6.0
74,Inc,US-Flu\MOBS-GLEAM_FLUH,0.8999613821138212,7.0
75,Inc,US-Flu\NIH-Flu_ARIMA,0.8989257142857142,8.0
66,Inc,US-Flu\LUcompUncertLab-KalmanFilter,0.8945681388012618,9.0
82,Inc,US-Flu\UMass-trends_ensemble,0.8195829652996846,10.0
59,Inc,US-Flu\CU-ensemble,0.7885656151419559,11.0
61,Inc,US-Flu\Flusight-ensemble,0.7824362776025237,12.0
73,Inc,US-Flu\MIGHTE-Nsemble,0.76708,13.0
70,Inc,US-Flu\LUcompUncertLab-humanjudgment,0.7506333333333334,14.0
84,Inc,US-Flu\UVAFluX-Ensemble,0.7417627388535032,15.0
57,Inc,US-Flu\CEPH-Rtrend_fluH,0.7351901840490798,16.0
58,Inc,US-Flu\CMU-TimeSeries,0.7208563106796116,17.0
63,Inc,US-Flu\ISU_NiemiLab-Flu,0.7062024539877301,18.0
67,Inc,US-Flu\LUcompUncertLab-ensemble_rclp,0.6885322147651007,19.0
81,Inc,US-Flu\UMass-gbq,0.6696176470588235,20.0
